,id,index_right,cluster,sqkm,precipitation prc_mean,SGC yld Irrigation High_mean,YAM yld Rain-fed Low_mean,CAS yld Rain-fed Low_mean,SGC yld Rain-fed High_mean,SGC evt Irrigation Low_mean,PTS evt Rain-fed Low_mean,RCP yld Irrigation Low_mean,YAM cwd Rain-fed High_mean,CON cwd Rain-fed High_mean,CON evt Irrigation Low_mean,CAS evt Rain-fed High_mean,PTS yld Rain-fed High_mean,PTS evt Irrigation High_mean,RCP yld Rain-fed High_mean,SGC yld Rain-fed Low_mean,RCP evt Rain-fed Low_mean,YAM yld Irrigation High_mean,SGC yld Irrigation Low_mean,CON yld Irrigation High_mean,CON yld Irrigation Low_mean,YAM evt Irrigation High_mean,CAS evt Irrigation Low_mean,RCP cwd Rain-fed Low_mean,SGC cwd Irrigation Low_mean,RCP yld Rain-fed Low_mean,CON cwd Rain-fed Low_mean,RCP evt Irrigation High_mean,PTS evt Rain-fed High_mean,YAM evt Rain-fed High_mean,PTS cwd Rain-fed High_mean,YAM evt Rain-fed Low_mean,PTS evt Irrigation Low_mean,CAS cwd Irrigation Low_mean,CAS yld Rain-fed High_mean,CON yld Rain-fed Low_mean,PTS cwd Irrigation High_mean,CAS evt Irrigation High_mean,CON cwd Irrigation Low_mean,PTS cwd Rain-fed Low_mean,SGC evt Rain-fed Low_mean,CON evt Rain-fed High_mean,SGC cwd Rain-fed Low_mean,RCP cwd Irrigation High_mean,SGC cwd Irrigation High_mean,CAS yld Irrigation Low_mean,CAS evt Rain-fed Low_mean,YAM yld Irrigation Low_mean,YAM cwd Rain-fed Low_mean,PTS yld Rain-fed Low_mean,PTS cwd Irrigation Low_mean,CON yld Rain-fed High_mean,PTS yld Irrigation High_mean,SGC evt Irrigation High_mean,CON evt Rain-fed Low_mean,RCP yld Irrigation High_mean,YAM cwd Irrigation High_mean,YAM evt Irrigation Low_mean,CON cwd Irrigation High_mean,PTS yld Irrigation Low_mean,CON evt Irrigation High_mean,RCP evt Irrigation Low_mean,YAM cwd Irrigation Low_mean,RCP cwd Irrigation Low_mean,CAS yld Irrigation High_mean,RCP evt Rain-fed High_mean,CAS cwd Irrigation High_mean,RCP cwd Rain-fed High_mean,CAS cwd Rain-fed High_mean,SGC cwd Rain-fed High_mean,SGC evt Rain-fed High_mean,CAS cwd Rain-fed Low_mean,YAM yld Rain-fed High_mean,LCType2,LCType5,LCType6,LCType10,geometry
0,0,0,FJI,87.11510635315709,2624.5,11494.0,2340.0,2183.0,11494.0,860.5,522.5,2077.0,1.0,1.0,0.0,973.5,7502.5,615.5,7618.0,3594.0,491.0,7911.0,3521.0,4052.0,0.0,919.5,585.0,1.0,1.0,1957.5,0.0,623.5,629.0,1053.5,1.0,835.0,522.5,1.0,9365.0,0.0,1.0,800.0,0.0,1.0,1011.5,964.0,1.0,1.0,1.0,2104.0,751.0,2337.5,1.0,2117.0,1.0,4052.0,7502.5,1172.5,0.0,7781.0,1.0,648.5,1.0,2117.0,805.5,527.5,1.0,1.0,9365.0,634.0,1.0,1.0,1.0,1.0,1287.0,1.0,7911.0,,,,2.0,"POLYGON ((178.04166000000012 -19.16418599999991, 178.04166000000015 -19.07418599999991, 177.95166000000015 -19.07418599999991, 177.9516600000001 -19.16418599999991, 178.04166000000012 -19.16418599999991))"
1,1,0,FJI,87.11510635318606,2303.0,11462.0,2765.5,2495.5,11462.0,902.0,537.5,2144.0,1.0,1.0,343.5,1008.5,8272.5,637.0,8744.0,3599.0,483.0,9419.5,3526.0,4667.5,605.5,965.0,613.5,1.0,1.0,1965.5,0.5,642.5,651.0,1078.0,1.0,857.5,537.5,1.0,9595.5,606.5,1.0,840.0,0.5,1.0,1049.0,1001.5,1.0,1.0,1.0,2408.0,775.5,2762.5,1.0,2613.0,1.0,4667.5,8272.5,1231.5,401.5,9086.0,1.0,679.5,1.0,2613.0,842.5,542.5,1.0,1.0,9595.5,650.0,1.0,2.0,1.0,1.0,1333.0,1.0,9419.5,,,1.0,1.0,"POLYGON ((178.13166000000015 -19.16418599999991, 178.1316600000001 -19.07418599999991, 178.04166000000015 -19.07418599999991, 178.04166000000012 -19.16418599999991, 178.13166000000015 -19.16418599999991))"
2,2,0,FJI,87.11510635313776,2303.0,11400.0,2759.0,2519.0,11400.0,912.5,541.5,2148.0,1.0,1.0,691.0,1017.5,8405.5,642.5,8722.0,3601.5,487.5,9368.0,3536.5,4735.0,1193.0,975.5,621.0,1.0,1.0,1976.0,1.0,648.0,656.5,1086.5,1.0,865.0,545.5,1.0,9601.0,1195.0,1.0,849.0,1.0,1.0,1059.0,1010.5,1.0,1.0,1.0,2437.0,782.5,2755.5,1.0,2605.0,1.0,4735.0,8405.5,1245.0,806.5,9103.0,1.0,687.0,1.0,2605.5,852.0,547.0,1.0,1.0,9601.0,653.5,1.0,4.5,1.0,1.0,1345.5,1.0,9368.0,,,2.0,,"POLYGON ((178.2216600000001 -19.16418599999991, 178.22166000000016 -19.07418599999991, 178.13166000000018 -19.07418599999991, 178.13166000000015 -19.16418599999991, 178.2216600000001 -19.16418599999991))"
3,3,0,FJI,87.1613022004791,2303.0,11370.0,2756.0,2536.0,11370.0,918.0,544.0,2152.0,1.0,1.0,695.0,1022.0,8498.0,645.0,8715.0,3599.0,490.0,9343.0,3542.0,4766.0,1175.0,981.0,625.0,1.0,1.0,1983.0,1.0,651.0,659.0,1091.0,1.0,869.0,552.0,1.0,9613.0,1177.0,1.0,854.0,1.0,1.0,1064.0,1015.0,1.0,1.0,1.0,2457.0,786.0,2752.0,1.0,2600.0,1.0,4766.0,8498.0,1252.0,810.0,9119.0,1.0,691.0,1.0,2601.0,857.0,549.0,1.0,1.0,9613.0,655.0,1.0,6.0,1.0,1.0,1352.0,1.0,9343.0,,,1.0,,"POLYGON ((178.22166000000016 -19.074185999999916, 178.22166000000013 -18.984185999999912, 178.13166000000015 -18.984185999999912, 178.13166000000018 -19.074185999999916, 178.22166000000016 -19.074185999999916))"
4,4,0,FJI,87.16130220048876,2731.6666666666665,11393.0,921.0,834.0,11393.0,302.3333333333333,179.66666666666666,2686.0,1.0,0.3333333333333333,229.33333333333334,1321.0,9411.0,820.6666666666666,9252.333333333334,1201.3333333333333,161.66666666666666,9362.0,1177.3333333333333,1568.3333333333333,403.6666666666667,1261.0,206.0,0.3333333333333333,0.3333333333333333,656.3333333333334,0.3333333333333333,828.3333333333334,834.0,1418.3333333333333,1.0,287.3333333333333,179.66666666666666,0.3333333333333333,9898.666666666666,404.0,1.0,1148.6666666666667,0.3333333333333333,0.3333333333333333,351.3333333333333,335.3333333333333,0.3333333333333333,1.0,81.0,806.0,259.6666666666667,919.6666666666666,0.3333333333333333,869.6666666666666,0.3333333333333333,1568.3333333333333,9411.0,1606.0,267.6666666666667,9381.666666666666,40.0,227.66666666666666,0.3333333333333333,869.6666666666666,282.6666666666667,683.3333333333334,0.3333333333333333,1.0,9898.666666666666,831.3333333333334,1.0,1.6666666666666667,1.0,1.0,1810.3333333333333,0.3333333333333333,9362.0,,,1.0,2.0,"POLYGON ((178.40166000000016 -19.074185999999916, 178.40166000000013 -18.984185999999912, 178.31166000000013 -18.984185999999912, 178.3116600000002 -19.074185999999916, 178.40166000000016 -19.074185999999916))"
5,5,0,FJI,87.2072863202362,2946.0,11373.0,0.0,0.0,11373.0,0.0,0.0,2957.0,1.0,0.0,0.0,1475.0,9961.0,911.5,9514.0,0.0,0.0,9345.0,0.0,0.0,0.0,1406.0,0.0,0.0,0.0,0.0,0.0,920.0,924.0,1586.5,1.0,0.0,0.0,0.0,10052.0,0.0,1.0,1300.5,0.0,0.0,0.0,0.0,0.0,1.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9961.0,1789.5,0.0,9530.0,59.5,0.0,0.0,0.0,0.0,752.5,0.0,1.0,10052.0,921.0,1.0,1.0,1.0,1.0,2046.0,0.0,9345.0,,,1.0,1.0,"POLYGON ((178.40166000000013 -18.98418599999992, 178.40166000000016 -18.894185999999912, 178.3116600000002 -18.894185999999912, 178.31166000000013 -18.98418599999992, 178.40166000000013 -18.98418599999992))"
6,6,0,FJI,87.16130220045011,2624.5,11403.0,1381.5,1251.0,11403.0,453.5,269.5,2550.5,1.0,0.5,344.0,1243.0,9136.0,774.5,9121.5,1802.0,242.5,9370.5,1766.0,2352.5,605.5,1188.0,309.0,0.5,0.5,984.5,0.5,782.0,788.5,1333.0,1.0,431.0,269.5,0.5,9822.0,606.0,1.0,1071.5,0.5,0.5,527.0,503.0,0.5,1.0,60.0,1209.0,389.5,1379.5,0.5,1304.5,0.5,2352.5,9136.0,1513.5,401.5,9307.5,29.5,341.5,0.5,1304.5,424.0,648.5,0.5,1.0,9822.0,786.0,1.0,2.0,1.0,1.0,1691.0,0.5,9370.5,,,1.0,1.0,"POLYGON ((178.4916600000002 -19.074185999999916, 178.49166000000017 -18.984185999999912, 178.40166000000013 -18.984185999999912, 178.40166000000016 -19.074185999999916, 178.4916600000002 -19.074185999999916))"
7,7,0,FJI,87.48838104496237,2838.0,11164.0,1872.0,1851.0,11164.0,882.0,516.0,1968.0,1.0,1.0,667.0,926.0,6634.0,603.0,6562.0,3556.0,500.0,6473.0,3516.0,3870.0,1386.0,834.0,618.0,1.0,1.0,1911.0,1.0,606.0,618.0,1005.0,1.0,879.0,517.0,1.0,8903.0,1387.0,1.0,704.0,1.0,1.0,1036.0,900.0,1.0,1.0,1.0,1784.0,779.0,1870.0,1.0,1584.0,1.0,3870.0,6634.0,1069.0,766.0,6562.0,1.0,675.0,1.0,1584.0,707.0,524.0,1.0,1.0,8903.0,622.0,1.0,1.0,1.0,1.0,1230.0,1.0,6473.0,,,,1.0,"POLYGON ((178.17888200000002 -18.424722999999975, 178.17888199999996 -18.334722999999965, 178.08888199999998 -18.334722999999965, 178.088882 -18.424722999999975, 178.17888200000002 -18.424722999999975))"
8,8,0,FJI,87.23006773946399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((178.54388800000024 -18.939443999999863, 178.5438880000002 -18.849443999999863, 178.4538880000002 -18.849443999999863, 178.4538880000002 -18.939443999999863, 178.54388800000024 -18.939443999999863))"
9,9,0,FJI,87.69337198894087,1903.0,11116.5,2696.0,2844.0,11116.5,925.5,516.5,2288.5,1.0,3.5,695.5,882.0,9436.5,568.0,8191.0,3530.0,445.0,9131.5,3498.5,5029.0,1463.5,789.0,622.5,1.0,1.0,2080.0,1.0,536.5,586.5,1002.5,1.0,859.0,516.5,1.0,9865.0,1465.5,46.0,754.5,1.0,1.0,1044.0,891.5,1.0,81.0,131.0,2749.5,783.0,2693.0,1.0,2683.0,1.0,5002.5,9791.0,1002.5,786.0,9374.0,86.5,692.5,1.0,2683.0,773.5,513.0,1.0,1.0,9865.0,506.0,1.0,1.0,44.5,55.0,1192.0,1.0,9083.5,,,,2.0,"POLYGON ((177.33293500000016 -18.00604699999995, 177.33293500000016 -17.916046999999946, 177.2429350000002 -17.916046999999946, 177.2429350000002 -18.00604699999995, 177.33293500000016 -18.00604699999995))"
