REGION,FUEL,YEAR,VALUE
GLOBAL,ELCFJIXX02,2021,3.35
GLOBAL,ELCFJIXX02,2022,3.43
GLOBAL,ELCFJIXX02,2023,3.5
GLOBAL,ELCFJIXX02,2024,3.58
GLOBAL,ELCFJIXX02,2025,3.65
GLOBAL,ELCFJIXX02,2026,3.8
GLOBAL,ELCFJIXX02,2027,3.95
GLOBAL,ELCFJIXX02,2028,4.1
GLOBAL,ELCFJIXX02,2029,4.25
GLOBAL,ELCFJIXX02,2030,4.4
GLOBAL,ELCFJIXX02,2031,4.56
GLOBAL,ELCFJIXX02,2032,4.72
GLOBAL,ELCFJIXX02,2033,4.89
GLOBAL,ELCFJIXX02,2034,5.05
GLOBAL,ELCFJIXX02,2035,5.21
GLOBAL,ELCFJIXX02,2036,5.4
GLOBAL,ELCFJIXX02,2037,5.59
GLOBAL,ELCFJIXX02,2038,5.77
GLOBAL,ELCFJIXX02,2039,5.96
GLOBAL,ELCFJIXX02,2040,6.14
GLOBAL,ELCFJIXX02,2041,6.36
GLOBAL,ELCFJIXX02,2042,6.57
GLOBAL,ELCFJIXX02,2043,6.78
GLOBAL,ELCFJIXX02,2044,7.0
GLOBAL,ELCFJIXX02,2045,7.21
GLOBAL,ELCFJIXX02,2046,7.46
GLOBAL,ELCFJIXX02,2047,7.72
GLOBAL,ELCFJIXX02,2048,7.97
GLOBAL,ELCFJIXX02,2049,8.22
GLOBAL,ELCFJIXX02,2050,8.47
