REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOFJIXX01,2021,5.2275
GLOBAL,PWRBIOFJIXX01,2022,5.2275
GLOBAL,PWRBIOFJIXX01,2023,5.2275
GLOBAL,PWRBIOFJIXX01,2024,5.2275
GLOBAL,PWRBIOFJIXX01,2025,5.2275
GLOBAL,PWRBIOFJIXX01,2026,5.2275
GLOBAL,PWRBIOFJIXX01,2027,5.2275
GLOBAL,PWRBIOFJIXX01,2028,5.2275
GLOBAL,PWRBIOFJIXX01,2029,5.2275
GLOBAL,PWRBIOFJIXX01,2030,5.2275
GLOBAL,PWRBIOFJIXX01,2031,5.223318
GLOBAL,PWRBIOFJIXX01,2032,0.7489
GLOBAL,PWRBIOFJIXX01,2033,0.7483
GLOBAL,PWRBIOFJIXX01,2034,0.87735044238
GLOBAL,PWRBIOFJIXX01,2035,1.35240794016
GLOBAL,PWRBIOFJIXX01,2036,1.91609163732
GLOBAL,PWRBIOFJIXX01,2037,2.4786869289299998
GLOBAL,PWRBIOFJIXX01,2038,3.01111134112
GLOBAL,PWRBIOFJIXX01,2039,3.879497504
GLOBAL,PWRBIOFJIXX01,2040,4.20334556568
GLOBAL,PWRBIOFJIXX01,2041,5.38075046532
GLOBAL,PWRBIOFJIXX01,2042,6.61172410108
GLOBAL,PWRBIOFJIXX01,2043,7.927554796
GLOBAL,PWRBIOFJIXX01,2044,9.3475901016
GLOBAL,PWRBIOFJIXX01,2045,10.961298188399999
GLOBAL,PWRBIOFJIXX01,2046,11.314587450800001
GLOBAL,PWRBIOFJIXX01,2047,12.0871808564
GLOBAL,PWRBIOFJIXX01,2048,12.373394467999999
GLOBAL,PWRBIOFJIXX01,2049,12.373394467999999
GLOBAL,PWRBIOFJIXX01,2050,12.373394467999999
GLOBAL,PWRHYDFJIXX01,2021,11.03102
GLOBAL,PWRHYDFJIXX01,2022,11.03102
GLOBAL,PWRHYDFJIXX01,2023,11.03102
GLOBAL,PWRHYDFJIXX01,2024,11.03102
GLOBAL,PWRHYDFJIXX01,2025,11.03102
GLOBAL,PWRHYDFJIXX01,2026,11.03102
GLOBAL,PWRHYDFJIXX01,2027,11.03102
GLOBAL,PWRHYDFJIXX01,2028,11.03102
GLOBAL,PWRHYDFJIXX01,2029,11.03102
GLOBAL,PWRHYDFJIXX01,2030,11.03102
GLOBAL,PWRHYDFJIXX01,2031,11.041469999999999
GLOBAL,PWRHYDFJIXX01,2032,11.05401
GLOBAL,PWRHYDFJIXX01,2033,11.064459999999999
GLOBAL,PWRHYDFJIXX01,2034,11.077
GLOBAL,PWRHYDFJIXX01,2035,11.08954
GLOBAL,PWRHYDFJIXX01,2036,11.09999
GLOBAL,PWRHYDFJIXX01,2037,11.11253
GLOBAL,PWRHYDFJIXX01,2038,11.12298
GLOBAL,PWRHYDFJIXX01,2039,11.13552
GLOBAL,PWRHYDFJIXX01,2040,11.145969999999998
GLOBAL,PWRHYDFJIXX01,2041,11.145969999999998
GLOBAL,PWRHYDFJIXX01,2042,11.145969999999998
GLOBAL,PWRHYDFJIXX01,2043,11.145969999999998
GLOBAL,PWRHYDFJIXX01,2044,11.145969999999998
GLOBAL,PWRHYDFJIXX01,2045,11.145969999999998
GLOBAL,PWRHYDFJIXX01,2046,11.145969999999998
GLOBAL,PWRHYDFJIXX01,2047,11.145969999999998
GLOBAL,PWRHYDFJIXX01,2048,11.145969999999998
GLOBAL,PWRHYDFJIXX01,2049,11.145969999999998
GLOBAL,PWRHYDFJIXX01,2050,11.145969999999998
GLOBAL,PWROILFJIXX01,2021,1.5539999999999998
GLOBAL,PWROILFJIXX01,2022,1.5539999999999998
GLOBAL,PWROILFJIXX01,2023,1.5539999999999998
GLOBAL,PWROILFJIXX01,2024,1.5539999999999998
GLOBAL,PWROILFJIXX01,2025,1.5539999999999998
GLOBAL,PWROILFJIXX01,2026,1.5539999999999998
GLOBAL,PWROILFJIXX01,2027,1.4280000000000002
GLOBAL,PWROILFJIXX01,2028,1.4280000000000002
GLOBAL,PWROILFJIXX01,2029,1.4280000000000002
GLOBAL,PWROILFJIXX01,2030,1.008
GLOBAL,PWROILFJIXX01,2031,1.008
GLOBAL,PWROILFJIXX01,2032,1.008
GLOBAL,PWROILFJIXX01,2033,1.008
GLOBAL,PWROILFJIXX01,2034,1.008
GLOBAL,PWROILFJIXX01,2035,1.008
GLOBAL,PWROILFJIXX01,2036,1.008
GLOBAL,PWROILFJIXX01,2037,1.008
GLOBAL,PWROILFJIXX01,2038,1.008
GLOBAL,PWROILFJIXX01,2039,1.008
GLOBAL,PWROILFJIXX01,2040,1.008
GLOBAL,PWROILFJIXX01,2041,1.008
GLOBAL,PWROILFJIXX01,2042,1.008
GLOBAL,PWROILFJIXX01,2043,1.008
GLOBAL,PWROILFJIXX01,2044,1.008
GLOBAL,PWROILFJIXX01,2045,1.008
GLOBAL,PWRPETFJIXX01,2031,0.08716746989999999
GLOBAL,PWRPETFJIXX01,2032,1.2401823
GLOBAL,PWRPETFJIXX01,2033,1.38225171
GLOBAL,PWRPETFJIXX01,2034,1.4795832660000001
GLOBAL,PWRPETFJIXX01,2035,1.4795832660000001
GLOBAL,PWRPETFJIXX01,2036,1.4795832660000001
GLOBAL,PWRPETFJIXX01,2037,1.4795832660000001
GLOBAL,PWRPETFJIXX01,2038,1.4795832660000001
GLOBAL,PWRPETFJIXX01,2039,1.4795832660000001
GLOBAL,PWRPETFJIXX01,2040,1.4795832660000001
GLOBAL,PWRPETFJIXX01,2041,1.4795832660000001
GLOBAL,PWRPETFJIXX01,2042,1.4795832660000001
GLOBAL,PWRPETFJIXX01,2043,1.4795832660000001
GLOBAL,PWRPETFJIXX01,2044,1.4795832660000001
GLOBAL,PWRPETFJIXX01,2045,1.4795832660000001
GLOBAL,PWRPETFJIXX01,2046,1.5794228099999998
GLOBAL,PWRPETFJIXX01,2047,1.5794228099999998
GLOBAL,PWRPETFJIXX01,2048,1.897792344
GLOBAL,PWRPETFJIXX01,2049,2.12478609
GLOBAL,PWRPETFJIXX01,2050,2.12478609
GLOBAL,PWRSPVFJIXX01,2040,0.65775099168
GLOBAL,PWRSPVFJIXX01,2041,0.65775099168
GLOBAL,PWRSPVFJIXX01,2042,0.65775099168
GLOBAL,PWRSPVFJIXX01,2043,0.65775099168
GLOBAL,PWRSPVFJIXX01,2044,0.65775099168
GLOBAL,PWRSPVFJIXX01,2045,0.65775099168
GLOBAL,PWRSPVFJIXX01,2046,0.65775099168
GLOBAL,PWRSPVFJIXX01,2047,1.09315914408
GLOBAL,PWRSPVFJIXX01,2048,1.09315914408
