REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
GLOBAL,PWROILFJIXX01,CO2FJI,2022,0.058321400703404996
GLOBAL,PWROILFJIXX01,CO2FJI,2028,0.0033976589819931496
GLOBAL,PWROILFJIXX01,CO2FJI,2029,0.0362626590018217
GLOBAL,PWROILFJIXX01,CO2FJI,2030,0.0691276590239508
GLOBAL,PWROILFJIXX01,CO2FJI,2031,0.0970738042931279
GLOBAL,PWROILFJIXX01,CO2FJI,2032,0.0446083324955856
GLOBAL,PWROILFJIXX01,CO2FJI,2033,0.157158119132581
GLOBAL,PWROILFJIXX01,CO2FJI,2034,0.037940389249176545
GLOBAL,PWROILFJIXX01,CO2FJI,2035,0.21735892636376672
GLOBAL,PWROILFJIXX01,CO2FJI,2036,0.03681173658932476
GLOBAL,PWROILFJIXX01,CO2FJI,2037,0.149853108611388
GLOBAL,PWROILFJIXX01,CO2FJI,2038,0.26532624621416756
GLOBAL,PWROILFJIXX01,CO2FJI,2039,0.1954899607972675
GLOBAL,PWROILFJIXX01,CO2FJI,2040,0.0671013684535243
GLOBAL,PWROILFJIXX01,CO2FJI,2041,0.060659875001319294
GLOBAL,PWROILFJIXX01,CO2FJI,2042,0.049541251541553095
GLOBAL,PWROILFJIXX01,CO2FJI,2043,0.0344843889600728
GLOBAL,PWROILFJIXX01,CO2FJI,2044,0.0167823972102304
GLOBAL,PWRPETFJIXX01,CO2FJI,2031,0.007041708298352001
GLOBAL,PWRPETFJIXX01,CO2FJI,2032,0.28402779528942
GLOBAL,PWRPETFJIXX01,CO2FJI,2033,0.209446762188594
GLOBAL,PWRPETFJIXX01,CO2FJI,2034,0.356314071723274
GLOBAL,PWRPETFJIXX01,CO2FJI,2035,0.19154864008287004
GLOBAL,PWRPETFJIXX01,CO2FJI,2036,0.385723801884631
GLOBAL,PWRPETFJIXX01,CO2FJI,2037,0.289124354011094
GLOBAL,PWRPETFJIXX01,CO2FJI,2038,0.1893081058500842
GLOBAL,PWRPETFJIXX01,CO2FJI,2039,0.28193264781409
GLOBAL,PWRPETFJIXX01,CO2FJI,2040,0.385723803525802
GLOBAL,PWRPETFJIXX01,CO2FJI,2041,0.385723804072859
GLOBAL,PWRPETFJIXX01,CO2FJI,2042,0.38572380024346
GLOBAL,PWRPETFJIXX01,CO2FJI,2043,0.38572380501746
GLOBAL,PWRPETFJIXX01,CO2FJI,2044,0.38572380404747
GLOBAL,PWRPETFJIXX01,CO2FJI,2045,0.37374079846768
GLOBAL,PWRPETFJIXX01,CO2FJI,2046,0.41175173608072
GLOBAL,PWRPETFJIXX01,CO2FJI,2047,0.40433254641451
GLOBAL,PWRPETFJIXX01,CO2FJI,2048,0.44542666082789006
GLOBAL,PWRPETFJIXX01,CO2FJI,2049,0.49967666321272
GLOBAL,PWRPETFJIXX01,CO2FJI,2050,0.5539266610297
