REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOFJIXX01,2034,3.6958267
GLOBAL,PWRBIOFJIXX01,2035,13.565823
GLOBAL,PWRBIOFJIXX01,2036,16.088395
GLOBAL,PWRBIOFJIXX01,2037,16.067375
GLOBAL,PWRBIOFJIXX01,2038,15.20181
GLOBAL,PWRBIOFJIXX01,2039,24.773529
GLOBAL,PWRBIOFJIXX01,2040,9.2973257
GLOBAL,PWRBIOFJIXX01,2041,33.479011
GLOBAL,PWRBIOFJIXX01,2042,35.002215
GLOBAL,PWRBIOFJIXX01,2043,37.415098
GLOBAL,PWRBIOFJIXX01,2044,40.378101
GLOBAL,PWRBIOFJIXX01,2045,45.885102
GLOBAL,PWRBIOFJIXX01,2046,31.212345
GLOBAL,PWRBIOFJIXX01,2047,21.968359
GLOBAL,PWRBIOFJIXX01,2048,8.1383618
GLOBAL,PWRPETFJIXX01,2031,5.1470316
GLOBAL,PWRPETFJIXX01,2032,68.08278
GLOBAL,PWRPETFJIXX01,2033,8.3888609
GLOBAL,PWRPETFJIXX01,2034,5.7471959
GLOBAL,PWRPETFJIXX01,2046,5.8952882
GLOBAL,PWRPETFJIXX01,2048,18.798962
GLOBAL,PWRPETFJIXX01,2049,13.403446
GLOBAL,PWRSPVFJIXX01,2040,23.847405
GLOBAL,PWRSPVFJIXX01,2047,15.786148
GLOBAL,LNDCONHRTOT,2021,0.66365816
GLOBAL,LNDCONHRTOT,2022,0.0028928571
GLOBAL,LNDCONHRTOT,2023,0.0028928571
GLOBAL,LNDCONHRTOT,2024,0.0028928571
GLOBAL,LNDCONHRTOT,2025,0.0028928571
GLOBAL,LNDCONHRTOT,2026,0.0021795918
GLOBAL,LNDCONHRTOT,2027,0.0021795918
GLOBAL,LNDCONHRTOT,2028,0.0021795918
GLOBAL,LNDCONHRTOT,2029,0.0021795918
GLOBAL,LNDCONHRTOT,2030,0.0021795918
GLOBAL,LNDCONHRTOT,2031,0.0014908163
GLOBAL,LNDCONHRTOT,2032,0.0014908163
GLOBAL,LNDCONHRTOT,2033,0.0014908163
GLOBAL,LNDCONHRTOT,2034,0.0014908163
GLOBAL,LNDCONHRTOT,2035,0.0014908163
GLOBAL,LNDCONHRTOT,2036,0.66432551
GLOBAL,LNDCONHRTOT,2037,0.0035632653
GLOBAL,LNDCONHRTOT,2038,0.0035602041
GLOBAL,LNDCONHRTOT,2039,0.0071204082
GLOBAL,LNDCONHRTOT,2041,0.0020755102
GLOBAL,LNDCONHRTOT,2042,0.0020785714
GLOBAL,LNDCONHRTOT,2043,0.0020755102
GLOBAL,LNDCONHRTOT,2044,0.0020755102
GLOBAL,LNDCONHRTOT,2045,0.0020755102
GLOBAL,LNDCONHRTOT,2046,0.00078673469
GLOBAL,LNDCONHRTOT,2047,0.00078367347
GLOBAL,LNDCONHRTOT,2048,0.0023510204
GLOBAL,LNDCASHRTOT,2021,1.1003571
GLOBAL,LNDCASHRTOT,2022,0.0047969388
GLOBAL,LNDCASHRTOT,2023,0.0047954082
GLOBAL,LNDCASHRTOT,2024,0.0047969388
GLOBAL,LNDCASHRTOT,2025,0.0047969388
GLOBAL,LNDCASHRTOT,2026,0.0036137755
GLOBAL,LNDCASHRTOT,2027,0.0036137755
GLOBAL,LNDCASHRTOT,2028,0.0036122449
GLOBAL,LNDCASHRTOT,2029,0.0036137755
GLOBAL,LNDCASHRTOT,2030,0.0036137755
GLOBAL,LNDCASHRTOT,2031,0.0024719388
GLOBAL,LNDCASHRTOT,2032,0.0024734694
GLOBAL,LNDCASHRTOT,2033,0.0024719388
GLOBAL,LNDCASHRTOT,2034,0.0024719388
GLOBAL,LNDCASHRTOT,2035,0.0024719388
GLOBAL,LNDCASHRTOT,2036,1.1014638
GLOBAL,LNDCASHRTOT,2037,0.005905102
GLOBAL,LNDCASHRTOT,2038,0.0059020408
GLOBAL,LNDCASHRTOT,2039,0.011808673
GLOBAL,LNDCASHRTOT,2041,0.0034423469
GLOBAL,LNDCASHRTOT,2042,0.0034423469
GLOBAL,LNDCASHRTOT,2043,0.0034423469
GLOBAL,LNDCASHRTOT,2044,0.0034423469
GLOBAL,LNDCASHRTOT,2045,0.0034423469
GLOBAL,LNDCASHRTOT,2046,0.0012994898
GLOBAL,LNDCASHRTOT,2047,0.001302551
GLOBAL,LNDCASHRTOT,2048,0.0039
GLOBAL,LNDYAMHRTOT,2021,0.88835769
GLOBAL,LNDYAMHRTOT,2022,0.003871978
