REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S1D1,ELCFJIXX02,2021,0.9380000000000002
GLOBAL,S1D2,ELCFJIXX02,2021,0.8375
GLOBAL,S2D1,ELCFJIXX02,2021,0.8375
GLOBAL,S2D2,ELCFJIXX02,2021,0.737
GLOBAL,S1D1,ELCFJIXX02,2022,0.9604000000000001
GLOBAL,S1D2,ELCFJIXX02,2022,0.8575
GLOBAL,S2D1,ELCFJIXX02,2022,0.8575
GLOBAL,S2D2,ELCFJIXX02,2022,0.7546
GLOBAL,S1D1,ELCFJIXX02,2023,0.9800000000000001
GLOBAL,S1D2,ELCFJIXX02,2023,0.875
GLOBAL,S2D1,ELCFJIXX02,2023,0.875
GLOBAL,S2D2,ELCFJIXX02,2023,0.77
GLOBAL,S1D1,ELCFJIXX02,2024,1.0024000000000002
GLOBAL,S1D2,ELCFJIXX02,2024,0.895
GLOBAL,S2D1,ELCFJIXX02,2024,0.895
GLOBAL,S2D2,ELCFJIXX02,2024,0.7876
GLOBAL,S1D1,ELCFJIXX02,2025,1.022
GLOBAL,S1D2,ELCFJIXX02,2025,0.9125
GLOBAL,S2D1,ELCFJIXX02,2025,0.9125
GLOBAL,S2D2,ELCFJIXX02,2025,0.8029999999999999
GLOBAL,S1D1,ELCFJIXX02,2026,1.064
GLOBAL,S1D2,ELCFJIXX02,2026,0.95
GLOBAL,S2D1,ELCFJIXX02,2026,0.95
GLOBAL,S2D2,ELCFJIXX02,2026,0.836
GLOBAL,S1D1,ELCFJIXX02,2027,1.106
GLOBAL,S1D2,ELCFJIXX02,2027,0.9875
GLOBAL,S2D1,ELCFJIXX02,2027,0.9875
GLOBAL,S2D2,ELCFJIXX02,2027,0.869
GLOBAL,S1D1,ELCFJIXX02,2028,1.148
GLOBAL,S1D2,ELCFJIXX02,2028,1.025
GLOBAL,S2D1,ELCFJIXX02,2028,1.025
GLOBAL,S2D2,ELCFJIXX02,2028,0.9019999999999999
