REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DEMCOMELCFJIXX02,COMELCFJIXX02,2039,0.085615114
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2021,0.07189000014
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2022,0.07220340021999999
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2023,0.07251670034
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2024,0.07283010042
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2025,0.07314349952
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2026,0.07337960013999999
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2027,0.07361569978
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2028,0.07385170044
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2029,0.07408780008
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2030,0.07432389972
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2031,0.07448539979999999
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2032,0.07464699983999999
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2033,0.07480849992000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2034,0.07497
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2035,0.07513150008
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2036,0.07520379958000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2037,0.07527620002
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2038,0.07534849952
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2039,0.07580659953999999
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2040,0.07549320044
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2041,0.07548200002000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2042,0.0754707996
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2043,0.07545970011999999
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2044,0.0754484997
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2045,0.07543730026
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2046,0.07536069954
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2047,0.07528419975999999
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2048,0.07537749968
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2049,0.0752159996
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2050,0.07505449952
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2021,0.06255299972
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2022,0.06282560032
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2023,0.06309830028
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2024,0.06337100024
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2025,0.06364359992
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2026,0.06384910032
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2027,0.06405450044000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2028,0.06425989964
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2029,0.06446529976000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2030,0.06467080016000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2031,0.0648112998
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2032,0.06495180036
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2033,0.06509240028
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2034,0.06523289992
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2035,0.06537349984
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2036,0.06543640024
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2037,0.06549929972
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2038,0.06556230040000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2039,0.06596080024
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2040,0.06568819964
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2041,0.06567839980000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2042,0.06566870024
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2043,0.06565899976
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2044,0.0656493002
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2045,0.06563950036
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2046,0.06557289972000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2047,0.0655063
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2048,0.06558760040000002
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2049,0.06544709984
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2050,0.06530649992000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2021,1.72599999
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2022,1.7335200300000002
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2023,1.7410499700000002
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2024,1.7485700100000003
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2025,1.75609005
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2026,1.76176
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2027,1.7674299500000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2028,1.7731000100000003
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2029,1.7787699600000002
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2030,1.7844400200000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2031,1.7883100400000003
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2032,1.7921899600000002
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2033,1.7960699900000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2034,1.7999500200000003
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2035,1.8038200400000002
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2036,1.8055600200000002
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2037,1.8073000000000001
