REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DEMCOMELCFJIXX02,ELCFJIXX02,2039,0.085615114
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2021,0.073357143
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2022,0.073676939
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2023,0.073996633
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2024,0.074316429
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2025,0.074636224
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2026,0.074877143
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2027,0.075118061
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2028,0.075358878
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2029,0.075599796
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2030,0.075840714
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2031,0.07600551
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2032,0.076170408
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2033,0.076335204
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2034,0.0765
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2035,0.076664796
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2036,0.076738571
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2037,0.076812449
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2038,0.076886224
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2039,0.077353673
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2040,0.077033878
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2041,0.077022449
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2042,0.07701102
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2043,0.076999694
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2044,0.076988265
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2045,0.076976837
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2046,0.076898673
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2047,0.076820612
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2048,0.076915816
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2049,0.07675102
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2050,0.076586224
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2021,0.067992391
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2022,0.068288696
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2023,0.068585109
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2024,0.068881522
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2025,0.069177826
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2026,0.069401196
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2027,0.069624457
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2028,0.069847717
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2029,0.070070978
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2030,0.070294348
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2031,0.070447065
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2032,0.070599783
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2033,0.070752609
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2034,0.070905326
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2035,0.071058152
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2036,0.071126522
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2037,0.071194891
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2038,0.07126337
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2039,0.071696522
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2040,0.071400217
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2041,0.071389565
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2042,0.071379022
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2043,0.071368478
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2044,0.071357935
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2045,0.071347283
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2046,0.071274891
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2047,0.0712025
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2048,0.07129087
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2049,0.071138152
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2050,0.070985326
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2021,1.5690909
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2022,1.5759273
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2023,1.5827727
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2024,1.5896091
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2025,1.5964455
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2026,1.6016
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2027,1.6067545
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2028,1.6119091
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2029,1.6170636
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2030,1.6222182
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2031,1.6257364
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2032,1.6292636
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2033,1.6327909
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2034,1.6363182
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2035,1.6398364
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2036,1.6414182
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2037,1.643
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2038,1.6445818
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2039,1.6206148
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2040,1.6477364
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2042,1.6472455
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2043,1.647
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2044,1.6467636
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2045,1.6465182
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2046,1.6448455
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2047,1.6431727
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2048,1.630247
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2049,1.6342008
GLOBAL,S1D1,LNDAGRFJIC01,LSGCHRTOT,2050,1.6381636
GLOBAL,S1D1,LNDAGRFJIC01,WTRPRCFJI,2021,4.618189171800001
GLOBAL,S1D1,LNDAGRFJIC01,WTRPRCFJI,2022,4.638310924500001
GLOBAL,S1D1,LNDAGRFJIC01,WTRPRCFJI,2023,4.6584569934
GLOBAL,S1D1,LNDAGRFJIC01,WTRPRCFJI,2024,4.678579037700001
GLOBAL,S1D1,LNDAGRFJIC01,WTRPRCFJI,2025,4.698700785
GLOBAL,S1D1,LNDAGRFJIC01,WTRPRCFJI,2026,4.7138715153
GLOBAL,S1D1,LNDAGRFJIC01,WTRPRCFJI,2027,4.7290419486
GLOBAL,S1D1,LNDAGRFJIC01,WTRPRCFJI,2028,4.744212376500001
GLOBAL,S1D1,LNDAGRFJIC01,WTRPRCFJI,2029,4.759382809800001
GLOBAL,S1D1,LNDAGRFJIC01,WTRPRCFJI,2030,4.7745538074
GLOBAL,S1D1,LNDAGRFJIC01,WTRPRCFJI,2031,4.784910232500001
GLOBAL,S1D1,LNDAGRFJIC01,WTRPRCFJI,2032,4.7952912357000015
