REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,DEMCOMELCFJIXX02,ELCFJIXX02,1,2039,S1D1,0.085615114
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,8,2039,S2D1,0.0027618119100000006
GLOBAL,LNDAGRFJIC01,LCONHRTOT,8,2039,S2D1,0.0010228933
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2021,S1D2,0.19806428610000001
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2021,S1D1,0.19806428610000001
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2021,S2D2,0.19806428610000001
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2021,S2D1,0.19806428610000001
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2021,S1D2,0.073357143
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2021,S1D1,0.073357143
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2021,S2D2,0.073357143
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2021,S2D1,0.073357143
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2022,S1D2,0.1989277353
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2022,S1D1,0.1989277353
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2022,S2D2,0.1989277353
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2022,S2D1,0.1989277353
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2022,S1D2,0.073676939
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2022,S1D1,0.073676939
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2022,S2D2,0.073676939
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2022,S2D1,0.073676939
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2023,S1D2,0.19979090910000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2023,S1D1,0.19979090910000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2023,S2D2,0.19979090910000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2023,S2D1,0.19979090910000002
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2023,S1D2,0.073996633
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2023,S1D1,0.073996633
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2023,S2D2,0.073996633
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2023,S2D1,0.073996633
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2024,S1D2,0.20065435830000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2024,S1D1,0.20065435830000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2024,S2D2,0.20065435830000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2024,S2D1,0.20065435830000003
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2024,S1D2,0.074316429
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2024,S1D1,0.074316429
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2024,S2D2,0.074316429
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2024,S2D1,0.074316429
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2025,S1D2,0.2015178048
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2025,S1D1,0.2015178048
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2025,S2D2,0.2015178048
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2025,S2D1,0.2015178048
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2025,S1D2,0.074636224
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2025,S1D1,0.074636224
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2025,S2D2,0.074636224
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2025,S2D1,0.074636224
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2026,S1D2,0.20216828609999998
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2026,S1D1,0.20216828609999998
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2026,S2D2,0.20216828609999998
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2026,S2D1,0.20216828609999998
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2026,S1D2,0.074877143
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2026,S1D1,0.074877143
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2026,S2D2,0.074877143
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2026,S2D1,0.074877143
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2027,S1D2,0.20281876470000001
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2027,S1D1,0.20281876470000001
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2027,S2D2,0.20281876470000001
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2027,S2D1,0.20281876470000001
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2027,S1D2,0.075118061
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2027,S1D1,0.075118061
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2027,S2D2,0.075118061
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2027,S2D1,0.075118061
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2028,S1D2,0.20346897060000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2028,S1D1,0.20346897060000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2028,S2D2,0.20346897060000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2028,S2D1,0.20346897060000002
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2028,S1D2,0.075358878
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2028,S1D1,0.075358878
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2028,S2D2,0.075358878
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2028,S2D1,0.075358878
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2029,S1D2,0.2041194492
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2029,S1D1,0.2041194492
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2029,S2D2,0.2041194492
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2029,S2D1,0.2041194492
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2029,S1D2,0.075599796
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2029,S1D1,0.075599796
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2029,S2D2,0.075599796
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2029,S2D1,0.075599796
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2030,S1D2,0.20476992780000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2030,S1D1,0.20476992780000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2030,S2D2,0.20476992780000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2030,S2D1,0.20476992780000003
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2030,S1D2,0.075840714
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2030,S1D1,0.075840714
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2030,S2D2,0.075840714
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2030,S2D1,0.075840714
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2031,S1D2,0.20521487700000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2031,S1D1,0.20521487700000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2031,S2D2,0.20521487700000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2031,S2D1,0.20521487700000002
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2031,S1D2,0.07600551
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2031,S1D1,0.07600551
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2031,S2D2,0.07600551
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2031,S2D1,0.07600551
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2032,S1D2,0.2056601016
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2032,S1D1,0.2056601016
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2032,S2D2,0.2056601016
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2032,S2D1,0.2056601016
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2032,S1D2,0.076170408
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2032,S1D1,0.076170408
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2032,S2D2,0.076170408
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2032,S2D1,0.076170408
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2033,S1D2,0.20610505080000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2033,S1D1,0.20610505080000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2033,S2D2,0.20610505080000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2033,S2D1,0.20610505080000002
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2033,S1D2,0.076335204
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2033,S1D1,0.076335204
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2033,S2D2,0.076335204
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2033,S2D1,0.076335204
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2034,S1D2,0.20655
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2034,S1D1,0.20655
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2034,S2D2,0.20655
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2034,S2D1,0.20655
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2034,S1D2,0.0765
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2034,S1D1,0.0765
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2034,S2D2,0.0765
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2034,S2D1,0.0765
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2035,S1D2,0.2069949492
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2035,S1D1,0.2069949492
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2035,S2D2,0.2069949492
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2035,S2D1,0.2069949492
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2035,S1D2,0.076664796
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2035,S1D1,0.076664796
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2035,S2D2,0.076664796
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2035,S2D1,0.076664796
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2036,S1D2,0.20719414170000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2036,S1D1,0.20719414170000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2036,S2D2,0.20719414170000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2036,S2D1,0.20719414170000003
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2036,S1D2,0.076738571
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2036,S1D1,0.076738571
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2036,S2D2,0.076738571
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2036,S2D1,0.076738571
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2037,S1D2,0.20739361230000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2037,S1D1,0.20739361230000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2037,S2D2,0.20739361230000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2037,S2D1,0.20739361230000003
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2037,S1D2,0.076812449
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2037,S1D1,0.076812449
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2037,S2D2,0.076812449
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2037,S2D1,0.076812449
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2038,S1D2,0.20759280480000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2038,S1D1,0.20759280480000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2038,S2D2,0.20759280480000003
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2038,S2D1,0.20759280480000003
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2038,S1D2,0.076886224
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2038,S1D1,0.076886224
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2038,S2D2,0.076886224
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2038,S2D1,0.076886224
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2039,S1D2,0.2088549171
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2039,S1D1,0.2088549171
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2039,S2D2,0.2088549171
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2039,S2D1,0.14984262090000003
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2039,S1D2,0.077353673
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2039,S1D1,0.077353673
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2039,S2D2,0.077353673
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2039,S2D1,0.055497267
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2040,S1D2,0.2079914706
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2040,S1D1,0.2079914706
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2040,S2D2,0.2079914706
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2040,S2D1,0.2079914706
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2040,S1D2,0.077033878
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2040,S1D1,0.077033878
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2040,S2D2,0.077033878
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2040,S2D1,0.077033878
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2041,S1D2,0.20796061230000004
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2041,S1D1,0.20796061230000004
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2041,S2D2,0.20796061230000004
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2041,S2D1,0.20796061230000004
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2041,S1D2,0.077022449
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2041,S1D1,0.077022449
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2041,S2D2,0.077022449
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2041,S2D1,0.077022449
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2042,S1D2,0.20792975400000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2042,S1D1,0.20792975400000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2042,S2D2,0.20792975400000002
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2042,S2D1,0.20792975400000002
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2042,S1D2,0.07701102
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2042,S1D1,0.07701102
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2042,S2D2,0.07701102
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2042,S2D1,0.07701102
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2043,S1D2,0.2078991738
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2043,S1D1,0.2078991738
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2043,S2D2,0.2078991738
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2043,S2D1,0.2078991738
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2043,S1D2,0.076999694
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2043,S1D1,0.076999694
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2043,S2D2,0.076999694
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2043,S2D1,0.076999694
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2044,S1D2,0.2078683155
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2044,S1D1,0.2078683155
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2044,S2D2,0.2078683155
GLOBAL,LNDAGRFJIC01,WTRPRCFJI,11,2044,S2D1,0.2078683155
GLOBAL,LNDAGRFJIC01,LCASHRTOT,11,2044,S1D2,0.076988265
