REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOFJIXX01,2034,2.2583918
GLOBAL,PWRBIOFJIXX01,2035,8.7353155
GLOBAL,PWRBIOFJIXX01,2036,10.863072
GLOBAL,PWRBIOFJIXX01,2037,11.327699
GLOBAL,PWRBIOFJIXX01,2038,11.148919
GLOBAL,PWRBIOFJIXX01,2039,18.838396
GLOBAL,PWRBIOFJIXX01,2040,7.309255
GLOBAL,PWRBIOFJIXX01,2041,27.140921
GLOBAL,PWRBIOFJIXX01,2042,29.193051
GLOBAL,PWRBIOFJIXX01,2043,32.037508
GLOBAL,PWRBIOFJIXX01,2044,35.429809
GLOBAL,PWRBIOFJIXX01,2045,41.187452
GLOBAL,PWRBIOFJIXX01,2046,28.616455
GLOBAL,PWRBIOFJIXX01,2047,20.543193
GLOBAL,PWRBIOFJIXX01,2048,7.7521993
GLOBAL,PWRPETFJIXX01,2031,2.5854051
GLOBAL,PWRPETFJIXX01,2032,36.788133
GLOBAL,PWRPETFJIXX01,2033,4.8367424
GLOBAL,PWRPETFJIXX01,2034,3.5119126
GLOBAL,PWRPETFJIXX01,2046,5.4049848
GLOBAL,PWRPETFJIXX01,2048,17.906958
GLOBAL,PWRPETFJIXX01,2049,12.989877
GLOBAL,PWRSPVFJIXX01,2040,18.748054
GLOBAL,PWRSPVFJIXX01,2047,14.762044
GLOBAL,LNDCONHRTOT,2037,0.00032694584
GLOBAL,LNDCONHRTOT,2038,0.00063777444
GLOBAL,LNDCONHRTOT,2039,0.0018681384
GLOBAL,LNDCONHRTOT,2041,0.00086571956
GLOBAL,LNDCONHRTOT,2042,0.0010164293
GLOBAL,LNDCONHRTOT,2043,0.0011570398
GLOBAL,LNDCONHRTOT,2044,0.0012923802
GLOBAL,LNDCONHRTOT,2045,0.0014212758
GLOBAL,LNDCONHRTOT,2046,0.00058527523
GLOBAL,LNDCONHRTOT,2047,0.00062714171
GLOBAL,LNDCONHRTOT,2048,0.0020075503
GLOBAL,LNDCASHRTOT,2037,0.00054182004
GLOBAL,LNDCASHRTOT,2038,0.0010572907
GLOBAL,LNDCASHRTOT,2039,0.0030981702
GLOBAL,LNDCASHRTOT,2041,0.0014358431
GLOBAL,LNDCASHRTOT,2042,0.0016833207
GLOBAL,LNDCASHRTOT,2043,0.0019190136
GLOBAL,LNDCASHRTOT,2044,0.002143483
GLOBAL,LNDCASHRTOT,2045,0.0023572634
GLOBAL,LNDCASHRTOT,2046,0.00096672893
GLOBAL,LNDCASHRTOT,2047,0.0010423781
GLOBAL,LNDCASHRTOT,2048,0.0033302332
GLOBAL,LNDYAMHRTOT,2037,0.00043724577
GLOBAL,LNDYAMHRTOT,2038,0.00085396559
GLOBAL,LNDYAMHRTOT,2039,0.0025009627
GLOBAL,LNDYAMHRTOT,2041,0.0011592038
GLOBAL,LNDYAMHRTOT,2042,0.0013590006
GLOBAL,LNDYAMHRTOT,2043,0.0015502022
GLOBAL,LNDYAMHRTOT,2044,0.0017294785
GLOBAL,LNDYAMHRTOT,2045,0.001903097
GLOBAL,LNDYAMHRTOT,2046,0.00078112609
GLOBAL,LNDYAMHRTOT,2047,0.00084027189
GLOBAL,LNDYAMHRTOT,2048,0.0026883962
GLOBAL,LNDSGCHRTOT,2037,0.011586098
GLOBAL,LNDSGCHRTOT,2038,0.022644906
GLOBAL,LNDSGCHRTOT,2039,0.066223045
GLOBAL,LNDSGCHRTOT,2041,0.030714588
GLOBAL,LNDSGCHRTOT,2042,0.036008461
GLOBAL,LNDSGCHRTOT,2043,0.041050244
GLOBAL,LNDSGCHRTOT,2044,0.045936854
GLOBAL,LNDSGCHRTOT,2045,0.050424989
GLOBAL,LNDSGCHRTOT,2046,0.020593324
GLOBAL,LNDSGCHRTOT,2047,0.022261749
GLOBAL,LNDSGCHRTOT,2048,0.071262332
GLOBAL,LNDOTHHRTOT,2037,0.00050190741
GLOBAL,LNDOTHHRTOT,2038,0.00098049863
GLOBAL,LNDOTHHRTOT,2039,0.0028711741
GLOBAL,LNDOTHHRTOT,2041,0.0013309036
GLOBAL,LNDOTHHRTOT,2042,0.0015602941
GLOBAL,LNDOTHHRTOT,2043,0.0017787613
GLOBAL,LNDOTHHRTOT,2044,0.0019868252
GLOBAL,LNDOTHHRTOT,2045,0.0021849814
GLOBAL,LNDOTHHRTOT,2046,0.00089635431
GLOBAL,LNDOTHHRTOT,2047,0.00096422505
GLOBAL,LNDOTHHRTOT,2048,0.003089376
