REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINCOGINT,1,2021,9.6721211
GLOBAL,MINCOGINT,1,2022,10.692993
GLOBAL,MINCOGINT,1,2025,11.84497
GLOBAL,MINCOGINT,1,2026,11.842501
GLOBAL,MINCOGINT,1,2027,11.847891
GLOBAL,MINCOGINT,1,2030,10.479229
GLOBAL,MINCOGINT,1,2033,4.0663042
GLOBAL,MINCOGINT,1,2034,3.4032788
GLOBAL,MINCOGINT,1,2035,2.7312761
GLOBAL,MINCOGINT,1,2039,0.24238245
GLOBAL,MINGASINT,1,2023,11.857787
GLOBAL,MINGASINT,1,2024,11.851384
GLOBAL,MINGASINT,1,2028,11.774823
GLOBAL,MINGASINT,1,2029,11.109983
GLOBAL,MINGASINT,1,2031,9.3504465
GLOBAL,MINGASINT,1,2037,1.8217544
GLOBAL,MINGASINT,1,2038,1.5319007
GLOBAL,MINOILINT,1,2022,0.82251541
GLOBAL,MINOILINT,1,2028,0.047917691
GLOBAL,MINOILINT,1,2029,0.51141769
GLOBAL,MINOILINT,1,2030,0.97491769
GLOBAL,MINOILINT,1,2031,1.3690464
GLOBAL,MINOILINT,1,2032,0.62911798
GLOBAL,MINOILINT,1,2033,2.2164244
GLOBAL,MINOILINT,1,2034,0.53507898
GLOBAL,MINOILINT,1,2035,3.0654454
GLOBAL,MINOILINT,1,2036,0.51916142
GLOBAL,MINOILINT,1,2037,2.1134008
GLOBAL,MINOILINT,1,2038,3.7419356
GLOBAL,MINOILINT,1,2039,2.7570241
GLOBAL,MINOILINT,1,2040,0.94634062
GLOBAL,MINOILINT,1,2041,0.85549527
GLOBAL,MINOILINT,1,2042,0.69868767
GLOBAL,MINOILINT,1,2043,0.48633849
GLOBAL,MINOILINT,1,2044,0.23668465
GLOBAL,MINPETINT,1,2031,0.099297819
GLOBAL,MINPETINT,1,2032,4.0051845
GLOBAL,MINPETINT,1,2033,2.9534889
GLOBAL,MINPETINT,1,2034,5.0245211
GLOBAL,MINPETINT,1,2035,2.7011007
GLOBAL,MINPETINT,1,2036,5.4392389
GLOBAL,MINPETINT,1,2037,4.0770531
GLOBAL,MINPETINT,1,2038,2.669506
GLOBAL,MINPETINT,1,2039,3.9756401
GLOBAL,MINPETINT,1,2040,5.4392389
GLOBAL,MINPETINT,1,2041,5.4392389
GLOBAL,MINPETINT,1,2042,5.4392389
GLOBAL,MINPETINT,1,2043,5.4392389
GLOBAL,MINPETINT,1,2044,5.4392389
GLOBAL,MINPETINT,1,2045,5.270262
GLOBAL,MINPETINT,1,2046,5.8062688
GLOBAL,MINPETINT,1,2047,5.7016479
GLOBAL,MINPETINT,1,2048,6.2811317
GLOBAL,MINPETINT,1,2049,7.0461317
GLOBAL,MINPETINT,1,2050,7.8111317
GLOBAL,PWRBIOFJIXX01,1,2021,1.0990296
GLOBAL,PWRBIOFJIXX01,1,2022,1.0990296
GLOBAL,PWRBIOFJIXX01,1,2023,1.0990296
GLOBAL,PWRBIOFJIXX01,1,2024,1.0990296
GLOBAL,PWRBIOFJIXX01,1,2025,1.0990296
GLOBAL,PWRBIOFJIXX01,1,2026,1.0990296
GLOBAL,PWRBIOFJIXX01,1,2027,1.0990296
GLOBAL,PWRBIOFJIXX01,1,2028,1.0990296
GLOBAL,PWRBIOFJIXX01,1,2029,1.0990296
GLOBAL,PWRBIOFJIXX01,1,2030,1.0990296
GLOBAL,PWRBIOFJIXX01,1,2031,1.0990296
GLOBAL,PWRBIOFJIXX01,1,2032,0.15768
GLOBAL,PWRBIOFJIXX01,1,2033,0.15768
GLOBAL,PWRBIOFJIXX01,1,2034,0.18499682
GLOBAL,PWRBIOFJIXX01,1,2035,0.28539573
