REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DEMCOMELCFJIXX02,ELCFJIXX02,2039,0.021223986760600003
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2021,0.0181852357497
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2022,0.0182645131781
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2023,0.018343765320700003
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2024,0.0184230427491
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2025,0.0185023199296
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2026,0.0185620437497
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2027,0.0186217673219
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2028,0.0186814658562
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2029,0.0187411894284
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2030,0.0188009130006
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2031,0.018841765929000002
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2032,0.0188826441432
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2033,0.0189234970716
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2034,0.01896435
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2035,0.019005202928399998
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2036,0.019023491750900002
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2037,0.0190418061071
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2038,0.0190600949296
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2039,0.019175975536700002
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2040,0.019096698356200002
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2041,0.019093865107100004
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2042,0.019091031858000002
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2043,0.0190882241426
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2044,0.0190853908935
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2045,0.0190825578923
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2046,0.0190631810367
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2047,0.0190438297148
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2048,0.0190674307864
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2049,0.019026577858
GLOBAL,S1D1,LNDAGRFJIC01,LCASHRTOT,2050,0.0189857249296
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2021,0.0168553137289
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2022,0.016928767738399998
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2023,0.0170022485211
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2024,0.0170757293038
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2025,0.0171491830654
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2026,0.0172045564884
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2027,0.0172599028903
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2028,0.017315249044300002
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2029,0.017370595446200003
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2030,0.017425968869200004
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2031,0.017463827413500003
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2032,0.0175016862057
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2033,0.0175395717711
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2034,0.017577430315400003
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2035,0.017615315880800002
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2036,0.0176322648038
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2037,0.0176492134789
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2038,0.017666189423000002
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2039,0.0177735678038
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2040,0.0177001137943
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2041,0.0176974731635
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2042,0.0176948595538
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2043,0.0176922456962
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2044,0.0176896320865
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2045,0.0176869914557
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2046,0.0176690454789
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2047,0.01765109975
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2048,0.017673006673
GLOBAL,S1D1,LNDAGRFJIC01,LOTHHRTOT,2049,0.0176351478808
