map_id,model_file,parameter,entity,mode,scenario,years,value_or_expression,model_unit,evidence_ids,superseded_by,notes
MAP_ACTIVE_INPUT_INVENTORY,active_source_files.csv,provenance inventory,Fiji_v2.9 active source files,,SC_0,2026-08-04,one row per current Fiji_v2.9 source/supporting JSON,inventory row,SRC_FIJI_V28_SOLVED SRC_FIJI_V29_VALIDATION,,Coverage anchor for the current JSON-native MUIO case.
MAP_FILE_R_JSON,R.json,complete active source file,R.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RE_JSON,RE.json,complete active source file,RE.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RS_JSON,RS.json,complete active source file,RS.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RT_JSON,RT.json,complete active source file,RT.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RTSM_JSON,RTSM.json,complete active source file,RTSM.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYC_JSON,RYC.json,complete active source file,RYC.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYCTS_JSON,RYCTs.json,complete active source file,RYCTs.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYCN_JSON,RYCn.json,complete active source file,RYCn.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,CALC_LAND_COUNTRY_MODEL_UNITS CALC_LAND_CROPLAND_MODEL_UNITS CALC_LAND_IRRIGATION_MODEL_UNITS CALC_ENV_LAND CALC_ENV_WATER,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYDTB_JSON,RYDtb.json,complete active source file,RYDtb.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYE_JSON,RYE.json,complete active source file,RYE.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYS_JSON,RYS.json,complete active source file,RYS.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYSEDT_JSON,RYSeDt.json,complete active source file,RYSeDt.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYT_JSON,RYT.json,complete active source file,RYT.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE CALC_LAND_COUNTRY_MODEL_UNITS CALC_LAND_CROPLAND_MODEL_UNITS CALC_LAND_IRRIGATION_MODEL_UNITS SRC_UNSD_ENERGY,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYTC_JSON,RYTC.json,complete active source file,RYTC.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYTCM_JSON,RYTCM.json,complete active source file,RYTCM.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE CALC_THERMAL_FROZEN_HEAT_RATE CALC_ENV_LAND CALC_ENV_WATER,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYTCN_JSON,RYTCn.json,complete active source file,RYTCn.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,CALC_ENV_LAND CALC_ENV_WATER SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYTEM_JSON,RYTEM.json,complete active source file,RYTEM.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYTM_JSON,RYTM.json,complete active source file,RYTM.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE ASM_PRICE_IMPHFO ASM_PRICE_IMPDSL ASM_PRICE_IMPKER ASM_PRICE_IMPGSL ASM_PRICE_IMPLPG ASM_PRICE_RNWBIO,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYTTS_JSON,RYTTs.json,complete active source file,RYTTs.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_RYTS_JSON,RYTs.json,complete active source file,RYTs.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_GENDATA_JSON,genData.json,complete active source file,genData.json,,SC_0,2020-2050,current Fiji_v2.9 source JSON; unchanged cells retain inherited lineage; parameter-specific overlay rows take precedence,mixed model units,SRC_FIJI_V25_CASE SRC_NAMIBIA_LAND_PATTERN CALC_ENV_LAND CALC_ENV_WATER,,File-level v2.9 coverage; see active parameter-specific map rows for changed families.
MAP_FILE_LAND_ALLOCATION_2020_JSON,land_allocation_2020.json,complete active source file,land_allocation_2020.json,,SC_0,2020-2050,current Fiji_v2.6 source JSON; unchanged cells inherit Fiji_v2.5,mixed model units,CALC_LULC_SCALE CALC_LAND_CROSSCHECKS,,File-level coverage; parameter-specific overlay rows below take precedence for changed families.
MAP_FILE_NATIONAL_LAND_MANIFEST_JSON,national_land_manifest.json,complete active source file,national_land_manifest.json,,SC_0,2020-2050,current Fiji_v2.6 source JSON; unchanged cells inherit Fiji_v2.5,mixed model units,CALC_ENV_LAND CALC_ENV_WATER SRC_FIJI_V26_VALIDATION,,File-level coverage; parameter-specific overlay rows below take precedence for changed families.
MAP_FILE_PHASE1F_THERMAL_FUEL_COST_JSON,phase1f_thermal_fuel_cost.json,complete active source file,phase1f_thermal_fuel_cost.json,,SC_0,2020-2050,current Fiji_v2.6 source JSON; unchanged cells inherit Fiji_v2.5,mixed model units,SRC_FIJI_PHASE1F SRC_EFL_ANNUAL SRC_RBF_FX,,File-level coverage; parameter-specific overlay rows below take precedence for changed families.
MAP_FILE_PHASE1G_CROP_LAND_JSON,phase1g_crop_land.json,complete active source file,phase1g_crop_land.json,,SC_0,2020-2050,current Fiji_v2.6 source JSON; unchanged cells inherit Fiji_v2.5,mixed model units,SRC_FAOSTAT_CROPS SRC_FIJI_AG_CENSUS,,File-level coverage; parameter-specific overlay rows below take precedence for changed families.
MAP_FILE_PHASE1H_ROAD_TRANSPORT_JSON,phase1h_road_transport.json,complete active source file,phase1h_road_transport.json,,SC_0,2020-2050,current Fiji_v2.6 source JSON; unchanged cells inherit Fiji_v2.5,mixed model units,SRC_UNSD_ENERGY SRC_FIJI_ENERGY_ACCOUNT SRC_FIJI_GHG_NIR SRC_FIJI_IMTS SRC_FIJI_LEDS,,File-level coverage; parameter-specific overlay rows below take precedence for changed families.
MAP_FILE_PHASE1I_PETROLEUM_ACCOUNTING_JSON,phase1i_petroleum_accounting.json,complete active source file,phase1i_petroleum_accounting.json,,SC_0,2020-2050,current Fiji_v2.6 source JSON; unchanged cells inherit Fiji_v2.5,mixed model units,SRC_UNSD_ENERGY SRC_UNSD_DSD SRC_FIJI_GHG_NIR,,File-level coverage; parameter-specific overlay rows below take precedence for changed families.
MAP_FILE_PHASE1J_PUBLIC_DATA_JSON,phase1j_public_data.json,complete active source file,phase1j_public_data.json,,SC_0,2020-2050,current Fiji_v2.6 source JSON; unchanged cells inherit Fiji_v2.5,mixed model units,SRC_FIJI_PHASE1J SRC_UNSD_ENERGY,,File-level coverage; parameter-specific overlay rows below take precedence for changed families.
MAP_FILE_PHASE1K_PROMOTION_JSON,phase1k_promotion.json,complete active source file,phase1k_promotion.json,,SC_0,2020-2050,current Fiji_v2.6 source JSON; unchanged cells inherit Fiji_v2.5,mixed model units,SRC_FIJI_V26_VALIDATION,,File-level coverage; parameter-specific overlay rows below take precedence for changed families.
