calculation_id,output_description,formula,source_ids,assumption_ids,input_calculation_ids,input_values,input_units,conversion_factors,method,script_path,script_version,rounding,output_value,output_unit,review_status,notes
CALC_FSH_CAPTURE_OFF_FUEL,Offshore longline diesel-equivalent mass,catch_t * fuel_t_per_catch_t,SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL,,,"catch=12661; intensity=0.140",tonne catch; tonne fuel/tonne catch,none,direct multiplication,scripts/create_fiji_v27_fisheries.py,v2.7,none,1772.54,tonne fuel,reviewed,
CALC_FSH_CAPTURE_COAST_FUEL,Coastal commercial diesel-equivalent mass,catch_t * fuel_t_per_catch_t,SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL,,,"catch=11000; intensity=0.075",tonne catch; tonne fuel/tonne catch,none,direct multiplication,scripts/create_fiji_v27_fisheries.py,v2.7,none,825,tonne fuel,reviewed,"Subsistence catch is excluded because no defensible motorization share is available."
CALC_FSH_CAPTURE_ENERGY,Total capture final diesel energy,(offshore_fuel_t + coastal_fuel_t) * NCV_GJ_per_t / 1000000,SRC_FSH_UNSD_DSD,,CALC_FSH_CAPTURE_OFF_FUEL;CALC_FSH_CAPTURE_COAST_FUEL,"1772.54; 825; NCV=43",tonne; GJ/tonne,1000000 GJ/PJ,unit conversion,scripts/create_fiji_v27_fisheries.py,v2.7,none,0.11169422,PJ final energy,reviewed,
CALC_FSH_CAPTURE_SERVICE,Capture motive useful service,final_energy_PJ * diesel_efficiency,,ASM_FSH_CAPTURE_EFF,CALC_FSH_CAPTURE_ENERGY,"0.11169422; 0.30",PJ; fraction,none,efficiency conversion,scripts/create_fiji_v27_fisheries.py,v2.7,none,0.033508266,PJ useful service,reviewed,
CALC_FSH_CAPTURE_RC,Capture diesel effective residual capacity,service / utilization,,ASM_FSH_CAPTURE_UTIL,CALC_FSH_CAPTURE_SERVICE,"0.033508266; 0.70",PJ/year; fraction,CAU=1,effective capacity with uniform-age retirement,/Users/sato/.codex/skills/add-fisheries-sector/scripts/estimate_residual_capacity.py,skill-2026-08-03,17 significant digits,0.04786895142857143,PJ service/year,reviewed,
CALC_FSH_AQ_INPUT,Aquaculture electricity input,harvest_kg * kWh_per_kg * 3.6e-9,SRC_FSH_FIJI_MOF_AR2020_21,ASM_FSH_AQ_ENERGY,,"harvest=4327.38; intensity=0.5",kg; kWh/kg,3.6e-9 PJ/kWh,unit conversion,scripts/create_fiji_v27_fisheries.py,v2.7,none,0.000007789284,PJ final energy,reviewed,
CALC_FSH_AQ_SERVICE,Aquaculture useful service,electricity_input * electric_efficiency,,ASM_FSH_AQ_EFF,CALC_FSH_AQ_INPUT,"0.000007789284; 0.75",PJ; fraction,none,efficiency conversion,scripts/create_fiji_v27_fisheries.py,v2.7,none,0.000005841963,PJ useful service,reviewed,
CALC_FSH_AQ_RC,Aquaculture electric effective residual capacity,service / utilization,,ASM_FSH_AQ_UTIL,CALC_FSH_AQ_SERVICE,"0.000005841963; 0.60",PJ/year; fraction,CAU=1,effective capacity with uniform-age retirement,/Users/sato/.codex/skills/add-fisheries-sector/scripts/estimate_residual_capacity.py,skill-2026-08-03,17 significant digits,0.000009736605,PJ service/year,reviewed,
CALC_FSH_POST_THROUGHPUT,Modeled post-harvest throughput,longline_catch_t * modeled_share,SRC_FSH_FIJI_MOF_AR2020_21,ASM_FSH_POST_SHARE,,"12661; 0.50",tonne; fraction,none,boundary allocation,scripts/create_fiji_v27_fisheries.py,v2.7,none,6330.5,tonne product,reviewed,
CALC_FSH_POST_ENERGY,Post-harvest final energy,throughput_t * 1000 kg/t * 1.111 kWh/kg * 3.6e-9 PJ/kWh,SRC_FSH_FAO_PROCESS,,CALC_FSH_POST_THROUGHPUT,"6330.5; 1.111",tonne; kWh/kg,"1000 kg/t; 3.6e-9 PJ/kWh",unit conversion,scripts/create_fiji_v27_fisheries.py,v2.7,none,0.0253194678,PJ final energy,reviewed,"FAO intensity includes refrigerated storage."
CALC_FSH_POST_SERVICE,Post-harvest useful service,final_energy * (electric_share*electric_efficiency + diesel_share*diesel_efficiency),,ASM_FSH_POST_MIX_EFF,CALC_FSH_POST_ENERGY,"0.0253194678; 0.80; 0.75; 0.20; 0.80",PJ; fractions,none,weighted efficiency conversion,scripts/create_fiji_v27_fisheries.py,v2.7,none,0.019242795528,PJ useful service,reviewed,
CALC_FSH_POST_WATER,Post-harvest process water,throughput_t * 9.52 m3/t / 1e9,SRC_FSH_FAO_PROCESS,,CALC_FSH_POST_THROUGHPUT,"6330.5; 9.52",tonne; m3/tonne,1e9 m3/km3,unit conversion,scripts/create_fiji_v27_fisheries.py,v2.7,none,0.00006026636,km3,reviewed,
CALC_FSH_POST_WATER_IAR,Water input ratio per post-harvest service,process_water_km3 / service_PJ,,,CALC_FSH_POST_WATER;CALC_FSH_POST_SERVICE,"0.00006026636; 0.019242795528",km3; PJ,none,ratio,scripts/create_fiji_v27_fisheries.py,v2.7,none,0.0031318921365820793,km3/PJ service,reviewed,
CALC_FSH_POST_ELEC_RC,Electric post-harvest effective residual capacity,(final_energy * electric_share * electric_efficiency) / utilization,,ASM_FSH_POST_MIX_EFF;ASM_FSH_POST_UTIL,CALC_FSH_POST_ENERGY,"0.0253194678; 0.80; 0.75; 0.70",PJ; fractions,CAU=1,effective capacity with uniform-age retirement,/Users/sato/.codex/skills/add-fisheries-sector/scripts/estimate_residual_capacity.py,skill-2026-08-03,17 significant digits,0.02170240097142857,PJ service/year,reviewed,
CALC_FSH_POST_DSL_RC,Diesel post-harvest effective residual capacity,(final_energy * diesel_share * diesel_efficiency) / utilization,,ASM_FSH_POST_MIX_EFF;ASM_FSH_POST_UTIL,CALC_FSH_POST_ENERGY,"0.0253194678; 0.20; 0.80; 0.70",PJ; fractions,CAU=1,effective capacity with uniform-age retirement,/Users/sato/.codex/skills/add-fisheries-sector/scripts/estimate_residual_capacity.py,skill-2026-08-03,17 significant digits,0.005787306925714286,PJ service/year,reviewed,
CALC_FSH_SOLAR_RC,Solar-freezer useful residual capacity,count * kW_each * 8760 h/year * 3.6e-9 PJ/kWh * COP,SRC_FSH_FIJI_MOF_AR2020_21,ASM_FSH_SOLAR_FREEZER,,"4; 0.2; 8760; COP=2.0",count; kW; hour; fraction,3.6e-9 PJ/kWh,effective capacity estimate,scripts/create_fiji_v27_fisheries.py,v2.7,none,0.0000504576,PJ service/year,reviewed,"Small stock can idle; it does not force solar activity."
CALC_FSH_CAPTURE_BOUNDARY,Capture amount removed from existing agriculture service,catch_final_energy * existing_agriculture_efficiency,SRC_FSH_FIJI_V26,,CALC_FSH_CAPTURE_ENERGY,"0.11169422; 0.25",PJ; fraction,none,boundary reconciliation,scripts/create_fiji_v27_fisheries.py,v2.7,none,0.027923555,PJ service,reviewed,
