model_file,role,lineage_status,primary_evidence_ids,live_path
R.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/R.json
RE.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RE.json
RS.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RS.json
RT.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RT.json
RTSM.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RTSM.json
RYC.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYC.json
RYCTs.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYCTs.json
RYCn.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYCn.json
RYDtb.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYDtb.json
RYE.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYE.json
RYS.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYS.json
RYSeDt.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYSeDt.json
RYT.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYT.json
RYTC.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYTC.json
RYTCM.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYTCM.json
RYTCn.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYTCn.json
RYTEM.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYTEM.json
RYTM.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYTM.json
RYTTs.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYTTs.json
RYTs.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/RYTs.json
