table,metric,population_basis,national_percent,candidate_model_mapping,model_use_status,source_locator
SR.2.1,Clean fuels and technologies,households,52.1,Context only,Share evidence only; not an energy quantity,"DS-FJI-MICS-2021, report page 29"
SR.2.1,Other fuels,households,47.8,Context only,Share evidence only; not an energy quantity,"DS-FJI-MICS-2021, report page 29"
TC.4.1,Electric stove,household members,1.0,RESELCFJIXX02 to residential cooking service,Candidate share only; domestic electricity also serves non-cooking uses,"DS-FJI-MICS-2021, report page 157"
TC.4.1,Solar cooker,household members,0.0,New solar-cooking pathway if supported later,Displayed survey share is not proof of a structural zero,"DS-FJI-MICS-2021, report page 157"
TC.4.1,LPG cooking-gas stove,household members,46.0,RESLPG to residential cooking service,Candidate share only; requires energy quantity and conversion efficiency,"DS-FJI-MICS-2021, report page 157"
TC.4.1,Biogas stove,household members,2.7,New biogas pathway,Do not map to fossil NGS or generic solid BIO without a documented convention,"DS-FJI-MICS-2021, report page 157"
TC.4.1,Liquid-fuel stove not using alcohol or ethanol,household members,27.2,RESKER candidate,Stove share only; Table TC.4.2 separately reports 28.0 percent kerosene/paraffin,"DS-FJI-MICS-2021, report page 157"
TC.4.1,Manufactured solid-fuel stove,household members,0.1,RESBIO candidate,Candidate share only; fuel and stove efficiency unresolved,"DS-FJI-MICS-2021, report page 157"
TC.4.1,Traditional solid-fuel stove,household members,1.3,RESBIO candidate,Candidate share only; fuel and stove efficiency unresolved,"DS-FJI-MICS-2021, report page 157"
TC.4.1,Three-stone stove or open fire,household members,19.3,RESBIO candidate,Candidate share only; fuel and stove efficiency unresolved,"DS-FJI-MICS-2021, report page 157"
TC.4.1,Other cookstove,household members,2.3,Unresolved,Do not force into an existing carrier,"DS-FJI-MICS-2021, report page 157"
TC.4.1,Primary reliance on clean fuels and technologies,household members,49.7,Aggregate validation indicator,Share evidence only; not an energy quantity,"DS-FJI-MICS-2021, report page 157"
TC.4.2,Kerosene or paraffin,household members,28.0,RESKER to residential cooking service,Candidate fuel share only; requires energy quantity and efficiency,"DS-FJI-MICS-2021, report page 158"
TC.4.2,Wood,household members,21.4,RESBIO to residential cooking service,Candidate fuel share only; requires energy quantity and efficiency,"DS-FJI-MICS-2021, report page 158"
