year,basis,commercial_grid_use_pj,industrial_grid_use_pj,grid_residential_use_pj,direct_loss_and_boundary_overhead_pj,bottom_up_gross_grid_requirement_pj,phase1b_accounting_control_gross_grid_requirement_pj,difference_from_phase1b_control_pj,overhead_ratio_on_end_use,households,urban_fraction,urban_grid_households,rural_grid_households,urban_kwh_per_grid_household,rural_kwh_per_grid_household,residential_driver_index_2024_1
2020,observed,1.403463654000,0.711581547600,0.989897569200,0.409996429200,3.514939200000,3.514939200000,0.000000000000,0.119232103418,187186.327803,0.55570000,97674.256376,61709.828999,1430.135417,1311.541667,1.003834735372
2021,observed,1.288929211200,0.614161944000,1.082072120400,0.388101524400,3.373264800000,3.373264800000,0.000000000000,0.119232103418,187897.635849,0.55930000,98680.587719,61442.414184,1424.862187,1299.043750,1.002925628806
2022,observed,1.606213972800,0.732363814800,1.119874550400,0.434807262000,3.893259600000,3.893259600000,0.000000000000,0.119232103418,188611.646865,0.56290000,99693.156763,61172.075927,1419.513333,1286.533333,1.001984039286
2023,observed,1.682635359600,0.753039446400,1.165838457600,0.434021936400,4.035535200000,4.035535200000,0.000000000000,0.119232103418,189328.371123,0.56650000,100711.996385,60898.795870,1414.088854,1274.010417,1.001009116596
2024,observed,1.821406939200,0.844390530000,1.254802723200,0.467461407600,4.388061600000,4.388061600000,0.000000000000,0.119232103418,190047.818933,0.57010000,101737.139618,60622.555561,1408.588750,1261.475000,1.000000000000
2025,projected,1.868763519619,0.861278340600,1.253492480975,0.474965178538,4.458499519732,4.473861687151,-0.015362167419,0.119232103418,190770.000645,0.57370000,102768.619659,60343.336446,1403.013021,1248.927083,0.998955818153
2026,projected,1.917351371129,0.878503907412,1.251964502558,0.482630066757,4.530449847855,4.657719016760,-0.127269168904,0.119232103418,191494.926648,0.57690000,103734.544369,60117.955571,1397.361667,1236.366667,0.997738114056
2027,projected,1.967202506779,0.896073985560,1.250385515738,0.490480573973,4.604142582050,4.841576346369,-0.237433764319,0.119232103418,192222.607369,0.58010000,104706.326128,59889.990443,1391.634687,1223.793750,0.996479759423
2028,projected,2.018349771955,0.913995465271,1.248754421080,0.498521306859,4.679620965166,5.025433675978,-0.345812710812,0.119232103418,192953.053277,0.58330000,105683.995502,59659.424677,1385.832083,1211.208333,0.995179878073
2029,projected,2.070826866026,0.932275374577,1.247070106261,0.506756988805,4.756929335668,5.209291005587,-0.452361669919,0.119232103418,193686.274880,0.58650000,106667.583204,59426.241800,1379.953854,1198.610417,0.993837583553
2030,projected,2.124668364542,0.950920882068,1.245331445955,0.515192462876,4.836113155441,5.393148335196,-0.557035179754,0.119232103418,194422.282724,0.58970000,107657.120095,59190.425250,1374.000000,1186.000000,0.992451979048
2031,projected,2.179909742021,0.969939299710,1.257586203401,0.525507774955,4.932943020086,5.589262820112,-0.656319800025,0.119232103418,195161.087398,0.59278000,108630.646435,58969.335524,1382.665000,1188.200000,1.002218261205
2032,projected,2.236587395313,0.989338085704,1.269917119908,0.536048769944,5.031891370868,5.785377305028,-0.753485934160,0.119232103418,195902.699531,0.59586000,109610.017007,58745.710805,1391.260000,1190.400000,1.012045237413
2033,projected,2.294738667591,1.009124847418,1.282323919260,0.546820774456,5.133008208725,5.993748945251,-0.860740736526,0.119232103418,196647.129789,0.59894000,110595.262169,58519.535022,1399.785000,1192.600000,1.021932687546
2034,projected,2.354401872949,1.029307344366,1.294806316877,0.557829248014,5.236344782206,6.189863430168,-0.953518647962,0.119232103418,197394.388882,0.60202000,111586.412425,58290.792014,1408.240000,1194.800000,1.031880384810
2035,projected,2.415616321645,1.049893491254,1.307364019721,0.569079786411,5.341953619031,6.385977915084,-1.044024296053,0.119232103418,198144.487560,0.60510000,112583.498428,58059.465538,1416.625000,1197.000000,1.041888095674
2036,projected,2.478422346008,1.070891361079,1.319956007791,0.580573270213,5.449842985091,6.618863865922,-1.169020880831,0.119232103418,198897.436612,0.60810000,113571.609801,57837.345813,1424.940000,1199.200000,1.051923129737
2037,projected,2.542861327004,1.092309188300,1.332621265530,0.592320263370,5.560112044205,6.851749816760,-1.291637772554,0.119232103418,199653.246872,0.61110000,114565.605114,57612.699600,1433.185000,1201.400000,1.062016555186
2038,projected,2.608975721506,1.114155372066,1.345359477577,0.604326791951,5.672817363101,7.072378612291,-1.399561249190,0.119232103418,200411.929210,0.61410000,115565.514818,57385.510904,1441.360000,1203.600000,1.072168120695
2039,projected,2.676809090265,1.136438479508,1.358170319918,0.616599032640,5.788016922331,7.305264563128,-1.517247640797,0.119232103418,201173.494541,0.61710000,116571.369509,57155.763646,1449.465000,1205.800000,1.082377568049
2040,projected,2.746406126612,1.159167249098,1.371053459799,0.629143316549,5.905770152058,7.525893358659,-1.620123206601,0.119232103418,201937.953820,0.62010000,117583.199929,56923.441663,1457.500000,1208.000000,1.092644632061
2041,projected,2.817812685904,1.182350594080,1.383953223829,0.641959535796,6.026076039609,7.795550775419,-1.769474735810,0.119232103418,202705.318044,0.62300000,118582.002940,56703.569438,1465.465000,1210.200000,1.102924944488
2042,projected,2.891075815738,1.205997605961,1.396922829602,0.655060729212,6.149056980513,8.052951036872,-1.903894056358,0.119232103418,203475.598253,0.62590000,119586.698953,56481.204209,1473.360000,1212.400000,1.113260916457
2043,projected,2.966243786947,1.230117558081,1.409961922874,0.668453715672,6.274776983574,8.310351298324,-2.035574314750,0.119232103418,204248.805526,0.62880000,120597.318331,56256.330206,1481.185000,1214.600000,1.123652265655
2044,projected,3.043366125408,1.254719909242,1.423070140513,0.682145484746,6.403301659909,8.580008715084,-2.176707055174,0.119232103418,205024.950987,0.63170000,121613.891585,56028.931571,1488.940000,1216.800000,1.134098702690
2045,projected,3.122493644668,1.279814307427,1.436247110404,0.696143201022,6.534698263522,8.837408976536,-2.302710713015,0.119232103418,205804.045801,0.63460000,122636.449370,55798.992365,1496.625000,1219.000000,1.144599931008
