domain,metric,observed,modeled,tolerance,forcing_class,phase,weight,year,period,region,unit,source,constraint_refs,notes
energy,biomass ipp generation,67.094,67.19444444444444,0.2,H,calibration,1.0,2020,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,hydro generation,558.173,526.3333333333334,0.15,E,calibration,1.5,2020,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,thermal generation,349.97,382.66666666666663,0.2,E,calibration,1.5,2020,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,wind generation,1.136,0.1388888888888889,1.0,H,calibration,0.05,2020,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,total grid supply,976.372,976.3333333333334,0.01,J,calibration,0.1,2020,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,renewable share,64.15618227478872,60.80573574598839,0.1,E,calibration,1.5,2020,annual,Fiji national grid-supply aggregate,percent,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,biomass ipp generation,61.053,67.19444444444444,0.2,H,calibration,1.0,2021,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,hydro generation,547.862,526.3333333333334,0.15,E,calibration,1.5,2021,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,thermal generation,327.81,343.3333333333333,0.2,E,calibration,1.5,2021,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,wind generation,0.293,0.1388888888888889,1.0,H,calibration,0.05,2021,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
