domain,metric,observed,modeled,tolerance,forcing_class,phase,weight,year,period,region,unit,source,constraint_refs,notes
energy,biomass ipp generation,67.094,70.61111111111111,0.2,H,calibration,1.0,2020,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,hydro generation,558.173,526.3333333333334,0.15,E,calibration,1.5,2020,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,thermal generation,349.97,379.27777777777777,0.2,E,calibration,1.5,2020,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,wind generation,1.136,0.1388888888888889,1.0,H,calibration,0.05,2020,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,total grid supply,976.372,976.3611111111112,0.01,J,calibration,0.1,2020,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,renewable share,64.15618227478872,61.153944635693755,0.1,E,calibration,1.5,2020,annual,Fiji national grid-supply aggregate,percent,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,biomass ipp generation,61.053,62.69444444444444,0.2,H,calibration,1.0,2021,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,hydro generation,547.862,526.3333333333334,0.15,E,calibration,1.5,2021,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,thermal generation,327.81,347.8333333333333,0.2,E,calibration,1.5,2021,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,wind generation,0.293,0.1388888888888889,1.0,H,calibration,0.05,2021,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,total grid supply,937.018,937.0,0.01,J,calibration,0.1,2021,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,renewable share,65.0156133606825,62.877979366773395,0.1,E,calibration,1.5,2021,annual,Fiji national grid-supply aggregate,percent,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,biomass ipp generation,73.471,68.33333333333334,0.2,H,calibration,1.0,2022,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,hydro generation,598.096,526.3333333333334,0.15,E,calibration,1.5,2022,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,thermal generation,409.801,486.66666666666663,0.2,E,calibration,1.5,2022,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
