Year,Technology,Label,Raw_generation_GWh,Historical_constraint_applied
2021,PWRHYDFJIXX01,Hydropower,625.269558,False
2021,PWROILFJIXX01,Oil-fired thermal,0,False
2021,PWRWONFJIXX01,Wind,0,False
2021,PWRBIOFJIXX01,Biomass,305.286,False
2022,PWRHYDFJIXX01,Hydropower,573.551163,False
2022,PWROILFJIXX01,Oil-fired thermal,73.9406165,False
2022,PWRWONFJIXX01,Wind,0,False
2022,PWRBIOFJIXX01,Biomass,305.286,False
2023,PWRHYDFJIXX01,Hydropower,662.267271,False
2023,PWROILFJIXX01,Oil-fired thermal,0,False
2023,PWRWONFJIXX01,Wind,4.6689486,False
2023,PWRBIOFJIXX01,Biomass,305.286002,False
2024,PWRHYDFJIXX01,Hydropower,684.489502,False
2024,PWROILFJIXX01,Oil-fired thermal,0,False
2024,PWRWONFJIXX01,Wind,4.6689486,False
2024,PWRBIOFJIXX01,Biomass,305.286003,False
2025,PWRHYDFJIXX01,Hydropower,703.933939,False
2025,PWROILFJIXX01,Oil-fired thermal,0,False
2025,PWRWONFJIXX01,Wind,4.6689486,False
2025,PWRBIOFJIXX01,Biomass,305.285997,False
