REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2FJI,2021,0.0
GLOBAL,CO2FJI,2022,0.058321400703404996
GLOBAL,CO2FJI,2023,0.0
GLOBAL,CO2FJI,2024,0.0
GLOBAL,CO2FJI,2025,0.0
GLOBAL,CO2FJI,2026,0.0
GLOBAL,CO2FJI,2027,0.0
GLOBAL,CO2FJI,2028,0.0033976589819931496
GLOBAL,CO2FJI,2029,0.0362626590018217
GLOBAL,CO2FJI,2030,0.0691276590239508
GLOBAL,CO2FJI,2031,0.1041155125914799
GLOBAL,CO2FJI,2032,0.3286361277850056
GLOBAL,CO2FJI,2033,0.366604881321175
GLOBAL,CO2FJI,2034,0.39425446097245054
GLOBAL,CO2FJI,2035,0.4089075664466367
GLOBAL,CO2FJI,2036,0.42253553847395575
GLOBAL,CO2FJI,2037,0.438977462622482
GLOBAL,CO2FJI,2038,0.4546343520642518
GLOBAL,CO2FJI,2039,0.4774226086113575
GLOBAL,CO2FJI,2040,0.4528251719793263
GLOBAL,CO2FJI,2041,0.4463836790741783
GLOBAL,CO2FJI,2042,0.43526505178501307
GLOBAL,CO2FJI,2043,0.42020819397753284
GLOBAL,CO2FJI,2044,0.4025062012577004
GLOBAL,CO2FJI,2045,0.37374079846768
GLOBAL,CO2FJI,2046,0.41175173608072
GLOBAL,CO2FJI,2047,0.40433254641451
GLOBAL,CO2FJI,2048,0.44542666082789006
GLOBAL,CO2FJI,2049,0.49967666321272
GLOBAL,CO2FJI,2050,0.5539266610297
