REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,LNDAGRFJIC01,2021,-4.4052738031
GLOBAL,LNDAGRFJIC01,2022,-4.3479835739
GLOBAL,LNDAGRFJIC01,2023,-0.30045532059
GLOBAL,LNDAGRFJIC01,2024,-0.225929587331
GLOBAL,LNDAGRFJIC01,2025,-0.15140494979
GLOBAL,LNDAGRFJIC01,2026,-0.09521661503600001
GLOBAL,LNDAGRFJIC01,2027,-0.039029368562999996
GLOBAL,LNDAGRFJIC01,2041,-3.6791007615
GLOBAL,LNDAGRFJIC02,2021,-87.102000218
GLOBAL,LNDAGRFJIC02,2022,-87.10199957500001
GLOBAL,LNDAGRFJIC02,2023,-87.10199957500001
GLOBAL,LNDAGRFJIC02,2024,-87.10199957500001
GLOBAL,LNDAGRFJIC02,2025,-87.10199957500001
GLOBAL,LNDAGRFJIC02,2026,-87.10199957500001
GLOBAL,LNDAGRFJIC02,2027,-87.10199957500001
GLOBAL,LNDAGRFJIC02,2028,-87.08484417000001
GLOBAL,LNDAGRFJIC02,2029,-87.028656122
GLOBAL,LNDAGRFJIC02,2030,-86.972468074
GLOBAL,LNDAGRFJIC02,2031,-86.93411105899999
GLOBAL,LNDAGRFJIC02,2032,-86.89566076700001
GLOBAL,LNDAGRFJIC02,2033,-86.85721299600002
GLOBAL,LNDAGRFJIC02,2034,-86.81876455199999
GLOBAL,LNDAGRFJIC02,2035,-86.780405689
GLOBAL,LNDAGRFJIC02,2036,-86.763167091
GLOBAL,LNDAGRFJIC02,2037,-86.74592597200001
GLOBAL,LNDAGRFJIC02,2038,-86.728684853
GLOBAL,LNDAGRFJIC02,2039,-86.71535632599999
GLOBAL,LNDAGRFJIC02,2040,-86.694296441
GLOBAL,LNDAGRFJIC02,2041,-87.10199957500001
GLOBAL,LNDAGRFJIC02,2042,-86.69964545399999
GLOBAL,LNDAGRFJIC02,2043,-86.702317714
GLOBAL,LNDAGRFJIC02,2044,-86.704901739
GLOBAL,LNDAGRFJIC02,2045,-86.70757652
GLOBAL,LNDAGRFJIC02,2046,-86.725810913
GLOBAL,LNDAGRFJIC02,2047,-86.744042785
GLOBAL,LNDAGRFJIC02,2048,-86.76227465699998
GLOBAL,LNDAGRFJIC02,2049,-86.780506529
GLOBAL,LNDAGRFJIC02,2050,-87.10199957500001
GLOBAL,LNDAGRFJIC03,2021,-61.403999521
GLOBAL,LNDAGRFJIC03,2022,-61.403999521
GLOBAL,LNDAGRFJIC03,2023,-61.403999521
GLOBAL,LNDAGRFJIC03,2024,-61.403999521
GLOBAL,LNDAGRFJIC03,2025,-61.403999521
GLOBAL,LNDAGRFJIC03,2026,-61.403999521
GLOBAL,LNDAGRFJIC03,2027,-61.403999521
GLOBAL,LNDAGRFJIC03,2028,-61.403999521
GLOBAL,LNDAGRFJIC03,2029,-61.403999521
GLOBAL,LNDAGRFJIC03,2030,-61.403999521
GLOBAL,LNDAGRFJIC03,2031,-61.403999521
GLOBAL,LNDAGRFJIC03,2032,-61.403999521
GLOBAL,LNDAGRFJIC03,2033,-61.403999521
GLOBAL,LNDAGRFJIC03,2034,-61.403999535000004
GLOBAL,LNDAGRFJIC03,2035,-61.403999521
GLOBAL,LNDAGRFJIC03,2036,-61.403999521
GLOBAL,LNDAGRFJIC03,2037,-61.403999521
GLOBAL,LNDAGRFJIC03,2038,-61.403999521
GLOBAL,LNDAGRFJIC03,2039,-61.374801299
GLOBAL,LNDAGRFJIC03,2040,-61.403999535000004
GLOBAL,LNDAGRFJIC03,2041,-61.403999521
GLOBAL,LNDAGRFJIC03,2042,-61.403999521
GLOBAL,LNDAGRFJIC03,2043,-61.403999521
GLOBAL,LNDAGRFJIC03,2044,-61.403999521
GLOBAL,LNDAGRFJIC03,2045,-61.403999521
GLOBAL,LNDAGRFJIC03,2046,-61.403999521
GLOBAL,LNDAGRFJIC03,2047,-61.403999521
GLOBAL,LNDAGRFJIC03,2048,-61.403999521
GLOBAL,LNDAGRFJIC03,2049,-61.403999521
GLOBAL,LNDAGRFJIC03,2050,-61.100647591
GLOBAL,LNDAGRFJIC04,2021,-11.6786446845
GLOBAL,LNDAGRFJIC04,2022,-11.656900303199997
GLOBAL,LNDAGRFJIC04,2023,-15.625301949099999
GLOBAL,LNDAGRFJIC04,2024,-15.6207918801
GLOBAL,LNDAGRFJIC04,2025,-15.6162820632
GLOBAL,LNDAGRFJIC04,2026,-15.6128840073
GLOBAL,LNDAGRFJIC04,2027,-15.6094859514
GLOBAL,LNDAGRFJIC04,2028,-15.606087643399999
GLOBAL,LNDAGRFJIC04,2029,-15.602690847999998
GLOBAL,LNDAGRFJIC04,2030,-15.599292539999999
GLOBAL,LNDAGRFJIC04,2031,-15.5969679259
GLOBAL,LNDAGRFJIC04,2032,-15.594643311799999
GLOBAL,LNDAGRFJIC04,2033,-15.592318697699998
GLOBAL,LNDAGRFJIC04,2034,-15.5899939523
GLOBAL,LNDAGRFJIC04,2035,-15.5876704779
GLOBAL,LNDAGRFJIC04,2036,-15.5866288007
GLOBAL,LNDAGRFJIC04,2037,-15.5855863672
GLOBAL,LNDAGRFJIC04,2038,-15.584545950499999
GLOBAL,LNDAGRFJIC04,2039,-15.595748266099998
GLOBAL,LNDAGRFJIC04,2040,-15.582463741900002
GLOBAL,LNDAGRFJIC04,2041,-11.4984955371
GLOBAL,LNDAGRFJIC04,2042,-15.582785032
GLOBAL,LNDAGRFJIC04,2043,-15.582945619699998
GLOBAL,LNDAGRFJIC04,2044,-15.5831074679
GLOBAL,LNDAGRFJIC04,2045,-15.583269064
GLOBAL,LNDAGRFJIC04,2046,-15.584369228400002
GLOBAL,LNDAGRFJIC04,2047,-15.585471409599998
GLOBAL,LNDAGRFJIC04,2048,-15.586573590799999
GLOBAL,LNDAGRFJIC04,2049,-15.587675771999997
GLOBAL,LNDAGRFJIC04,2050,-15.5887779532
GLOBAL,MINCOGINT,2021,119.1798772526598
GLOBAL,MINCOGINT,2022,131.7590557524398
GLOBAL,MINCOGINT,2025,145.9537163513686
GLOBAL,MINCOGINT,2026,145.9233010629592
GLOBAL,MINCOGINT,2027,145.9897177482426
GLOBAL,MINCOGINT,2030,129.125053755669
GLOBAL,MINCOGINT,2033,50.10500006529739
GLOBAL,MINCOGINT,2034,41.9352012331292
GLOBAL,MINCOGINT,2035,33.654784175667594
GLOBAL,MINCOGINT,2039,2.986636518316796
GLOBAL,MINGASINT,2023,146.1116476237528
GLOBAL,MINGASINT,2024,146.0327482337132
GLOBAL,MINGASINT,2028,145.0893704378164
GLOBAL,MINGASINT,2029,136.89721632719758
GLOBAL,MINGASINT,2031,115.21620151177359
GLOBAL,MINGASINT,2037,22.447657899904915
GLOBAL,MINGASINT,2038,18.87608045657466
GLOBAL,MINOILINT,2022,14.43185550966482
GLOBAL,MINOILINT,2028,0.8407638094477892
GLOBAL,MINOILINT,2029,8.973334746717331
GLOBAL,MINOILINT,2030,17.105905711800787
GLOBAL,MINOILINT,2031,24.02128756047034
GLOBAL,MINOILINT,2032,11.03850407471129
GLOBAL,MINOILINT,2033,38.88938198865068
GLOBAL,MINOILINT,2034,9.38849554933219
GLOBAL,MINOILINT,2035,53.786304430840765
GLOBAL,MINOILINT,2036,9.10920639235182
GLOBAL,MINOILINT,2037,37.08172997551566
GLOBAL,MINOILINT,2038,65.65600191618168
GLOBAL,MINOILINT,2039,48.37474446925427
GLOBAL,MINOILINT,2040,16.60449259414326
GLOBAL,MINOILINT,2041,15.010520030668449
GLOBAL,MINOILINT,2042,12.25917362375636
GLOBAL,MINOILINT,2043,8.53329531854356
GLOBAL,MINOILINT,2044,4.1528688601796375
GLOBAL,MINPETINT,2031,1.74227954980773
GLOBAL,MINPETINT,2032,70.27496811570367
GLOBAL,MINPETINT,2033,51.82191628168586
GLOBAL,MINPETINT,2034,88.16024654209617
GLOBAL,MINPETINT,2035,47.3935124461819
GLOBAL,MINPETINT,2036,95.43688525179665
GLOBAL,MINPETINT,2037,71.53597363417182
GLOBAL,MINPETINT,2038,46.8391524150152
GLOBAL,MINPETINT,2039,69.7565805778581
GLOBAL,MINPETINT,2040,95.43688569413132
GLOBAL,MINPETINT,2041,95.43688525179665
GLOBAL,MINPETINT,2042,95.43688569413132
GLOBAL,MINPETINT,2043,95.4368855630627
GLOBAL,MINPETINT,2044,95.43688558552158
GLOBAL,MINPETINT,2045,92.47201681407623
GLOBAL,MINPETINT,2046,101.87679128115903
GLOBAL,MINPETINT,2047,100.04111359930951
GLOBAL,MINPETINT,2048,110.2087361221514
GLOBAL,MINPETINT,2049,123.63142613039801
GLOBAL,MINPETINT,2050,137.05411594914784
