REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOFJIXX01,2034,0.52254094
GLOBAL,PWRBIOFJIXX01,2035,2.021155
GLOBAL,PWRBIOFJIXX01,2036,2.5134698
GLOBAL,PWRBIOFJIXX01,2037,2.6209742
GLOBAL,PWRBIOFJIXX01,2038,2.5796084
GLOBAL,PWRBIOFJIXX01,2039,4.3587801
GLOBAL,PWRBIOFJIXX01,2040,1.6911968
GLOBAL,PWRBIOFJIXX01,2041,6.2797971
GLOBAL,PWRBIOFJIXX01,2042,6.7546136
GLOBAL,PWRBIOFJIXX01,2043,7.412757
GLOBAL,PWRBIOFJIXX01,2044,8.1976587
GLOBAL,PWRBIOFJIXX01,2045,9.5298476
GLOBAL,PWRBIOFJIXX01,2046,6.6212024
GLOBAL,PWRBIOFJIXX01,2047,4.7532316
GLOBAL,PWRBIOFJIXX01,2048,1.7936841
GLOBAL,PWRPETFJIXX01,2031,0.59820444
GLOBAL,PWRPETFJIXX01,2032,8.5119444
GLOBAL,PWRPETFJIXX01,2033,1.1191131
GLOBAL,PWRPETFJIXX01,2034,0.81257737
GLOBAL,PWRPETFJIXX01,2046,1.2505916
GLOBAL,PWRPETFJIXX01,2048,4.1432662
GLOBAL,PWRPETFJIXX01,2049,3.0055645
GLOBAL,PWRSPVFJIXX01,2040,4.3378769
GLOBAL,PWRSPVFJIXX01,2047,3.4156042
GLOBAL,LNDCONHRTOT,2037,7.5647894e-05
GLOBAL,LNDCONHRTOT,2038,0.00014756662
GLOBAL,LNDCONHRTOT,2039,0.00043224509
GLOBAL,LNDCONHRTOT,2041,0.00020030798
GLOBAL,LNDCONHRTOT,2042,0.00023517882
GLOBAL,LNDCONHRTOT,2043,0.00026771291
GLOBAL,LNDCONHRTOT,2044,0.00029902762
GLOBAL,LNDCONHRTOT,2045,0.00032885116
GLOBAL,LNDCONHRTOT,2046,0.00013541949
GLOBAL,LNDCONHRTOT,2047,0.00014510645
GLOBAL,LNDCONHRTOT,2048,0.00046450186
GLOBAL,LNDCASHRTOT,2037,0.00012536494
GLOBAL,LNDCASHRTOT,2038,0.00024463323
GLOBAL,LNDCASHRTOT,2039,0.00071684671
GLOBAL,LNDCASHRTOT,2041,0.00033222172
GLOBAL,LNDCASHRTOT,2042,0.00038948244
GLOBAL,LNDCASHRTOT,2043,0.00044401647
GLOBAL,LNDCASHRTOT,2044,0.00049595363
GLOBAL,LNDCASHRTOT,2045,0.0005454176
GLOBAL,LNDCASHRTOT,2046,0.00022367927
GLOBAL,LNDCASHRTOT,2047,0.00024118279
GLOBAL,LNDCASHRTOT,2048,0.00077054085
GLOBAL,LNDYAMHRTOT,2037,0.00010116881
GLOBAL,LNDYAMHRTOT,2038,0.00019758838
GLOBAL,LNDYAMHRTOT,2039,0.00057866636
GLOBAL,LNDYAMHRTOT,2041,0.00026821362
GLOBAL,LNDYAMHRTOT,2042,0.0003144421
GLOBAL,LNDYAMHRTOT,2043,0.00035868184
GLOBAL,LNDYAMHRTOT,2044,0.00040016233
GLOBAL,LNDYAMHRTOT,2045,0.00044033372
GLOBAL,LNDYAMHRTOT,2046,0.00018073496
GLOBAL,LNDYAMHRTOT,2047,0.00019441997
GLOBAL,LNDYAMHRTOT,2048,0.00062203425
GLOBAL,LNDSGCHRTOT,2037,0.0026807619
GLOBAL,LNDSGCHRTOT,2038,0.0052395206
GLOBAL,LNDSGCHRTOT,2039,0.015322519
GLOBAL,LNDSGCHRTOT,2041,0.007106663
GLOBAL,LNDSGCHRTOT,2042,0.0083315457
GLOBAL,LNDSGCHRTOT,2043,0.0094981007
GLOBAL,LNDSGCHRTOT,2044,0.010628752
GLOBAL,LNDSGCHRTOT,2045,0.011667205
GLOBAL,LNDSGCHRTOT,2046,0.0047648308
GLOBAL,LNDSGCHRTOT,2047,0.0051508667
GLOBAL,LNDSGCHRTOT,2048,0.016488497
GLOBAL,LNDOTHHRTOT,2037,0.00011613006
GLOBAL,LNDOTHHRTOT,2038,0.00022686527
GLOBAL,LNDOTHHRTOT,2039,0.00066432494
GLOBAL,LNDOTHHRTOT,2041,0.00030794109
GLOBAL,LNDOTHHRTOT,2042,0.00036101688
GLOBAL,LNDOTHHRTOT,2043,0.00041156525
GLOBAL,LNDOTHHRTOT,2044,0.00045970655
GLOBAL,LNDOTHHRTOT,2045,0.00050555541
GLOBAL,LNDOTHHRTOT,2046,0.00020739617
GLOBAL,LNDOTHHRTOT,2047,0.00022309993
GLOBAL,LNDOTHHRTOT,2048,0.00071481194
