REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOFJIXX01,2034,0.0017324215
GLOBAL,PWRBIOFJIXX01,2035,0.0063672569
GLOBAL,PWRBIOFJIXX01,2036,0.0075611175
GLOBAL,PWRBIOFJIXX01,2037,0.0075611175
GLOBAL,PWRBIOFJIXX01,2038,0.007163164
GLOBAL,PWRBIOFJIXX01,2039,0.011688715
GLOBAL,PWRBIOFJIXX01,2040,0.0043924304
GLOBAL,PWRBIOFJIXX01,2041,0.015816831
GLOBAL,PWRBIOFJIXX01,2042,0.016536453
GLOBAL,PWRBIOFJIXX01,2043,0.017676396
GLOBAL,PWRBIOFJIXX01,2044,0.019076238
GLOBAL,PWRBIOFJIXX01,2045,0.021677967
GLOBAL,PWRBIOFJIXX01,2046,0.014745966
GLOBAL,PWRBIOFJIXX01,2047,0.010378736
GLOBAL,PWRBIOFJIXX01,2048,0.0038448893
GLOBAL,PWRPETFJIXX01,2031,0.0041508319
GLOBAL,PWRPETFJIXX01,2032,0.054905468
GLOBAL,PWRPETFJIXX01,2033,0.0067652104
GLOBAL,PWRPETFJIXX01,2034,0.0046348354
GLOBAL,PWRPETFJIXX01,2046,0.0047542647
GLOBAL,PWRPETFJIXX01,2048,0.015160453
GLOBAL,PWRPETFJIXX01,2049,0.010809231
GLOBAL,PWRSPVFJIXX01,2040,0.046255344
GLOBAL,PWRSPVFJIXX01,2047,0.03061942
GLOBAL,LNDCONHRTOT,2021,0.044243878
GLOBAL,LNDCONHRTOT,2022,0.00019285714
GLOBAL,LNDCONHRTOT,2023,0.00019285714
GLOBAL,LNDCONHRTOT,2024,0.00019285714
GLOBAL,LNDCONHRTOT,2025,0.00019285714
GLOBAL,LNDCONHRTOT,2026,0.00014530612
GLOBAL,LNDCONHRTOT,2027,0.00014530612
GLOBAL,LNDCONHRTOT,2028,0.00014530612
GLOBAL,LNDCONHRTOT,2029,0.00014530612
GLOBAL,LNDCONHRTOT,2030,0.00014530612
GLOBAL,LNDCONHRTOT,2031,9.9387755e-05
GLOBAL,LNDCONHRTOT,2032,9.9387755e-05
GLOBAL,LNDCONHRTOT,2033,9.9387755e-05
GLOBAL,LNDCONHRTOT,2034,9.9387755e-05
GLOBAL,LNDCONHRTOT,2035,9.9387755e-05
GLOBAL,LNDCONHRTOT,2036,0.044288367
GLOBAL,LNDCONHRTOT,2037,0.00023755102
GLOBAL,LNDCONHRTOT,2038,0.00023734694
GLOBAL,LNDCONHRTOT,2039,0.00047469388
GLOBAL,LNDCONHRTOT,2041,0.00013836735
GLOBAL,LNDCONHRTOT,2042,0.00013857143
GLOBAL,LNDCONHRTOT,2043,0.00013836735
GLOBAL,LNDCONHRTOT,2044,0.00013836735
GLOBAL,LNDCONHRTOT,2045,0.00013836735
GLOBAL,LNDCONHRTOT,2046,5.244898e-05
GLOBAL,LNDCONHRTOT,2047,5.2244898e-05
GLOBAL,LNDCONHRTOT,2048,0.00015673469
GLOBAL,LNDCASHRTOT,2021,0.073357143
GLOBAL,LNDCASHRTOT,2022,0.00031979592
GLOBAL,LNDCASHRTOT,2023,0.00031969388
GLOBAL,LNDCASHRTOT,2024,0.00031979592
GLOBAL,LNDCASHRTOT,2025,0.00031979592
GLOBAL,LNDCASHRTOT,2026,0.00024091837
GLOBAL,LNDCASHRTOT,2027,0.00024091837
GLOBAL,LNDCASHRTOT,2028,0.00024081633
GLOBAL,LNDCASHRTOT,2029,0.00024091837
GLOBAL,LNDCASHRTOT,2030,0.00024091837
GLOBAL,LNDCASHRTOT,2031,0.00016479592
GLOBAL,LNDCASHRTOT,2032,0.00016489796
GLOBAL,LNDCASHRTOT,2033,0.00016479592
GLOBAL,LNDCASHRTOT,2034,0.00016479592
GLOBAL,LNDCASHRTOT,2035,0.00016479592
GLOBAL,LNDCASHRTOT,2036,0.073430918
GLOBAL,LNDCASHRTOT,2037,0.00039367347
GLOBAL,LNDCASHRTOT,2038,0.00039346939
GLOBAL,LNDCASHRTOT,2039,0.0007872449
GLOBAL,LNDCASHRTOT,2041,0.0002294898
GLOBAL,LNDCASHRTOT,2042,0.0002294898
GLOBAL,LNDCASHRTOT,2043,0.0002294898
GLOBAL,LNDCASHRTOT,2044,0.0002294898
GLOBAL,LNDCASHRTOT,2045,0.0002294898
GLOBAL,LNDCASHRTOT,2046,8.6632653e-05
GLOBAL,LNDCASHRTOT,2047,8.6836735e-05
GLOBAL,LNDCASHRTOT,2048,0.00026
GLOBAL,LNDYAMHRTOT,2021,0.059223846
GLOBAL,LNDYAMHRTOT,2022,0.00025813187
GLOBAL,LNDYAMHRTOT,2023,0.00025824176
GLOBAL,LNDYAMHRTOT,2024,0.00025813187
GLOBAL,LNDYAMHRTOT,2025,0.00025813187
GLOBAL,LNDYAMHRTOT,2026,0.00019450549
GLOBAL,LNDYAMHRTOT,2027,0.00019450549
GLOBAL,LNDYAMHRTOT,2028,0.00019450549
GLOBAL,LNDYAMHRTOT,2029,0.0001943956
GLOBAL,LNDYAMHRTOT,2030,0.00019450549
GLOBAL,LNDYAMHRTOT,2031,0.00013307692
GLOBAL,LNDYAMHRTOT,2032,0.00013307692
GLOBAL,LNDYAMHRTOT,2033,0.00013307692
GLOBAL,LNDYAMHRTOT,2034,0.00013307692
GLOBAL,LNDYAMHRTOT,2035,0.00013296703
GLOBAL,LNDYAMHRTOT,2036,0.059283516
GLOBAL,LNDYAMHRTOT,2037,0.00031769231
GLOBAL,LNDYAMHRTOT,2038,0.0003178022
GLOBAL,LNDYAMHRTOT,2039,0.00063549451
GLOBAL,LNDYAMHRTOT,2041,0.00018527473
GLOBAL,LNDYAMHRTOT,2042,0.00018527473
GLOBAL,LNDYAMHRTOT,2043,0.00018538462
GLOBAL,LNDYAMHRTOT,2044,0.00018516484
GLOBAL,LNDYAMHRTOT,2045,0.00018527473
GLOBAL,LNDYAMHRTOT,2046,7e-05
GLOBAL,LNDYAMHRTOT,2047,7e-05
GLOBAL,LNDYAMHRTOT,2048,0.00020989011
GLOBAL,LNDSGCHRTOT,2021,1.5690909
GLOBAL,LNDSGCHRTOT,2022,0.0068363636
GLOBAL,LNDSGCHRTOT,2023,0.0068454545
GLOBAL,LNDSGCHRTOT,2024,0.0068363636
GLOBAL,LNDSGCHRTOT,2025,0.0068363636
GLOBAL,LNDSGCHRTOT,2026,0.0051545455
GLOBAL,LNDSGCHRTOT,2027,0.0051545455
GLOBAL,LNDSGCHRTOT,2028,0.0051545455
GLOBAL,LNDSGCHRTOT,2029,0.0051545455
GLOBAL,LNDSGCHRTOT,2030,0.0051545455
GLOBAL,LNDSGCHRTOT,2031,0.0035181818
GLOBAL,LNDSGCHRTOT,2032,0.0035272727
GLOBAL,LNDSGCHRTOT,2033,0.0035272727
GLOBAL,LNDSGCHRTOT,2034,0.0035272727
GLOBAL,LNDSGCHRTOT,2035,0.0035181818
GLOBAL,LNDSGCHRTOT,2036,1.5706727
GLOBAL,LNDSGCHRTOT,2037,0.0084181818
GLOBAL,LNDSGCHRTOT,2038,0.0084272727
GLOBAL,LNDSGCHRTOT,2039,0.016827273
GLOBAL,LNDSGCHRTOT,2041,0.0049090909
GLOBAL,LNDSGCHRTOT,2042,0.0049090909
GLOBAL,LNDSGCHRTOT,2043,0.0049090909
GLOBAL,LNDSGCHRTOT,2044,0.0049181818
GLOBAL,LNDSGCHRTOT,2045,0.0049090909
GLOBAL,LNDSGCHRTOT,2046,0.0018454545
GLOBAL,LNDSGCHRTOT,2047,0.0018545455
GLOBAL,LNDSGCHRTOT,2048,0.0055636364
GLOBAL,LNDOTHHRTOT,2021,0.067992391
GLOBAL,LNDOTHHRTOT,2022,0.00029630435
GLOBAL,LNDOTHHRTOT,2023,0.00029641304
GLOBAL,LNDOTHHRTOT,2024,0.00029641304
GLOBAL,LNDOTHHRTOT,2025,0.00029630435
GLOBAL,LNDOTHHRTOT,2026,0.00022336957
GLOBAL,LNDOTHHRTOT,2027,0.00022326087
GLOBAL,LNDOTHHRTOT,2028,0.00022326087
GLOBAL,LNDOTHHRTOT,2029,0.00022326087
GLOBAL,LNDOTHHRTOT,2030,0.00022336957
GLOBAL,LNDOTHHRTOT,2031,0.00015271739
GLOBAL,LNDOTHHRTOT,2032,0.00015271739
GLOBAL,LNDOTHHRTOT,2033,0.00015282609
GLOBAL,LNDOTHHRTOT,2034,0.00015271739
GLOBAL,LNDOTHHRTOT,2035,0.00015282609
GLOBAL,LNDOTHHRTOT,2036,0.068060761
GLOBAL,LNDOTHHRTOT,2037,0.00036467391
GLOBAL,LNDOTHHRTOT,2038,0.0003648913
GLOBAL,LNDOTHHRTOT,2039,0.00072956522
GLOBAL,LNDOTHHRTOT,2041,0.00021271739
GLOBAL,LNDOTHHRTOT,2042,0.00021271739
GLOBAL,LNDOTHHRTOT,2043,0.00021271739
GLOBAL,LNDOTHHRTOT,2044,0.00021271739
GLOBAL,LNDOTHHRTOT,2045,0.00021271739
GLOBAL,LNDOTHHRTOT,2046,8.0326087e-05
GLOBAL,LNDOTHHRTOT,2047,8.0326087e-05
GLOBAL,LNDOTHHRTOT,2048,0.00024119565
GLOBAL,MINCOGINT,2021,39.016221
GLOBAL,MINCOGINT,2022,42.415679
GLOBAL,MINCOGINT,2025,46.985203
GLOBAL,MINCOGINT,2026,47.771284
GLOBAL,MINCOGINT,2027,47.793027
GLOBAL,MINCOGINT,2030,41.567745
GLOBAL,MINCOGINT,2033,16.129727
GLOBAL,MINCOGINT,2034,13.728434
GLOBAL,MINCOGINT,2035,10.834098
GLOBAL,MINCOGINT,2039,0.96145358
GLOBAL,MINGASINT,2023,47.036044
GLOBAL,MINGASINT,2024,47.807114
GLOBAL,MINGASINT,2028,47.498278
GLOBAL,MINGASINT,2029,44.069748
GLOBAL,MINGASINT,2031,37.090228
GLOBAL,MINGASINT,2037,7.2263166
GLOBAL,MINGASINT,2038,6.1795107
GLOBAL,MINOILINT,2022,3.3179323
GLOBAL,MINOILINT,2028,0.1469257
GLOBAL,MINOILINT,2029,1.3925567
GLOBAL,MINOILINT,2030,2.2144656
GLOBAL,MINOILINT,2031,3.7701956
GLOBAL,MINOILINT,2032,2.1387764
GLOBAL,MINOILINT,2033,4.6774195
GLOBAL,MINOILINT,2034,2.0108054
GLOBAL,MINOILINT,2035,4.6774195
GLOBAL,MINOILINT,2036,1.8750787
GLOBAL,MINOILINT,2037,4.6774195
GLOBAL,MINOILINT,2038,4.6774195
GLOBAL,MINOILINT,2039,4.6774195
GLOBAL,MINOILINT,2040,2.3814941
GLOBAL,MINOILINT,2041,1.804809
GLOBAL,MINOILINT,2042,2.8184254
GLOBAL,MINOILINT,2043,1.9618334
GLOBAL,MINOILINT,2044,0.95475857
GLOBAL,MINPETINT,2031,0.40055595
GLOBAL,MINPETINT,2032,5.6989424
GLOBAL,MINPETINT,2033,6.3517863
GLOBAL,MINPETINT,2034,6.7990486
GLOBAL,MINPETINT,2035,6.7990486
GLOBAL,MINPETINT,2036,6.7990486
GLOBAL,MINPETINT,2037,6.7990486
GLOBAL,MINPETINT,2038,6.7990486
GLOBAL,MINPETINT,2039,6.7990486
GLOBAL,MINPETINT,2040,6.7990486
GLOBAL,MINPETINT,2041,6.7990486
GLOBAL,MINPETINT,2042,6.7990486
GLOBAL,MINPETINT,2043,6.7990486
GLOBAL,MINPETINT,2044,6.7990486
GLOBAL,MINPETINT,2045,6.7990486
GLOBAL,MINPETINT,2046,7.2578359
GLOBAL,MINPETINT,2047,7.2578359
GLOBAL,MINPETINT,2048,8.7208221
GLOBAL,MINPETINT,2049,9.7639146
GLOBAL,MINPETINT,2050,9.7639146
GLOBAL,PWRTRNFJIXX,2021,0.119983
GLOBAL,PWRTRNFJIXX,2022,0.12284826
GLOBAL,PWRTRNFJIXX,2023,0.12535537
GLOBAL,PWRTRNFJIXX,2024,0.12822064
GLOBAL,PWRTRNFJIXX,2025,0.13072774
GLOBAL,PWRTRNFJIXX,2026,0.13610012
GLOBAL,PWRTRNFJIXX,2027,0.14147249
GLOBAL,PWRTRNFJIXX,2028,0.14684486
GLOBAL,PWRTRNFJIXX,2029,0.15221723
GLOBAL,PWRTRNFJIXX,2030,0.15758961
GLOBAL,PWRTRNFJIXX,2031,0.16332014
GLOBAL,PWRTRNFJIXX,2032,0.16905067
GLOBAL,PWRTRNFJIXX,2033,0.17513936
GLOBAL,PWRTRNFJIXX,2034,0.18086989
GLOBAL,PWRTRNFJIXX,2035,0.18660042
GLOBAL,PWRTRNFJIXX,2036,0.19340543
GLOBAL,PWRTRNFJIXX,2037,0.20021043
GLOBAL,PWRTRNFJIXX,2038,0.20665728
GLOBAL,PWRTRNFJIXX,2039,0.21617712
GLOBAL,PWRTRNFJIXX,2040,0.21990913
GLOBAL,PWRTRNFJIXX,2041,0.22778861
GLOBAL,PWRTRNFJIXX,2042,0.23530994
GLOBAL,PWRTRNFJIXX,2043,0.24283126
GLOBAL,PWRTRNFJIXX,2044,0.25071074
GLOBAL,PWRTRNFJIXX,2045,0.25823206
GLOBAL,PWRTRNFJIXX,2046,0.26718602
GLOBAL,PWRTRNFJIXX,2047,0.27649813
GLOBAL,PWRTRNFJIXX,2048,0.28545208
GLOBAL,PWRTRNFJIXX,2049,0.29440604
GLOBAL,PWRTRNFJIXX,2050,0.30335999
GLOBAL,RNWBIOFJIXX,2021,8.3965861
GLOBAL,RNWBIOFJIXX,2022,8.3965861
GLOBAL,RNWBIOFJIXX,2023,8.3965861
GLOBAL,RNWBIOFJIXX,2024,8.3965861
GLOBAL,RNWBIOFJIXX,2025,8.3965861
GLOBAL,RNWBIOFJIXX,2026,8.3965861
GLOBAL,RNWBIOFJIXX,2027,8.3965861
GLOBAL,RNWBIOFJIXX,2028,8.3965861
GLOBAL,RNWBIOFJIXX,2029,8.3965861
GLOBAL,RNWBIOFJIXX,2030,8.3965861
GLOBAL,RNWBIOFJIXX,2031,8.3965861
GLOBAL,RNWBIOFJIXX,2032,1.2046752
GLOBAL,RNWBIOFJIXX,2033,1.2046752
GLOBAL,RNWBIOFJIXX,2034,1.4133757
GLOBAL,RNWBIOFJIXX,2035,2.1804234
GLOBAL,RNWBIOFJIXX,2036,3.0912924
GLOBAL,RNWBIOFJIXX,2037,4.0021615
GLOBAL,RNWBIOFJIXX,2038,4.8650901
GLOBAL,RNWBIOFJIXX,2039,6.2732006
GLOBAL,RNWBIOFJIXX,2040,6.8023458
GLOBAL,RNWBIOFJIXX,2041,8.7077602
GLOBAL,RNWBIOFJIXX,2042,10.432811
GLOBAL,RNWBIOFJIXX,2043,12.829297
GLOBAL,RNWBIOFJIXX,2044,15.127364
GLOBAL,RNWBIOFJIXX,2045,17.738855
GLOBAL,RNWBIOFJIXX,2046,18.31059
GLOBAL,RNWBIOFJIXX,2047,19.560891
GLOBAL,RNWBIOFJIXX,2048,18.948608
GLOBAL,RNWBIOFJIXX,2049,20.024075
GLOBAL,RNWBIOFJIXX,2050,20.024075
GLOBAL,RNWHYDFJIXX,2021,3.2854746
GLOBAL,RNWHYDFJIXX,2022,3.401428
GLOBAL,RNWHYDFJIXX,2023,3.4708449
GLOBAL,RNWHYDFJIXX,2024,3.5501785
GLOBAL,RNWHYDFJIXX,2025,3.6195954
GLOBAL,RNWHYDFJIXX,2026,3.7683459
GLOBAL,RNWHYDFJIXX,2027,3.9170964
GLOBAL,RNWHYDFJIXX,2028,4.0658469
GLOBAL,RNWHYDFJIXX,2029,3.7088457
GLOBAL,RNWHYDFJIXX,2030,4.196505
GLOBAL,RNWHYDFJIXX,2031,4.196505
GLOBAL,RNWHYDFJIXX,2032,4.0107184
GLOBAL,RNWHYDFJIXX,2033,4.196505
GLOBAL,RNWHYDFJIXX,2034,4.196505
GLOBAL,RNWHYDFJIXX,2035,4.196505
GLOBAL,RNWHYDFJIXX,2036,4.1501985
GLOBAL,RNWHYDFJIXX,2037,4.196505
GLOBAL,RNWHYDFJIXX,2038,4.196505
GLOBAL,RNWHYDFJIXX,2039,4.196505
GLOBAL,RNWHYDFJIXX,2040,4.196505
GLOBAL,RNWHYDFJIXX,2041,4.196505
GLOBAL,RNWHYDFJIXX,2042,4.196505
GLOBAL,RNWHYDFJIXX,2043,4.196505
GLOBAL,RNWHYDFJIXX,2044,4.196505
GLOBAL,RNWHYDFJIXX,2045,4.196505
GLOBAL,RNWHYDFJIXX,2046,4.196505
GLOBAL,RNWHYDFJIXX,2047,4.196505
GLOBAL,RNWHYDFJIXX,2048,4.196505
GLOBAL,RNWHYDFJIXX,2049,4.196505
GLOBAL,RNWHYDFJIXX,2050,4.196505
GLOBAL,RNWSPVFJIXX,2040,0.27365372
GLOBAL,RNWSPVFJIXX,2041,0.27365372
GLOBAL,RNWSPVFJIXX,2042,0.27365372
GLOBAL,RNWSPVFJIXX,2043,0.27365372
GLOBAL,RNWSPVFJIXX,2044,0.27365372
GLOBAL,RNWSPVFJIXX,2045,0.27365372
GLOBAL,RNWSPVFJIXX,2046,0.27365372
GLOBAL,RNWSPVFJIXX,2047,0.45480291
GLOBAL,RNWSPVFJIXX,2048,0.45480291
GLOBAL,RNWSPVFJIXX,2049,0.45480291
GLOBAL,RNWSPVFJIXX,2050,0.44074184
GLOBAL,RNWWONFJIXX,2023,0.0678024
GLOBAL,RNWWONFJIXX,2024,0.0678024
GLOBAL,RNWWONFJIXX,2025,0.0678024
GLOBAL,RNWWONFJIXX,2026,0.0678024
GLOBAL,RNWWONFJIXX,2027,0.0678024
GLOBAL,RNWWONFJIXX,2028,0.0678024
GLOBAL,RNWWONFJIXX,2029,0.0678024
GLOBAL,RNWWONFJIXX,2030,0.0678024
GLOBAL,RNWWONFJIXX,2031,0.0678024
GLOBAL,RNWWONFJIXX,2032,0.10302811
GLOBAL,RNWWONFJIXX,2033,0.10302811
GLOBAL,RNWWONFJIXX,2034,0.10302811
GLOBAL,RNWWONFJIXX,2035,0.10302811
GLOBAL,RNWWONFJIXX,2036,0.10302811
GLOBAL,RNWWONFJIXX,2037,0.10302811
GLOBAL,RNWWONFJIXX,2038,0.10302811
GLOBAL,DEMCOMELCFJIXX02,2039,0.085615114
GLOBAL,MINLNDTOT,2021,36.94985
GLOBAL,MINLNDTOT,2022,67.078013
GLOBAL,MINLNDTOT,2023,66.935358
GLOBAL,MINLNDTOT,2024,66.941472
GLOBAL,MINLNDTOT,2025,66.947587
GLOBAL,MINLNDTOT,2026,66.952198
GLOBAL,MINLNDTOT,2027,66.956808
GLOBAL,MINLNDTOT,2028,66.954613
GLOBAL,MINLNDTOT,2029,66.936936
GLOBAL,MINLNDTOT,2030,66.919259
GLOBAL,MINLNDTOT,2031,66.90719
GLOBAL,MINLNDTOT,2032,66.895094
GLOBAL,MINLNDTOT,2033,66.882998
GLOBAL,MINLNDTOT,2034,67.971801
GLOBAL,MINLNDTOT,2035,66.858833
GLOBAL,MINLNDTOT,2036,66.853409
GLOBAL,MINLNDTOT,2037,66.847985
GLOBAL,MINLNDTOT,2038,66.842562
GLOBAL,MINLNDTOT,2039,66.841687
GLOBAL,MINLNDTOT,2040,61.645968
GLOBAL,MINLNDTOT,2041,66.832583
GLOBAL,MINLNDTOT,2042,66.833424
GLOBAL,MINLNDTOT,2043,66.834265
GLOBAL,MINLNDTOT,2044,66.835079
GLOBAL,MINLNDTOT,2045,66.835921
GLOBAL,MINLNDTOT,2046,66.841656
GLOBAL,MINLNDTOT,2047,66.847392
GLOBAL,MINLNDTOT,2048,66.855121
GLOBAL,MINLNDTOT,2049,66.85986
GLOBAL,MINLNDTOT,2050,66.864573
GLOBAL,MINPRCFJI,2021,92.675326
GLOBAL,MINPRCFJI,2022,171.36382
GLOBAL,MINPRCFJI,2023,170.03389
GLOBAL,MINPRCFJI,2024,170.05121
