REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,DEMCOMELCFJIXX02,COMELCFJIXX02,2039,0.021223986760600003
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2021,0.017821531034706
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2022,0.017899222914538
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2023,0.017976890014286002
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2024,0.018054581894118002
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2025,0.018132273531008
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2026,0.018190802874706
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2027,0.018249331975462
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2028,0.018307836539076
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2029,0.018366365639832002
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2030,0.018424894740588
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2031,0.01846493061042
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2032,0.018504991260336
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2033,0.018545027130168
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2034,0.018585063000000002
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2035,0.018625098869831998
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2036,0.018643021915882
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2037,0.018660969984958
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2038,0.018678893031008
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2039,0.018792456025966003
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2040,0.018714764389076002
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2041,0.018711987804958002
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2042,0.018709211220840002
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2043,0.018706459659747997
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2044,0.01870368307563
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2045,0.018700906734454
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2046,0.018681917415966
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2047,0.018662953120504
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2048,0.018686082170672
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2049,0.01864604630084
GLOBAL,S1D1,LNDAGRFJIC01,CRPCAS,2050,0.018606010431008
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2021,0.015506888630588
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2022,0.015574466319327998
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2023,0.015642068639412
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2024,0.015709670959496002
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2025,0.015777248420168002
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2026,0.015828191969328
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2027,0.015879110659076
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2028,0.015930029120756004
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2029,0.015980947810504003
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2030,0.016031891359664003
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2031,0.016066721220420004
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2032,0.016101551309244
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2033,0.016136406029412
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2034,0.016171235890168004
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2035,0.016206090610336003
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2036,0.016221683619496
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2037,0.016237276400588002
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2038,0.016252894269160004
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2039,0.016351682379496
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2040,0.016284104690756
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2041,0.01628167531042
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2042,0.016279270789496
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2043,0.016276866040504
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2044,0.016274461519579998
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2045,0.016272032139244
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2046,0.016255521840588
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2047,0.01623901177
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2048,0.01625916613916
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2049,0.016224336050336
GLOBAL,S1D1,LNDAGRFJIC01,CRPOTH,2050,0.016189481330168
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2021,0.42787539752100007
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2022,0.42973961543700007
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2023,0.43160628756300007
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2024,0.43347050547900007
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2025,0.43533472339500007
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2026,0.436740304
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2027,0.4381458846050001
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2028,0.43955149247900005
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2029,0.44095707308400006
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2030,0.4423626809580001
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2031,0.4433220589160001
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2032,0.444283891084
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2033,0.44524575052100007
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2034,0.4462076099580001
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2035,0.44716698791600007
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2036,0.447598328958
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2037,0.4480296700000001
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2038,0.4484610110420001
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2039,0.44192544981200005
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2040,0.44932123891600007
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2042,0.44918737539500003
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2043,0.44912043000000007
GLOBAL,S1D1,LNDAGRFJIC01,CRPSGC,2044,0.44905596608400006
