REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D2,MINCOGINT,1,2021,39.016221
GLOBAL,S2D2,MINCOGINT,1,2022,42.415679
GLOBAL,S2D1,MINCOGINT,1,2025,46.985203
GLOBAL,S1D1,MINCOGINT,1,2026,47.771284
GLOBAL,S1D2,MINCOGINT,1,2027,47.793027
GLOBAL,S2D1,MINCOGINT,1,2030,41.567745
GLOBAL,S2D1,MINCOGINT,1,2033,16.129727
GLOBAL,S1D1,MINCOGINT,1,2034,13.728434
GLOBAL,S2D2,MINCOGINT,1,2035,10.834098
GLOBAL,S2D2,MINCOGINT,1,2039,0.96145358
GLOBAL,S2D1,MINGASINT,1,2023,47.036044
GLOBAL,S1D1,MINGASINT,1,2024,47.807114
GLOBAL,S1D2,MINGASINT,1,2028,47.498278
GLOBAL,S2D1,MINGASINT,1,2029,44.069748
GLOBAL,S2D1,MINGASINT,1,2031,37.090228
GLOBAL,S2D1,MINGASINT,1,2037,7.2263166
GLOBAL,S1D2,MINGASINT,1,2038,6.1795107
GLOBAL,S1D2,MINOILINT,1,2022,3.3179323
GLOBAL,S1D2,MINOILINT,1,2028,0.046368738
GLOBAL,S1D1,MINOILINT,1,2028,0.1469257
GLOBAL,S1D2,MINOILINT,1,2029,1.3925567
GLOBAL,S1D1,MINOILINT,1,2029,0.67044325
GLOBAL,S1D2,MINOILINT,1,2030,2.2144656
GLOBAL,S1D1,MINOILINT,1,2030,1.1939608
GLOBAL,S2D1,MINOILINT,1,2030,0.51554455
GLOBAL,S1D2,MINOILINT,1,2031,3.7701956
GLOBAL,S1D1,MINOILINT,1,2031,1.7523795
GLOBAL,S1D2,MINOILINT,1,2032,0.39901295
GLOBAL,S1D1,MINOILINT,1,2032,2.1387764
GLOBAL,S1D2,MINOILINT,1,2033,4.2633807
GLOBAL,S1D1,MINOILINT,1,2033,4.6774195
GLOBAL,S1D2,MINOILINT,1,2034,0.14764142
GLOBAL,S1D1,MINOILINT,1,2034,2.0108054
GLOBAL,S1D2,MINOILINT,1,2035,4.6774195
GLOBAL,S1D1,MINOILINT,1,2035,4.6774195
GLOBAL,S2D2,MINOILINT,1,2035,0.20291203
GLOBAL,S2D1,MINOILINT,1,2035,2.7577416
GLOBAL,S1D2,MINOILINT,1,2036,0.2191586
GLOBAL,S1D1,MINOILINT,1,2036,1.8750787
GLOBAL,S1D2,MINOILINT,1,2037,3.8477954
GLOBAL,S1D1,MINOILINT,1,2037,4.6774195
GLOBAL,S1D2,MINOILINT,1,2038,4.6774195
GLOBAL,S1D1,MINOILINT,1,2038,4.6774195
GLOBAL,S2D2,MINOILINT,1,2038,2.2735304
GLOBAL,S2D1,MINOILINT,1,2038,3.3705434
GLOBAL,S1D2,MINOILINT,1,2039,4.6774195
GLOBAL,S1D1,MINOILINT,1,2039,4.6774195
GLOBAL,S2D2,MINOILINT,1,2039,1.7372451
GLOBAL,S1D2,MINOILINT,1,2040,2.3814941
GLOBAL,S1D1,MINOILINT,1,2040,1.4359348
GLOBAL,S1D2,MINOILINT,1,2041,1.804809
GLOBAL,S1D1,MINOILINT,1,2041,0.66246982
GLOBAL,S2D2,MINOILINT,1,2041,0.96730207
GLOBAL,S1D2,MINOILINT,1,2042,2.8184254
GLOBAL,S1D2,MINOILINT,1,2043,1.9618334
GLOBAL,S1D2,MINOILINT,1,2044,0.95475857
GLOBAL,S1D2,MINPETINT,1,2031,0.40055595
GLOBAL,S1D2,MINPETINT,1,2032,5.6989424
GLOBAL,S1D1,MINPETINT,1,2032,5.6989424
GLOBAL,S2D1,MINPETINT,1,2032,4.6792896
GLOBAL,S1D2,MINPETINT,1,2033,6.3517863
GLOBAL,S1D1,MINPETINT,1,2033,3.7725058
GLOBAL,S2D1,MINPETINT,1,2033,1.7599242
GLOBAL,S1D2,MINPETINT,1,2034,6.7990486
GLOBAL,S1D1,MINPETINT,1,2034,6.7990486
GLOBAL,S2D2,MINPETINT,1,2034,4.3136687
GLOBAL,S2D1,MINPETINT,1,2034,2.2454458
GLOBAL,S1D2,MINPETINT,1,2035,6.7990486
GLOBAL,S1D1,MINPETINT,1,2035,4.0968799
GLOBAL,S1D2,MINPETINT,1,2036,6.7990486
GLOBAL,S1D1,MINPETINT,1,2036,6.7990486
GLOBAL,S2D2,MINPETINT,1,2036,1.4051187
GLOBAL,S2D1,MINPETINT,1,2036,6.7990486
GLOBAL,S1D2,MINPETINT,1,2037,6.7990486
GLOBAL,S1D1,MINPETINT,1,2037,3.9509501
GLOBAL,S2D2,MINPETINT,1,2037,1.7173801
GLOBAL,S2D1,MINPETINT,1,2037,3.8840813
GLOBAL,S1D2,MINPETINT,1,2038,6.7990486
GLOBAL,S1D1,MINPETINT,1,2038,3.8818254
GLOBAL,S2D1,MINPETINT,1,2038,0.086145749
GLOBAL,S1D2,MINPETINT,1,2039,6.7990486
GLOBAL,S1D1,MINPETINT,1,2039,3.9049979
GLOBAL,S2D1,MINPETINT,1,2039,5.244375
GLOBAL,S1D2,MINPETINT,1,2040,6.7990486
GLOBAL,S1D1,MINPETINT,1,2040,6.7990486
GLOBAL,S2D2,MINPETINT,1,2040,2.9242219
GLOBAL,S2D1,MINPETINT,1,2040,5.2799455
GLOBAL,S1D2,MINPETINT,1,2041,6.7990486
GLOBAL,S1D1,MINPETINT,1,2041,6.7990486
GLOBAL,S2D2,MINPETINT,1,2041,2.2566296
GLOBAL,S2D1,MINPETINT,1,2041,5.9475377
GLOBAL,S1D2,MINPETINT,1,2042,6.7990486
GLOBAL,S1D1,MINPETINT,1,2042,6.7990486
GLOBAL,S2D2,MINPETINT,1,2042,3.8915272
GLOBAL,S2D1,MINPETINT,1,2042,4.3126402
GLOBAL,S1D2,MINPETINT,1,2043,6.7990486
GLOBAL,S1D1,MINPETINT,1,2043,5.6051588
GLOBAL,S2D2,MINPETINT,1,2043,4.4523047
GLOBAL,S2D1,MINPETINT,1,2043,4.9258622
GLOBAL,S1D2,MINPETINT,1,2044,6.7990486
GLOBAL,S1D1,MINPETINT,1,2044,4.5246699
GLOBAL,S2D2,MINPETINT,1,2044,5.0397858
GLOBAL,S2D1,MINPETINT,1,2044,5.400869
GLOBAL,S1D2,MINPETINT,1,2045,6.7990486
GLOBAL,S1D1,MINPETINT,1,2045,3.1585514
GLOBAL,S2D2,MINPETINT,1,2045,4.3146878
GLOBAL,S2D1,MINPETINT,1,2045,6.7990486
GLOBAL,S1D2,MINPETINT,1,2046,7.2578359
GLOBAL,S1D1,MINPETINT,1,2046,3.564623
GLOBAL,S2D2,MINPETINT,1,2046,5.1316174
GLOBAL,S2D1,MINPETINT,1,2046,7.2578359
GLOBAL,S1D2,MINPETINT,1,2047,7.2578359
GLOBAL,S1D1,MINPETINT,1,2047,3.2947246
GLOBAL,S2D2,MINPETINT,1,2047,4.9820218
GLOBAL,S2D1,MINPETINT,1,2047,7.2578359
GLOBAL,S1D2,MINPETINT,1,2048,8.7208221
GLOBAL,S1D1,MINPETINT,1,2048,8.7208221
GLOBAL,S2D1,MINPETINT,1,2048,7.7641732
GLOBAL,S1D2,MINPETINT,1,2049,9.7639146
GLOBAL,S1D1,MINPETINT,1,2049,4.6518083
GLOBAL,S2D2,MINPETINT,1,2049,4.010278
GLOBAL,S2D1,MINPETINT,1,2049,9.7639146
GLOBAL,S1D2,MINPETINT,1,2050,9.7639146
GLOBAL,S1D1,MINPETINT,1,2050,5.0663703
GLOBAL,S2D2,MINPETINT,1,2050,8.4280493
GLOBAL,S2D1,MINPETINT,1,2050,7.972998
GLOBAL,S2D1,LNDAGRFJIC01,23,2021,1.7474311
GLOBAL,S2D1,LNDAGRFJIC01,23,2022,1.7247059
GLOBAL,S1D2,LNDAGRFJIC01,23,2023,0.12120021
GLOBAL,S1D2,LNDAGRFJIC01,23,2024,0.091137389
GLOBAL,S1D2,LNDAGRFJIC01,23,2025,0.06107501
GLOBAL,S1D2,LNDAGRFJIC01,23,2026,0.038409284
GLOBAL,S1D2,LNDAGRFJIC01,23,2027,0.015743997
GLOBAL,S2D1,LNDAGRFJIC01,23,2041,1.4593815
GLOBAL,S1D1,LNDAGRFJIC02,23,2021,35.135942
GLOBAL,S2D1,LNDAGRFJIC02,23,2022,34.550575
GLOBAL,S2D1,LNDAGRFJIC02,23,2023,34.550575
GLOBAL,S2D1,LNDAGRFJIC02,23,2024,34.550575
GLOBAL,S2D1,LNDAGRFJIC02,23,2025,34.550575
GLOBAL,S2D1,LNDAGRFJIC02,23,2026,34.550575
GLOBAL,S2D1,LNDAGRFJIC02,23,2027,34.550575
GLOBAL,S2D1,LNDAGRFJIC02,23,2028,34.54377
GLOBAL,S2D1,LNDAGRFJIC02,23,2029,34.521482
GLOBAL,S2D1,LNDAGRFJIC02,23,2030,34.499194
GLOBAL,S2D1,LNDAGRFJIC02,23,2031,34.483979
GLOBAL,S2D1,LNDAGRFJIC02,23,2032,34.468727
GLOBAL,S2D1,LNDAGRFJIC02,23,2033,34.453476
GLOBAL,S1D1,LNDAGRFJIC02,23,2034,35.021688
GLOBAL,S2D1,LNDAGRFJIC02,23,2035,34.423009
GLOBAL,S2D2,LNDAGRFJIC02,23,2036,34.416171
GLOBAL,S2D1,LNDAGRFJIC02,23,2037,34.409332
GLOBAL,S2D1,LNDAGRFJIC02,23,2038,34.402493
GLOBAL,S2D1,LNDAGRFJIC02,23,2039,34.397206
GLOBAL,S1D1,LNDAGRFJIC02,23,2040,34.971479
