REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOGINT,2021,39.016221
GLOBAL,MINCOGINT,2022,42.415679
GLOBAL,MINCOGINT,2025,46.985203
GLOBAL,MINCOGINT,2026,47.771284
GLOBAL,MINCOGINT,2027,47.793027
GLOBAL,MINCOGINT,2030,41.567745
GLOBAL,MINCOGINT,2033,16.129727
GLOBAL,MINCOGINT,2034,13.728434
GLOBAL,MINCOGINT,2035,10.834098
GLOBAL,MINCOGINT,2039,0.96145358
GLOBAL,MINGASINT,2023,47.036044
GLOBAL,MINGASINT,2024,47.807114
GLOBAL,MINGASINT,2028,47.498278
GLOBAL,MINGASINT,2029,44.069748
GLOBAL,MINGASINT,2031,37.090228
GLOBAL,MINGASINT,2037,7.2263166
GLOBAL,MINGASINT,2038,6.1795107
GLOBAL,MINOILINT,2022,3.3179323
GLOBAL,MINOILINT,2028,0.1469257
GLOBAL,MINOILINT,2029,1.3925567
GLOBAL,MINOILINT,2030,2.2144656
GLOBAL,MINOILINT,2031,3.7701956
GLOBAL,MINOILINT,2032,2.1387764
GLOBAL,MINOILINT,2033,4.6774195
GLOBAL,MINOILINT,2034,2.0108054
GLOBAL,MINOILINT,2035,4.6774195
GLOBAL,MINOILINT,2036,1.8750787
GLOBAL,MINOILINT,2037,4.6774195
GLOBAL,MINOILINT,2038,4.6774195
GLOBAL,MINOILINT,2039,4.6774195
GLOBAL,MINOILINT,2040,2.3814941
GLOBAL,MINOILINT,2041,1.804809
GLOBAL,MINOILINT,2042,2.8184254
GLOBAL,MINOILINT,2043,1.9618334
GLOBAL,MINOILINT,2044,0.95475857
GLOBAL,MINPETINT,2031,0.40055595
GLOBAL,MINPETINT,2032,5.6989424
GLOBAL,MINPETINT,2033,6.3517863
GLOBAL,MINPETINT,2034,6.7990486
GLOBAL,MINPETINT,2035,6.7990486
GLOBAL,MINPETINT,2036,6.7990486
GLOBAL,MINPETINT,2037,6.7990486
GLOBAL,MINPETINT,2038,6.7990486
GLOBAL,MINPETINT,2039,6.7990486
GLOBAL,MINPETINT,2040,6.7990486
GLOBAL,MINPETINT,2041,6.7990486
GLOBAL,MINPETINT,2042,6.7990486
GLOBAL,MINPETINT,2043,6.7990486
GLOBAL,MINPETINT,2044,6.7990486
GLOBAL,MINPETINT,2045,6.7990486
GLOBAL,MINPETINT,2046,7.2578359
GLOBAL,MINPETINT,2047,7.2578359
GLOBAL,MINPETINT,2048,8.7208221
GLOBAL,MINPETINT,2049,9.7639146
GLOBAL,MINPETINT,2050,9.7639146
GLOBAL,PWRBIOFJIXX01,2021,0.0697
GLOBAL,PWRBIOFJIXX01,2022,0.0697
GLOBAL,PWRBIOFJIXX01,2023,0.0697
GLOBAL,PWRBIOFJIXX01,2024,0.0697
GLOBAL,PWRBIOFJIXX01,2025,0.0697
GLOBAL,PWRBIOFJIXX01,2026,0.0697
GLOBAL,PWRBIOFJIXX01,2027,0.0697
GLOBAL,PWRBIOFJIXX01,2028,0.0697
GLOBAL,PWRBIOFJIXX01,2029,0.0697
GLOBAL,PWRBIOFJIXX01,2030,0.0697
GLOBAL,PWRBIOFJIXX01,2031,0.0697
GLOBAL,PWRBIOFJIXX01,2032,0.01
GLOBAL,PWRBIOFJIXX01,2033,0.01
GLOBAL,PWRBIOFJIXX01,2034,0.011732421
GLOBAL,PWRBIOFJIXX01,2035,0.018099678
GLOBAL,PWRBIOFJIXX01,2036,0.025660796
GLOBAL,PWRBIOFJIXX01,2037,0.033221913
GLOBAL,PWRBIOFJIXX01,2038,0.040385077
GLOBAL,PWRBIOFJIXX01,2039,0.052073792
GLOBAL,PWRBIOFJIXX01,2040,0.056466222
GLOBAL,PWRBIOFJIXX01,2041,0.072283053
GLOBAL,PWRBIOFJIXX01,2042,0.088819507
GLOBAL,PWRBIOFJIXX01,2043,0.1064959
GLOBAL,PWRBIOFJIXX01,2044,0.12557214
GLOBAL,PWRBIOFJIXX01,2045,0.14725011
GLOBAL,PWRBIOFJIXX01,2046,0.15199607
GLOBAL,PWRBIOFJIXX01,2047,0.16237481
GLOBAL,PWRBIOFJIXX01,2048,0.1662197
GLOBAL,PWRBIOFJIXX01,2049,0.1662197
GLOBAL,PWRBIOFJIXX01,2050,0.1662197
GLOBAL,PWRHYDFJIXX01,2021,0.209
GLOBAL,PWRHYDFJIXX01,2022,0.209
GLOBAL,PWRHYDFJIXX01,2023,0.209
GLOBAL,PWRHYDFJIXX01,2024,0.209
GLOBAL,PWRHYDFJIXX01,2025,0.209
GLOBAL,PWRHYDFJIXX01,2026,0.209
GLOBAL,PWRHYDFJIXX01,2027,0.209
GLOBAL,PWRHYDFJIXX01,2028,0.209
GLOBAL,PWRHYDFJIXX01,2029,0.209
GLOBAL,PWRHYDFJIXX01,2030,0.209
GLOBAL,PWRHYDFJIXX01,2031,0.209
GLOBAL,PWRHYDFJIXX01,2032,0.209
GLOBAL,PWRHYDFJIXX01,2033,0.209
GLOBAL,PWRHYDFJIXX01,2034,0.209
GLOBAL,PWRHYDFJIXX01,2035,0.209
GLOBAL,PWRHYDFJIXX01,2036,0.209
GLOBAL,PWRHYDFJIXX01,2037,0.209
GLOBAL,PWRHYDFJIXX01,2038,0.209
GLOBAL,PWRHYDFJIXX01,2039,0.209
GLOBAL,PWRHYDFJIXX01,2040,0.209
GLOBAL,PWRHYDFJIXX01,2041,0.209
GLOBAL,PWRHYDFJIXX01,2042,0.209
GLOBAL,PWRHYDFJIXX01,2043,0.209
GLOBAL,PWRHYDFJIXX01,2044,0.209
GLOBAL,PWRHYDFJIXX01,2045,0.209
GLOBAL,PWRHYDFJIXX01,2046,0.209
GLOBAL,PWRHYDFJIXX01,2047,0.209
GLOBAL,PWRHYDFJIXX01,2048,0.209
GLOBAL,PWRHYDFJIXX01,2049,0.209
GLOBAL,PWRHYDFJIXX01,2050,0.209
GLOBAL,PWROILFJIXX01,2021,0.074
GLOBAL,PWROILFJIXX01,2022,0.074
GLOBAL,PWROILFJIXX01,2023,0.074
GLOBAL,PWROILFJIXX01,2024,0.074
GLOBAL,PWROILFJIXX01,2025,0.074
GLOBAL,PWROILFJIXX01,2026,0.074
GLOBAL,PWROILFJIXX01,2027,0.068
GLOBAL,PWROILFJIXX01,2028,0.068
GLOBAL,PWROILFJIXX01,2029,0.068
GLOBAL,PWROILFJIXX01,2030,0.048
GLOBAL,PWROILFJIXX01,2031,0.048
GLOBAL,PWROILFJIXX01,2032,0.048
GLOBAL,PWROILFJIXX01,2033,0.048
GLOBAL,PWROILFJIXX01,2034,0.048
GLOBAL,PWROILFJIXX01,2035,0.048
GLOBAL,PWROILFJIXX01,2036,0.048
GLOBAL,PWROILFJIXX01,2037,0.048
GLOBAL,PWROILFJIXX01,2038,0.048
GLOBAL,PWROILFJIXX01,2039,0.048
GLOBAL,PWROILFJIXX01,2040,0.048
GLOBAL,PWROILFJIXX01,2041,0.048
GLOBAL,PWROILFJIXX01,2042,0.048
GLOBAL,PWROILFJIXX01,2043,0.048
GLOBAL,PWROILFJIXX01,2044,0.048
GLOBAL,PWROILFJIXX01,2045,0.048
GLOBAL,PWRPETFJIXX01,2031,0.0041508319
GLOBAL,PWRPETFJIXX01,2032,0.0590563
GLOBAL,PWRPETFJIXX01,2033,0.06582151
GLOBAL,PWRPETFJIXX01,2034,0.070456346
GLOBAL,PWRPETFJIXX01,2035,0.070456346
GLOBAL,PWRPETFJIXX01,2036,0.070456346
GLOBAL,PWRPETFJIXX01,2037,0.070456346
GLOBAL,PWRPETFJIXX01,2038,0.070456346
GLOBAL,PWRPETFJIXX01,2039,0.070456346
GLOBAL,PWRPETFJIXX01,2040,0.070456346
GLOBAL,PWRPETFJIXX01,2041,0.070456346
GLOBAL,PWRPETFJIXX01,2042,0.070456346
GLOBAL,PWRPETFJIXX01,2043,0.070456346
GLOBAL,PWRPETFJIXX01,2044,0.070456346
GLOBAL,PWRPETFJIXX01,2045,0.070456346
GLOBAL,PWRPETFJIXX01,2046,0.07521061
GLOBAL,PWRPETFJIXX01,2047,0.07521061
GLOBAL,PWRPETFJIXX01,2048,0.090371064
GLOBAL,PWRPETFJIXX01,2049,0.10118029
GLOBAL,PWRPETFJIXX01,2050,0.10118029
GLOBAL,PWRSPVFJIXX01,2040,0.046255344
GLOBAL,PWRSPVFJIXX01,2041,0.046255344
GLOBAL,PWRSPVFJIXX01,2042,0.046255344
