REGION,YEAR,VALUE
GLOBAL,2021,0.655727656702757
GLOBAL,2022,0.0027211101823081396
GLOBAL,2023,0.002595515179424357
GLOBAL,2024,0.002469014041819151
GLOBAL,2025,0.0023521656011408765
GLOBAL,2026,0.001688529366147773
GLOBAL,2027,0.001608353975965482
GLOBAL,2028,0.0015303870353063909
GLOBAL,2029,0.0014585349127829161
GLOBAL,2030,0.0013878914951024335
GLOBAL,2031,-0.5211501528505584
GLOBAL,2032,-7.55174598337734
GLOBAL,2033,-1.005715935126116
GLOBAL,2034,-1.2136479801099782
GLOBAL,2035,-1.855286703072423
GLOBAL,2036,-2.011231953927839
GLOBAL,2037,-2.445069865431226
GLOBAL,2038,-2.4242851558754333
GLOBAL,2039,-4.125490116960738
GLOBAL,2040,-5.712967466862608
GLOBAL,2041,-5.983149210005295
GLOBAL,2042,-6.460722803990104
GLOBAL,2043,-7.114789070449406
GLOBAL,2044,-7.892456912312654
GLOBAL,2045,-9.199817128778882
GLOBAL,2046,-7.612991761636948
GLOBAL,2047,-7.91867721754286
GLOBAL,2048,-5.781504167262127
GLOBAL,2049,-2.9231636224639113
GLOBAL,2050,1.2613918809467606e-07
