REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,DEMCOMELCFJIXX02,2039,0.021223987
GLOBAL,LNDAGRFJIC01,2021,1.755400004
GLOBAL,LNDAGRFJIC01,2022,1.7553999949999999
GLOBAL,LNDAGRFJIC01,2023,1.755399973
GLOBAL,LNDAGRFJIC01,2024,1.75540001
GLOBAL,LNDAGRFJIC01,2025,1.755400045
GLOBAL,LNDAGRFJIC01,2026,1.7554000005
GLOBAL,LNDAGRFJIC01,2027,1.7553999548
GLOBAL,LNDAGRFJIC01,2028,1.755399995
GLOBAL,LNDAGRFJIC01,2029,1.7553999740000001
GLOBAL,LNDAGRFJIC01,2030,1.755399962
GLOBAL,LNDAGRFJIC01,2031,1.755399975
GLOBAL,LNDAGRFJIC01,2032,1.755399991
GLOBAL,LNDAGRFJIC01,2033,1.755400013
GLOBAL,LNDAGRFJIC01,2034,1.7554000260000002
GLOBAL,LNDAGRFJIC01,2035,1.755400048
GLOBAL,LNDAGRFJIC01,2036,1.7553999930000002
GLOBAL,LNDAGRFJIC01,2037,1.7554000399999998
GLOBAL,LNDAGRFJIC01,2038,1.755399994
GLOBAL,LNDAGRFJIC01,2039,1.7554000323999999
GLOBAL,LNDAGRFJIC01,2040,1.755399995
GLOBAL,LNDAGRFJIC01,2041,1.755399984
GLOBAL,LNDAGRFJIC01,2042,1.755400042
GLOBAL,LNDAGRFJIC01,2043,1.755399972
GLOBAL,LNDAGRFJIC01,2044,1.7554
GLOBAL,LNDAGRFJIC01,2045,1.75540002
GLOBAL,LNDAGRFJIC01,2046,1.755399964
GLOBAL,LNDAGRFJIC01,2047,1.755400012
GLOBAL,LNDAGRFJIC01,2048,1.755399958
GLOBAL,LNDAGRFJIC01,2049,1.755400005
GLOBAL,LNDAGRFJIC01,2050,1.7553999500000002
GLOBAL,LNDAGRFJIC02,2021,8.7102
GLOBAL,LNDAGRFJIC02,2022,8.7102
GLOBAL,LNDAGRFJIC02,2023,8.7102
GLOBAL,LNDAGRFJIC02,2024,8.7102
GLOBAL,LNDAGRFJIC02,2025,8.7102
GLOBAL,LNDAGRFJIC02,2026,8.7102
GLOBAL,LNDAGRFJIC02,2027,8.7102
GLOBAL,LNDAGRFJIC02,2028,8.710199985900001
GLOBAL,LNDAGRFJIC02,2029,8.710200010500001
GLOBAL,LNDAGRFJIC02,2030,8.710200044
GLOBAL,LNDAGRFJIC02,2031,8.710200039
GLOBAL,LNDAGRFJIC02,2032,8.710200026999999
GLOBAL,LNDAGRFJIC02,2033,8.710200022
GLOBAL,LNDAGRFJIC02,2034,8.710200008
GLOBAL,LNDAGRFJIC02,2035,8.710200012
GLOBAL,LNDAGRFJIC02,2036,8.710199975
GLOBAL,LNDAGRFJIC02,2037,8.71020004
GLOBAL,LNDAGRFJIC02,2038,8.710200012
GLOBAL,LNDAGRFJIC02,2039,8.710199979
GLOBAL,LNDAGRFJIC02,2040,8.710199959
GLOBAL,LNDAGRFJIC02,2041,8.7102
GLOBAL,LNDAGRFJIC02,2042,8.710199997
GLOBAL,LNDAGRFJIC02,2043,8.710199972
GLOBAL,LNDAGRFJIC02,2044,8.710200036
GLOBAL,LNDAGRFJIC02,2045,8.710200000999999
GLOBAL,LNDAGRFJIC02,2046,8.710200018999998
GLOBAL,LNDAGRFJIC02,2047,8.71020004
GLOBAL,LNDAGRFJIC02,2048,8.710199958
GLOBAL,LNDAGRFJIC02,2049,8.710199978
GLOBAL,LNDAGRFJIC02,2050,8.7102
GLOBAL,LNDAGRFJIC03,2021,6.1404
GLOBAL,LNDAGRFJIC03,2022,6.1404
GLOBAL,LNDAGRFJIC03,2023,6.1404
GLOBAL,LNDAGRFJIC03,2024,6.1404
GLOBAL,LNDAGRFJIC03,2025,6.1404
GLOBAL,LNDAGRFJIC03,2026,6.1404
GLOBAL,LNDAGRFJIC03,2027,6.1404
GLOBAL,LNDAGRFJIC03,2028,6.1404
GLOBAL,LNDAGRFJIC03,2029,6.1404
GLOBAL,LNDAGRFJIC03,2030,6.1404
GLOBAL,LNDAGRFJIC03,2031,6.1404
GLOBAL,LNDAGRFJIC03,2032,6.1404
GLOBAL,LNDAGRFJIC03,2033,6.1404
GLOBAL,LNDAGRFJIC03,2034,6.1404
GLOBAL,LNDAGRFJIC03,2035,6.1404
GLOBAL,LNDAGRFJIC03,2036,6.1404
GLOBAL,LNDAGRFJIC03,2037,6.1404
GLOBAL,LNDAGRFJIC03,2038,6.1404
GLOBAL,LNDAGRFJIC03,2039,6.140400012200001
GLOBAL,LNDAGRFJIC03,2040,6.1404
GLOBAL,LNDAGRFJIC03,2041,6.1404
GLOBAL,LNDAGRFJIC03,2042,6.1404
GLOBAL,LNDAGRFJIC03,2043,6.1404
GLOBAL,LNDAGRFJIC03,2044,6.1404
GLOBAL,LNDAGRFJIC03,2045,6.1404
GLOBAL,LNDAGRFJIC03,2046,6.1404
GLOBAL,LNDAGRFJIC03,2047,6.1404
GLOBAL,LNDAGRFJIC03,2048,6.1404
GLOBAL,LNDAGRFJIC03,2049,6.1404
GLOBAL,LNDAGRFJIC03,2050,6.140399987
GLOBAL,LNDAGRFJIC04,2021,1.6669000440000001
GLOBAL,LNDAGRFJIC04,2022,1.666899983
GLOBAL,LNDAGRFJIC04,2023,1.6669000120000002
GLOBAL,LNDAGRFJIC04,2024,1.666900001
GLOBAL,LNDAGRFJIC04,2025,1.6668999899999999
GLOBAL,LNDAGRFJIC04,2026,1.6669000010000001
GLOBAL,LNDAGRFJIC04,2027,1.6669000129999998
GLOBAL,LNDAGRFJIC04,2028,1.666900024
GLOBAL,LNDAGRFJIC04,2029,1.666900027
GLOBAL,LNDAGRFJIC04,2030,1.666900038
