REGION,TECHNOLOGY,VALUE
GLOBAL,DEMCOMELCFJIXX02,0.021223987
GLOBAL,LNDAGRFJIC01,52.6619999277
GLOBAL,LNDAGRFJIC02,261.3060001144
GLOBAL,LNDAGRFJIC03,184.2119999992
GLOBAL,LNDAGRFJIC04,50.006999989
GLOBAL,LNDCASHRTOT,2.281989284
GLOBAL,LNDCONHRTOT,1.376335919
GLOBAL,LNDFORTOT,491.76849
GLOBAL,LNDOTHHRTOT,2.115101523
GLOBAL,LNDSGCHRTOT,48.8027546
GLOBAL,LNDYAMHRTOT,1.842331431
GLOBAL,MINCOGINT,76.82294665
GLOBAL,MINGASINT,59.2980786
GLOBAL,MINLNDTOT,548.187
GLOBAL,MINOILINT,22.526950261
GLOBAL,MINPETINT,96.057799419
GLOBAL,MINPRCFJI,1397.8395
GLOBAL,PWRBIOFJIXX01,37.49300206
GLOBAL,PWRHYDFJIXX01,85.495626
GLOBAL,PWROILFJIXX01,7.290275128
GLOBAL,PWRPETFJIXX01,31.391437848000002
GLOBAL,PWRSPVFJIXX01,2.69132535
GLOBAL,PWRTRNFJIXX,165.081224
GLOBAL,PWRWONFJIXX01,0.719556818
GLOBAL,RNWBIOFJIXX,143.22326726
GLOBAL,RNWHYDFJIXX,85.495626
GLOBAL,RNWSPVFJIXX,2.69132535
GLOBAL,RNWWONFJIXX,0.719556818
