commodity,commodity_id,description,unit,role,balance_status,producers,producer_modes,consumers,consumer_modes,positive_demand_years,specified_demand_2020_2024,accumulated_demand_2020_2024,trade_or_storage_links,solved_production_2020_2024,solved_use_2020_2024,active_linked_technologies_2020_2024,active_producers_2020_2024,active_consumers_2020_2024,warning_codes,proposed_disposition,evidence_or_assumption_ids
AGRDSL,COM_ffefe,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMAGRDSL,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
AGRELCFJIXX02,COM_9xfjn,Default commodity,PJ,service,connected,DEMAGRELCFJIXX02,1,DEMAGRGWTFJI,1,,0,0,,0,0,,,,,"Phase 1C/1D: preserve agricultural electricity as service evidence and review the groundwater technology, which has no raw-water input.",DS-UNSD-ENERGY-FJI;A-ENE-01
AGRWATFJI,COM_bw755,Delivered agricultural water service.,km3,service,connected,DEMAGRGWTFJI;DEMAGRSURFJI,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,1;10;12;13;17;18;4;6;7;9,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,"Phase 1B/1D: document the physical balance, units and boundary; retain as resource, intermediate or sink rather than final demand.",DS-GAEZ-V4-WATER;A-CLI-01;M-CLI-01
BIO,COM_iiwdd,Default commodity,PJ,resource,connected,RNWBIO,1,DEMCOMBIO;DEMINDBIO;DEMRESBIO;EXPBIO,1,,0,0,EXPBIO,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
BIOFJIXX,COM_0,Default commodity,PJ,resource,connected,RNWBIOFJIXX,1,PWRBIOFJIXX01,1,,0,0,,4.621,4.6213,PWRBIOFJIXX01;RNWBIOFJIXX,RNWBIOFJIXX,PWRBIOFJIXX01,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
COA,COM_s6dat,Default commodity,PJ,resource,connected,IMPCOA;MINCOA,1,DEMINDCOA;EXPCOA,1,,0,0,EXPCOA;IMPCOA,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
COAFJI,COM_kwsea,Default commodity,PJ,resource,connected,MINCOAFJI,1,PWRCCSFJIXX01;PWRCOAFJIXX01,1,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
COAINT,COM_7m5wn,Default commodity,PJ,resource,connected,MINCOAINT,1,PWRCCSFJIXX01;PWRCOAFJIXX01,2,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
COGFJI,COM_kzo5g,Default commodity,PJ,resource,connected,MINCOGFJI,1,PWRCOGFJIXX01,1,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
COGINT,COM_v1zdx,Default commodity,PJ,resource,connected,MINCOGINT,1,PWRCOGFJIXX01,2,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
COMBIO,COM_vd464,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMCOMBIO,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
COMDSL,COM_pvvjs,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMCOMDSL,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
COMELCFJIXX02,COM_dhzoy,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMCOMELCFJIXX02,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1B removed the public-groundwater cross-sector use. Preserve commercial electricity for the Phase 1C service redesign.,DS-UNSD-ENERGY-FJI;A-ENE-01
COMKER,COM_w9ztj,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMCOMKER,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
COMLPG,COM_4aji7,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMCOMLPG,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
COMNGS,COM_jmaab,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMCOMNGS,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
CRPCAS,COM_nj0y1,Default commodity,PJ,service,connected,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,11;13;4;5,,,2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050,0,0.36133023635,,0.3614,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,LNDAGRFJIC01,,,"Retain; verify units, balance role and historical activity.",DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
