commodity,code,severity,role,finding,producers,consumers
AGRDSL,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMAGRDSL,
COMBIO,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMCOMBIO,
COMDSL,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMCOMDSL,
COMELCFJIXX02,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMCOMELCFJIXX02,
COMKER,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMCOMKER,
COMLPG,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMCOMLPG,
COMNGS,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMCOMNGS,
GEO,produced_unconsumed_undemanded,warning,resource,Commodity is produced but has no consumer or positive demand.,RNWGEO,
GEO,output_only_resource_carrier,warning,resource,"Renewable resource carrier is output-only; model availability, not demand.",RNWGEO,
HYD,produced_unconsumed_undemanded,warning,resource,Commodity is produced but has no consumer or positive demand.,RNWHYD,
HYD,output_only_resource_carrier,warning,resource,"Renewable resource carrier is output-only; model availability, not demand.",RNWHYD,
INDBIO,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMINDBIO,
INDCOA,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMINDCOA,
INDDSL,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMINDDSL,
INDELCFJIXX02,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMINDELCFJIXX02,
INDHFO,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMINDHFO,
INDKER,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMINDKER,
INDLPG,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMINDLPG,
INDNGS,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMINDNGS,
RESBIO,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMRESBIO,
RESELCFJIXX02,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMRESELCFJIXX02,
RESKER,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMRESKER,
RESLPG,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMRESLPG,
RESNGS,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMRESNGS,
SOL,produced_unconsumed_undemanded,warning,resource,Commodity is produced but has no consumer or positive demand.,RNWSOL,
SOL,output_only_resource_carrier,warning,resource,"Renewable resource carrier is output-only; model availability, not demand.",RNWSOL,
TRADSL,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMTRADSL,
TRAELCFJIXX02,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMTRAELCFJIXX02,
TRAGSL,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMTRAGSL,
TRAHFO,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMTRAHFO,
TRAKER,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMTRAKER,
TRANGS,produced_unconsumed_undemanded,warning,service,Commodity is produced but has no consumer or positive demand.,DEMTRANGS,
WND,produced_unconsumed_undemanded,warning,resource,Commodity is produced but has no consumer or positive demand.,RNWWND,
WND,output_only_resource_carrier,warning,resource,"Renewable resource carrier is output-only; model availability, not demand.",RNWWND,
WTREVTFJI,produced_unconsumed_undemanded,warning,sink,Commodity is produced but has no consumer or positive demand.,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,
