REGION,FUEL,YEAR,VALUE
GLOBAL,CRPCAS,2020,0.07189
GLOBAL,CRPCAS,2021,0.07189
GLOBAL,CRPCAS,2022,0.07220337272506347
GLOBAL,CRPCAS,2023,0.07251674545012696
GLOBAL,CRPCAS,2024,0.07283011817519043
GLOBAL,CRPCAS,2025,0.0731434909002539
GLOBAL,CRPCAS,2026,0.0733795769919867
GLOBAL,CRPCAS,2027,0.07361566308371952
GLOBAL,CRPCAS,2028,0.07385174917545233
GLOBAL,CRPCAS,2029,0.07408783526718514
GLOBAL,CRPCAS,2030,0.07432392135891794
GLOBAL,CRPCAS,2031,0.07448543601524768
GLOBAL,CRPCAS,2032,0.0746469506715774
GLOBAL,CRPCAS,2033,0.07480846532790714
GLOBAL,CRPCAS,2034,0.07496997998423686
GLOBAL,CRPCAS,2035,0.07513149464056658
GLOBAL,CRPCAS,2036,0.07520383598360891
GLOBAL,CRPCAS,2037,0.07527617732665122
GLOBAL,CRPCAS,2038,0.07534851866969353
GLOBAL,CRPCAS,2039,0.07542086001273583
GLOBAL,CRPCAS,2040,0.07549320135577815
GLOBAL,CRPCAS,2041,0.07548201986472855
GLOBAL,CRPCAS,2042,0.07547083837367896
GLOBAL,CRPCAS,2043,0.07545965688262936
GLOBAL,CRPCAS,2044,0.07544847539157976
GLOBAL,CRPCAS,2045,0.07543729390053015
GLOBAL,CRPCAS,2046,0.07536073467884598
GLOBAL,CRPCAS,2047,0.07528417545716179
GLOBAL,CRPCAS,2048,0.07520761623547761
GLOBAL,CRPCAS,2049,0.07513105701379343
GLOBAL,CRPCAS,2050,0.07505449779210924
GLOBAL,CRPCON,2020,0.0216795
GLOBAL,CRPCON,2021,0.0216795
GLOBAL,CRPCON,2022,0.021774002211615157
GLOBAL,CRPCON,2023,0.021868504423230316
GLOBAL,CRPCON,2024,0.02196300663484547
GLOBAL,CRPCON,2025,0.02205750884646063
GLOBAL,CRPCON,2026,0.022128704122934707
GLOBAL,CRPCON,2027,0.022199899399408782
GLOBAL,CRPCON,2028,0.022271094675882862
GLOBAL,CRPCON,2029,0.022342289952356938
GLOBAL,CRPCON,2030,0.022413485228831014
GLOBAL,CRPCON,2031,0.022462192378530563
GLOBAL,CRPCON,2032,0.022510899528230106
GLOBAL,CRPCON,2033,0.022559606677929656
GLOBAL,CRPCON,2034,0.0226083138276292
GLOBAL,CRPCON,2035,0.022657020977328746
GLOBAL,CRPCON,2036,0.02267883658654402
GLOBAL,CRPCON,2037,0.02270065219575929
GLOBAL,CRPCON,2038,0.02272246780497456
GLOBAL,CRPCON,2039,0.022744283414189825
GLOBAL,CRPCON,2040,0.022766099023405102
GLOBAL,CRPCON,2041,0.022762727078277686
GLOBAL,CRPCON,2042,0.022759355133150274
GLOBAL,CRPCON,2043,0.022755983188022858
GLOBAL,CRPCON,2044,0.022752611242895442
GLOBAL,CRPCON,2045,0.02274923929776803
GLOBAL,CRPCON,2046,0.022726151724440695
GLOBAL,CRPCON,2047,0.022703064151113356
GLOBAL,CRPCON,2048,0.02267997657778602
GLOBAL,CRPCON,2049,0.022656889004458683
GLOBAL,CRPCON,2050,0.022633801431131344
GLOBAL,CRPOTH,2020,0.06255296
GLOBAL,CRPOTH,2021,0.06255296
GLOBAL,CRPOTH,2022,0.06282563202025299
GLOBAL,CRPOTH,2023,0.06309830404050597
GLOBAL,CRPOTH,2024,0.06337097606075895
GLOBAL,CRPOTH,2025,0.06364364808101192
GLOBAL,CRPOTH,2026,0.06384907142017895
GLOBAL,CRPOTH,2027,0.06405449475934599
GLOBAL,CRPOTH,2028,0.06425991809851304
GLOBAL,CRPOTH,2029,0.06446534143768008
GLOBAL,CRPOTH,2030,0.06467076477684712
GLOBAL,CRPOTH,2031,0.06481130198420292
GLOBAL,CRPOTH,2032,0.0649518391915587
GLOBAL,CRPOTH,2033,0.06509237639891449
GLOBAL,CRPOTH,2034,0.06523291360627027
GLOBAL,CRPOTH,2035,0.06537345081362606
GLOBAL,CRPOTH,2036,0.06543639649644248
GLOBAL,CRPOTH,2037,0.06549934217925889
GLOBAL,CRPOTH,2038,0.0655622878620753
GLOBAL,CRPOTH,2039,0.0656252335448917
GLOBAL,CRPOTH,2040,0.06568817922770813
GLOBAL,CRPOTH,2041,0.06567844998355225
GLOBAL,CRPOTH,2042,0.06566872073939638
GLOBAL,CRPOTH,2043,0.0656589914952405
GLOBAL,CRPOTH,2044,0.06564926225108463
GLOBAL,CRPOTH,2045,0.06563953300692874
GLOBAL,CRPOTH,2046,0.06557291726160058
GLOBAL,CRPOTH,2047,0.06550630151627242
GLOBAL,CRPOTH,2048,0.06543968577094425
GLOBAL,CRPOTH,2049,0.06537307002561608
GLOBAL,CRPOTH,2050,0.0653064542802879
GLOBAL,CRPSGC,2020,1.726
GLOBAL,CRPSGC,2021,1.726
GLOBAL,CRPSGC,2022,1.733523735199048
GLOBAL,CRPSGC,2023,1.741047470398096
GLOBAL,CRPSGC,2024,1.748571205597144
GLOBAL,CRPSGC,2025,1.756094940796192
GLOBAL,CRPSGC,2026,1.7617631087518302
GLOBAL,CRPSGC,2027,1.767431276707468
GLOBAL,CRPSGC,2028,1.7730994446631065
GLOBAL,CRPSGC,2029,1.7787676126187446
GLOBAL,CRPSGC,2030,1.7844357805743827
GLOBAL,CRPSGC,2031,1.7883135702088955
GLOBAL,CRPSGC,2032,1.792191359843408
GLOBAL,CRPSGC,2033,1.7960691494779208
GLOBAL,CRPSGC,2034,1.7999469391124332
GLOBAL,CRPSGC,2035,1.8038247287469458
GLOBAL,CRPSGC,2036,1.8055615649980385
GLOBAL,CRPSGC,2037,1.8072984012491307
GLOBAL,CRPSGC,2038,1.809035237500223
GLOBAL,CRPSGC,2039,1.8107720737513153
GLOBAL,CRPSGC,2040,1.8125089100024079
GLOBAL,CRPSGC,2041,1.812240454674106
GLOBAL,CRPSGC,2042,1.8119719993458048
GLOBAL,CRPSGC,2043,1.8117035440175029
GLOBAL,CRPSGC,2044,1.811435088689201
GLOBAL,CRPSGC,2045,1.8111666333608993
GLOBAL,CRPSGC,2046,1.8093285304727802
GLOBAL,CRPSGC,2047,1.8074904275846606
GLOBAL,CRPSGC,2048,1.8056523246965415
GLOBAL,CRPSGC,2049,1.8038142218084219
GLOBAL,CRPSGC,2050,1.8019761189203025
GLOBAL,CRPYAM,2020,0.053893699999999996
GLOBAL,CRPYAM,2021,0.053893699999999996
GLOBAL,CRPYAM,2022,0.05412862579820216
GLOBAL,CRPYAM,2023,0.054363551596404325
GLOBAL,CRPYAM,2024,0.054598477394606486
GLOBAL,CRPYAM,2025,0.05483340319280865
GLOBAL,CRPYAM,2026,0.05501038960262949
GLOBAL,CRPYAM,2027,0.05518737601245033
GLOBAL,CRPYAM,2028,0.055364362422271184
GLOBAL,CRPYAM,2029,0.05554134883209202
GLOBAL,CRPYAM,2030,0.05571833524191286
GLOBAL,CRPYAM,2031,0.05583941776290101
GLOBAL,CRPYAM,2032,0.055960500283889145
GLOBAL,CRPYAM,2033,0.056081582804877295
GLOBAL,CRPYAM,2034,0.05620266532586544
GLOBAL,CRPYAM,2035,0.056323747846853574
GLOBAL,CRPYAM,2036,0.056377979904713084
GLOBAL,CRPYAM,2037,0.05643221196257258
GLOBAL,CRPYAM,2038,0.056486444020432076
GLOBAL,CRPYAM,2039,0.05654067607829157
GLOBAL,CRPYAM,2040,0.05659490813615108
GLOBAL,CRPYAM,2041,0.05658652571962333
GLOBAL,CRPYAM,2042,0.05657814330309559
GLOBAL,CRPYAM,2043,0.05656976088656784
GLOBAL,CRPYAM,2044,0.056561378470040086
GLOBAL,CRPYAM,2045,0.056552996053512335
GLOBAL,CRPYAM,2046,0.05649560198304801
GLOBAL,CRPYAM,2047,0.05643820791258367
GLOBAL,CRPYAM,2048,0.05638081384211935
GLOBAL,CRPYAM,2049,0.05632341977165501
GLOBAL,CRPYAM,2050,0.05626602570119067
