REGION,TECHNOLOGY,VALUE
GLOBAL,PWRBCKFJIXX,31.536
GLOBAL,PWRCCGFJIXX00,31.536
GLOBAL,PWRCCGFJIXX01,31.536
GLOBAL,PWRCCSFJIXX01,31.536
GLOBAL,PWRCOAFJIXX01,31.536
GLOBAL,PWRCOGFJIXX01,31.536
GLOBAL,PWRCSPFJIXX01,31.536
GLOBAL,PWRGEOFJIXX01,31.536
GLOBAL,PWRHYDFJIXX01,31.536
GLOBAL,PWROCGFJIXX00,31.536
GLOBAL,PWROCGFJIXX01,31.536
GLOBAL,PWROILFJIXX01,31.536
GLOBAL,PWROTHFJIXX01,31.536
GLOBAL,PWRPETFJIXX01,31.536
GLOBAL,PWRSPVFJIXX01,31.536
GLOBAL,PWRTRNFJIXX,31.536
GLOBAL,PWRURNFJIXX01,31.536
GLOBAL,PWRWASFJIXX01,31.536
GLOBAL,PWRWAVFJIXX01,31.536
GLOBAL,PWRWOFFJIXX01,31.536
GLOBAL,PWRWONFJIXX01,31.536
GLOBAL,PWRBAGFJIXX01,31.536
GLOBAL,PWRWODFJIXX01,31.536
GLOBAL,SGCMILLFJI,1.0
