REGION,TECHNOLOGY,VALUE
GLOBAL,PWRPETFJIXX01,30
GLOBAL,PWRCCSFJIXX01,30
GLOBAL,PWROILFJIXX01,30
GLOBAL,PWRCOAFJIXX01,30
GLOBAL,PWRCOGFJIXX01,30
GLOBAL,PWRWONFJIXX01,30
GLOBAL,PWROTHFJIXX01,30
GLOBAL,PWRCCGFJIXX01,30
GLOBAL,PWRHYDFJIXX01,100
GLOBAL,PWRURNFJIXX01,60
GLOBAL,PWRWOFFJIXX01,30
GLOBAL,PWRCCGFJIXX00,30
GLOBAL,PWROCGFJIXX00,30
GLOBAL,PWRSPVFJIXX01,30
GLOBAL,PWROCGFJIXX01,30
GLOBAL,PWRCSPFJIXX01,30
GLOBAL,PWRGEOFJIXX01,30
GLOBAL,PWRWASFJIXX01,30
GLOBAL,PWRWAVFJIXX01,20
GLOBAL,LNDYAMLITOT,15
GLOBAL,LNDYAMLRTOT,15
GLOBAL,LNDCONLRTOT,15
GLOBAL,LNDCASHITOT,15
GLOBAL,LNDCASLRTOT,15
GLOBAL,LNDSGCHITOT,15
GLOBAL,LNDSGCLITOT,15
GLOBAL,LNDCONHRTOT,15
GLOBAL,LNDCONHITOT,15
GLOBAL,LNDCONLITOT,15
GLOBAL,LNDCASHRTOT,15
GLOBAL,LNDYAMHITOT,15
GLOBAL,LNDCASLITOT,15
GLOBAL,LNDYAMHRTOT,15
GLOBAL,LNDSGCHRTOT,15
GLOBAL,LNDSGCLRTOT,15
GLOBAL,LNDOTHLITOT,15
GLOBAL,LNDOTHHITOT,15
GLOBAL,LNDOTHLRTOT,15
GLOBAL,LNDOTHHRTOT,15
GLOBAL,PWRBAGFJIXX01,30
GLOBAL,PWRWODFJIXX01,30
GLOBAL,SGCMILLFJI,30
