REGION,FUEL,YEAR,VALUE
GLOBAL,ELCFJIXX01,2020,1
GLOBAL,ELCFJIXX01,2021,1
GLOBAL,ELCFJIXX01,2022,1
GLOBAL,ELCFJIXX01,2023,1
GLOBAL,ELCFJIXX01,2024,1
GLOBAL,ELCFJIXX01,2025,1
GLOBAL,ELCFJIXX01,2026,1
GLOBAL,ELCFJIXX01,2027,1
GLOBAL,ELCFJIXX01,2028,1
GLOBAL,ELCFJIXX01,2029,1
GLOBAL,ELCFJIXX01,2030,1
GLOBAL,ELCFJIXX01,2031,1
GLOBAL,ELCFJIXX01,2032,1
GLOBAL,ELCFJIXX01,2033,1
GLOBAL,ELCFJIXX01,2034,1
GLOBAL,ELCFJIXX01,2035,1
GLOBAL,ELCFJIXX01,2036,1
GLOBAL,ELCFJIXX01,2037,1
GLOBAL,ELCFJIXX01,2038,1
GLOBAL,ELCFJIXX01,2039,1
GLOBAL,ELCFJIXX01,2040,1
GLOBAL,ELCFJIXX01,2041,1
GLOBAL,ELCFJIXX01,2042,1
GLOBAL,ELCFJIXX01,2043,1
GLOBAL,ELCFJIXX01,2044,1
GLOBAL,ELCFJIXX01,2045,1
GLOBAL,ELCFJIXX01,2046,1
GLOBAL,ELCFJIXX01,2047,1
GLOBAL,ELCFJIXX01,2048,1
GLOBAL,ELCFJIXX01,2049,1
GLOBAL,ELCFJIXX01,2050,1
