REGION,FUEL,YEAR,VALUE
GLOBAL,PUBWATFJI,2020,0.070079
GLOBAL,PUBWATFJI,2021,0.071071
GLOBAL,PUBWATFJI,2022,0.069294
GLOBAL,PUBWATFJI,2023,0.068332
GLOBAL,PUBWATFJI,2024,0.067091
GLOBAL,ELCFJIXX02,2020,0.4099964292
GLOBAL,ELCFJIXX02,2021,0.3881015244
GLOBAL,ELCFJIXX02,2022,0.43480726199999997
GLOBAL,ELCFJIXX02,2023,0.4340219364
GLOBAL,ELCFJIXX02,2024,0.4674614076
GLOBAL,ELCFJIXX02,2025,0.4749651785375242
GLOBAL,ELCFJIXX02,2026,0.48263006675650344
GLOBAL,ELCFJIXX02,2027,0.4904805739727906
GLOBAL,ELCFJIXX02,2028,0.4985213068592606
GLOBAL,ELCFJIXX02,2029,0.5067569888045961
GLOBAL,ELCFJIXX02,2030,0.5151924628759714
GLOBAL,ELCFJIXX02,2031,0.5255077749546934
GLOBAL,ELCFJIXX02,2032,0.5360487699435221
GLOBAL,ELCFJIXX02,2033,0.5468207744560882
GLOBAL,ELCFJIXX02,2034,0.5578292480144083
GLOBAL,ELCFJIXX02,2035,0.5690797864109731
GLOBAL,ELCFJIXX02,2036,0.5805732702133531
GLOBAL,ELCFJIXX02,2037,0.592320263370491
GLOBAL,ELCFJIXX02,2038,0.6043267919513441
GLOBAL,ELCFJIXX02,2039,0.6165990326402027
GLOBAL,ELCFJIXX02,2040,0.6291433165485162
GLOBAL,ELCFJIXX02,2041,0.6419595357960524
GLOBAL,ELCFJIXX02,2042,0.655060729212025
GLOBAL,ELCFJIXX02,2043,0.6684537156719772
GLOBAL,ELCFJIXX02,2044,0.6821454847463165
GLOBAL,ELCFJIXX02,2045,0.6961432010223138
GLOBAL,ELCFJIXX02,2046,0.710457056889941
GLOBAL,ELCFJIXX02,2047,0.7250918152471255
GLOBAL,ELCFJIXX02,2048,0.7400551924846556
GLOBAL,ELCFJIXX02,2049,0.7553550984147505
GLOBAL,ELCFJIXX02,2050,0.7709996411713155
GLOBAL,COMELCFJIXX02,2020,1.403463654
GLOBAL,COMELCFJIXX02,2021,1.2889292112
GLOBAL,COMELCFJIXX02,2022,1.6062139728
GLOBAL,COMELCFJIXX02,2023,1.6826353596
GLOBAL,COMELCFJIXX02,2024,1.8214069392
GLOBAL,COMELCFJIXX02,2025,1.8687635196192
GLOBAL,COMELCFJIXX02,2026,1.917351371129299
GLOBAL,COMELCFJIXX02,2027,1.9672025067786612
GLOBAL,COMELCFJIXX02,2028,2.0183497719549064
GLOBAL,COMELCFJIXX02,2029,2.070826866025734
GLOBAL,COMELCFJIXX02,2030,2.124668364542403
GLOBAL,COMELCFJIXX02,2031,2.179909742020506
GLOBAL,COMELCFJIXX02,2032,2.236587395313039
GLOBAL,COMELCFJIXX02,2033,2.294738667591178
GLOBAL,COMELCFJIXX02,2034,2.3544018729485483
GLOBAL,COMELCFJIXX02,2035,2.415616321645211
GLOBAL,COMELCFJIXX02,2036,2.4784223460079864
GLOBAL,COMELCFJIXX02,2037,2.542861327004194
GLOBAL,COMELCFJIXX02,2038,2.608975721506303
GLOBAL,COMELCFJIXX02,2039,2.6768090902654675
GLOBAL,COMELCFJIXX02,2040,2.74640612661237
GLOBAL,COMELCFJIXX02,2041,2.817812685904291
GLOBAL,COMELCFJIXX02,2042,2.891075815737803
GLOBAL,COMELCFJIXX02,2043,2.9662437869469858
GLOBAL,COMELCFJIXX02,2044,3.043366125407607
GLOBAL,COMELCFJIXX02,2045,3.1224936446682054
GLOBAL,COMELCFJIXX02,2046,3.2036784794295787
GLOBAL,COMELCFJIXX02,2047,3.2869741198947477
GLOBAL,COMELCFJIXX02,2048,3.3724354470120113
GLOBAL,COMELCFJIXX02,2049,3.4601187686343238
GLOBAL,COMELCFJIXX02,2050,3.5500818566188164
GLOBAL,INDELCFJIXX02,2020,0.7115815476
GLOBAL,INDELCFJIXX02,2021,0.614161944
GLOBAL,INDELCFJIXX02,2022,0.7323638148
GLOBAL,INDELCFJIXX02,2023,0.7530394464
GLOBAL,INDELCFJIXX02,2024,0.84439053
GLOBAL,INDELCFJIXX02,2025,0.8612783406
GLOBAL,INDELCFJIXX02,2026,0.878503907412
GLOBAL,INDELCFJIXX02,2027,0.8960739855602401
GLOBAL,INDELCFJIXX02,2028,0.9139954652714447
GLOBAL,INDELCFJIXX02,2029,0.9322753745768737
