REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOFJIXX01,2020,0.0
GLOBAL,SGCMILLFJI,2020,2.1
GLOBAL,PWRBIOFJIXX01,2021,0.0
GLOBAL,SGCMILLFJI,2021,2.1
GLOBAL,PWRBIOFJIXX01,2022,0.0
GLOBAL,SGCMILLFJI,2022,2.1
GLOBAL,PWRBIOFJIXX01,2023,0.0
GLOBAL,SGCMILLFJI,2023,2.1
GLOBAL,PWRBIOFJIXX01,2024,0.0
GLOBAL,SGCMILLFJI,2024,2.1
GLOBAL,PWRBIOFJIXX01,2025,0.0
GLOBAL,SGCMILLFJI,2025,2.1
GLOBAL,PWRBIOFJIXX01,2026,0.0
GLOBAL,SGCMILLFJI,2026,2.1
GLOBAL,PWRBIOFJIXX01,2027,0.0
GLOBAL,SGCMILLFJI,2027,2.1
GLOBAL,PWRBIOFJIXX01,2028,0.0
GLOBAL,SGCMILLFJI,2028,2.1
GLOBAL,PWRBIOFJIXX01,2029,0.0
GLOBAL,SGCMILLFJI,2029,2.1
GLOBAL,PWRBIOFJIXX01,2030,0.0
GLOBAL,SGCMILLFJI,2030,2.1
GLOBAL,PWRBIOFJIXX01,2031,0.0
GLOBAL,SGCMILLFJI,2031,2.1
GLOBAL,PWRBIOFJIXX01,2032,0.0
GLOBAL,SGCMILLFJI,2032,2.1
GLOBAL,PWRBIOFJIXX01,2033,0.0
GLOBAL,SGCMILLFJI,2033,2.1
GLOBAL,PWRBIOFJIXX01,2034,0.0
GLOBAL,SGCMILLFJI,2034,2.1
GLOBAL,PWRBIOFJIXX01,2035,0.0
GLOBAL,SGCMILLFJI,2035,2.1
GLOBAL,PWRBIOFJIXX01,2036,0.0
GLOBAL,SGCMILLFJI,2036,2.1
GLOBAL,PWRBIOFJIXX01,2037,0.0
GLOBAL,SGCMILLFJI,2037,2.1
GLOBAL,PWRBIOFJIXX01,2038,0.0
GLOBAL,SGCMILLFJI,2038,2.1
GLOBAL,PWRBIOFJIXX01,2039,0.0
GLOBAL,SGCMILLFJI,2039,2.1
GLOBAL,PWRBIOFJIXX01,2040,0.0
GLOBAL,SGCMILLFJI,2040,2.1
GLOBAL,PWRBIOFJIXX01,2041,0.0
GLOBAL,SGCMILLFJI,2041,2.1
GLOBAL,PWRBIOFJIXX01,2042,0.0
GLOBAL,SGCMILLFJI,2042,2.1
GLOBAL,PWRBIOFJIXX01,2043,0.0
GLOBAL,SGCMILLFJI,2043,2.1
GLOBAL,PWRBIOFJIXX01,2044,0.0
GLOBAL,SGCMILLFJI,2044,2.1
GLOBAL,PWRBIOFJIXX01,2045,0.0
GLOBAL,SGCMILLFJI,2045,2.1
GLOBAL,PWRBIOFJIXX01,2046,0.0
GLOBAL,SGCMILLFJI,2046,2.1
GLOBAL,PWRBIOFJIXX01,2047,0.0
GLOBAL,SGCMILLFJI,2047,2.1
GLOBAL,PWRBIOFJIXX01,2048,0.0
GLOBAL,SGCMILLFJI,2048,2.1
GLOBAL,PWRBIOFJIXX01,2049,0.0
GLOBAL,SGCMILLFJI,2049,2.1
GLOBAL,PWRBIOFJIXX01,2050,0.0
GLOBAL,SGCMILLFJI,2050,2.1
