calculation_id,formula,source_ids,assumption_ids,input_calculation_ids,input_values,input_units,output_value,output_unit,script_path,script_version,notes
CALC_FISH_V29_CAPTURE_ACTIVITY_CEILING,"(12661 offshore longline tonnes + 11000 coastal commercial tonnes) / 1e6",SRC_FSH_FIJI_MOF_AR2020_21,ASM_FISH_CAPTURE_SCREENING_CEILING,,,tonne,0.023661,Mt/year,scripts/finalize_fiji_v29_fisheries_bounds.py,working-tree-2026-08-04,Constant 2020 observed-boundary screening ceiling for 2020-2050.
CALC_FISH_V29_AQUACULTURE_ACTIVITY_CEILING,"observed tilapia + freshwater prawn through 2023; sum Table 18 programme deliverables for 2024-2028; hold 2028 thereafter",SRC_FSH_FIJI_MOF_AR2021_22 SRC_FSH_FIJI_AQUACULTURE_PLAN2024_28,ASM_FISH_AQUACULTURE_PROGRAMME_CEILING,,"216.925;350;530;800;1180;1450",tonne/year,"0.000216925 through 2023; 0.000350 0.000530 0.000800 0.001180 0.001450 in 2024-2028; 0.001450 thereafter",Mt/year,scripts/finalize_fiji_v29_fisheries_bounds.py,working-tree-2026-08-04,Conservative detailed programme envelope.
CALC_FISH_V29_BOUNDS_SOLVER_VALIDATION,"deterministic checks + MUIO generation/preprocessing + GLPK + bounded/live CBC + unchanged control + annual ceiling and balance checks",SRC_FIJI_V29_FISHERIES_BOUNDS_VALIDATION,ASM_FISH_CAPTURE_SCREENING_CEILING ASM_FISH_AQUACULTURE_PROGRAMME_CEILING ASM_FISH_NO_PRODUCTION_FLOOR,CALC_FISH_V29_CAPTURE_ACTIVITY_CEILING CALC_FISH_V29_AQUACULTURE_ACTIVITY_CEILING,"control=4170.87205658; live=4182.52681513; matrix=178353x137090 with 743918 nonzeros",status; objective; matrix,"pass; +0.279432%; both ceilings bind in 31 years; max balance residual 4.31e-10",validation status,scripts/finalize_fiji_v29_fisheries_bounds.py,working-tree-2026-08-04,Final live run Fisheries_Bounds_Table18_v2.9.
CALC_LULC_SCALE,national_area_ha / classified_valid_area_ha,SRC_FAOSTAT_LAND SRC_IO_LULC_2020 SRC_FIJI_ADM0,,,"{""classified_valid_area_ha"":1752990.8,""national_area_ha"":1827290}",ha; ha,1.0423842498203642,dimensionless,scripts/migrate_fiji_v26_provenance.py,working-tree-2026-07-31,
CALC_LAND_COUNTRY_MODEL_UNITS,FAOSTAT_1000ha * 1000 / 100000,SRC_FAOSTAT_LAND,,,1827.29,1000 ha,18.2729,1000 km2,scripts/migrate_fiji_v26_provenance.py,working-tree-2026-07-31,
CALC_LAND_FOREST_MODEL_UNITS,FAOSTAT_1000ha * 1000 / 100000,SRC_FAOSTAT_LAND,,,1113.44,1000 ha,11.1344,1000 km2,scripts/migrate_fiji_v26_provenance.py,working-tree-2026-07-31,
CALC_LAND_GRASS_MODEL_UNITS,FAOSTAT_1000ha * 1000 / 100000,SRC_FAOSTAT_LAND,,,173.0,1000 ha,1.73,1000 km2,scripts/migrate_fiji_v26_provenance.py,working-tree-2026-07-31,
CALC_LAND_CROPLAND_MODEL_UNITS,FAOSTAT_1000ha * 1000 / 100000,SRC_FAOSTAT_LAND,,,138.6,1000 ha,1.386,1000 km2,scripts/migrate_fiji_v26_provenance.py,working-tree-2026-07-31,
CALC_LAND_IRRIGATION_MODEL_UNITS,FAOSTAT_1000ha * 1000 / 100000,SRC_FAOSTAT_LAND,,,4.0,1000 ha,0.04,1000 km2,scripts/migrate_fiji_v26_provenance.py,working-tree-2026-07-31,
CALC_LAND_BUILT_SCALED,pixel_count * 100 m2 / 10000 m2_per_ha * scale / 100000 ha_per_model_unit,SRC_IO_LULC_2020 SRC_FIJI_ADM0,ASM_LULC_SCALE_TO_NATIONAL,CALC_LULC_SCALE,"{""pixel_count"":4138512,""scale"":1.0423842498203642}",100 m2 pixels; dimensionless,0.4313919726492575,1000 km2,scripts/migrate_fiji_v26_provenance.py,working-tree-2026-07-31,
CALC_LAND_WATER_SCALED,pixel_count * 100 m2 / 10000 m2_per_ha * scale / 100000 ha_per_model_unit,SRC_IO_LULC_2020 SRC_FIJI_ADM0,ASM_LULC_SCALE_TO_NATIONAL,CALC_LULC_SCALE,"{""pixel_count"":1600219,""scale"":1.0423842498203642}",100 m2 pixels; dimensionless,0.16680430818632933,1000 km2,scripts/migrate_fiji_v26_provenance.py,working-tree-2026-07-31,
CALC_LAND_BARE_SCALED,pixel_count * 100 m2 / 10000 m2_per_ha * scale / 100000 ha_per_model_unit,SRC_IO_LULC_2020 SRC_FIJI_ADM0,ASM_LULC_SCALE_TO_NATIONAL,CALC_LULC_SCALE,"{""pixel_count"":25556,""scale"":1.0423842498203642}",100 m2 pixels; dimensionless,0.0026639171888409225,1000 km2,scripts/migrate_fiji_v26_provenance.py,working-tree-2026-07-31,
CALC_LAND_OTHER_RESIDUAL,MINLNDTOT - forest - grass - built - water - bare - sum(20 endogenous crop-land activities),SRC_FAOSTAT_LAND SRC_IO_LULC_2020,ASM_LAND_RESIDUAL_OTHER ASM_LAND_HORIZON_CONSTANT,CALC_LAND_COUNTRY_MODEL_UNITS CALC_LAND_FOREST_MODEL_UNITS CALC_LAND_GRASS_MODEL_UNITS CALC_LAND_BUILT_SCALED CALC_LAND_WATER_SCALED CALC_LAND_BARE_SCALED,"{""bare"":0.0026639171888409225,""built"":0.4313919726492575,""crop_land"":""endogenous"",""forest"":11.1344,""grass"":1.73,""national"":18.2729,""water"":0.16680430818632933}",1000 km2 for every term,endogenous annual residual,1000 km2,scripts/migrate_fiji_v26_provenance.py,working-tree-2026-07-31,
CALC_LAND_CROSSCHECKS,retain cross-check values without averaging them into the model stocks,SRC_FAOSTAT_LAND SRC_FIJI_AG_CENSUS SRC_FIJI_FORESTRY,,,"{""census_agricultural_land_ha"":165974,""census_farm_area_ha"":194769,""faostat_agricultural_land_ha"":311600,""faostat_other_land_ha"":401960}",ha,"{""census_agricultural_land_ha"":165974,""census_farm_area_ha"":194769,""faostat_agricultural_land_ha"":311600,""faostat_other_land_ha"":401960}",ha,scripts/migrate_fiji_v26_provenance.py,working-tree-2026-07-31,Cross-check only; no model coefficient is silently averaged.
CALC_NATIONAL_LNDYAMLITOT,"sum(zone_area[z] * source_zone_coefficient[z]) / sum(zone_area[z]) for each inherited IAR, OAR and variable-cost coefficient",SRC_FIJI_V25_CASE,ASM_ZONE_WEIGHT_TRANSFER,,"{""sum"":18.2729,""zone_weights"":[1.7554,8.7102,6.1404,1.6669]}",1000 km2,"{""current_mode"":1,""water_coefficient_2020"":2.519977923591767}",model coefficient,scripts/create_fiji_v26_national_land.py,working-tree-2026-07-31,
CALC_NATIONAL_LNDYAMLRTOT,"sum(zone_area[z] * source_zone_coefficient[z]) / sum(zone_area[z]) for each inherited IAR, OAR and variable-cost coefficient",SRC_FIJI_V25_CASE,ASM_ZONE_WEIGHT_TRANSFER,,"{""sum"":18.2729,""zone_weights"":[1.7554,8.7102,6.1404,1.6669]}",1000 km2,"{""current_mode"":1,""water_coefficient_2020"":2.5619928199683684}",model coefficient,scripts/create_fiji_v26_national_land.py,working-tree-2026-07-31,
