source_id,provider,product,edition,reference_period,geography,variable,source_unit,exact_locator,url,access_date,license,sha256,notes
SRC_FIJI_V25_CASE,UN DESA / EAPD-DRB,MUIOGO Fiji_v2.5 case,v2.5,2020-2050,Fiji,All parameter values inherited unchanged by Fiji_v2.6,mixed model units,WebAPP/DataStorage/Fiji_v2.5/genData.json and R*.json; scenario SC_0,https://github.com/EAPD-DRB/MUIOGO/tree/main/WebAPP/DataStorage/Fiji_v2.5,2026-07-31,Repository license,,Immediate lineage for inherited values. Original upstream evidence is incomplete and is recorded as a gap.
SRC_FIJI_PHASE1F,UN DESA / EAPD-DRB,Fiji Phase 1F thermal-fuel ledger,Phase 1F,2020-2024,Fiji,"Thermal generation, liquid-fuel consumption, delivered price and FX observations",MWh; tonne; FJD/tonne; FJD/USD,WebAPP/DataStorage/Fiji_v2.6/phase1f_thermal_fuel_cost.json / annual_evidence_and_calculations,https://github.com/EAPD-DRB/MUIOGO/blob/main/WebAPP/DataStorage/Fiji_v2.6/phase1f_thermal_fuel_cost.json,2026-07-31,Repository license,,
SRC_EFL_ANNUAL,Energy Fiji Limited,Annual reports,2020-2024 reports,2020-2024,Fiji,"Thermal generation, IDO/HFO consumption and fuel expenditure",MWh; tonne; million FJD,Annual-report generation and fuel tables transcribed in Phase 1F annual_evidence_and_calculations,https://efl.com.fj/annual-reports/,2026-07-31,Government-owned utility publication,,
SRC_RBF_FX,Reserve Bank of Fiji,Exchange-rate statistics,Annual averages,2020-2024,Fiji,Fiji dollars per US dollar,FJD/USD,Annual average FJD per USD values transcribed in Phase 1F annual_evidence_and_calculations,https://www.rbf.gov.fj/statistics/economic-and-financial-statistics/,2026-07-31,Public statistical release,,
SRC_FAOSTAT_CROPS,FAO,FAOSTAT Production: Crops and livestock products,Bulk normalized release,2020-2024,Fiji,Harvested area and production for Fiji crop groups,ha; tonne,Area=Fiji; Element=Area harvested or Production; crop items listed in phase1g_crop_land.json; Years=2020..2024,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,2026-07-31,FAOSTAT terms of use,,
SRC_FAOSTAT_LAND,FAO,FAOSTAT Inputs/Land Use,Bulk normalized release observed 2026-07-17,2020,Fiji,"Country area, agricultural land, cropland, permanent meadows and pastures, forest, other land, land equipped for irrigation",1000 ha,Area=Fiji; Element=Area; Year=2020; Items=Country area|Agricultural land|Cropland|Permanent meadows and pastures|Forest land|Other land|Land equipped for irrigation,https://bulks-faostat.fao.org/production/Inputs_LandUse_E_All_Data_(Normalized).zip,2026-07-31,FAOSTAT terms of use,,
SRC_IO_LULC_2020,Impact Observatory / Esri,10 m Annual Land Use/Land Cover v2,io-lulc-annual-v02,2020,Fiji,"Built, water and bare land-cover classes",100 m2 pixels,"STAC collection io-lulc-annual-v02; items 60K-2020,60L-2020,01K-2020,01L-2020; asset map; classes 1 water, 7 built, 8 bare",https://planetarycomputer.microsoft.com/api/stac/v1/collections/io-lulc-annual-v02,2026-07-31,Esri/Impact Observatory data terms,,
SRC_FIJI_ADM0,Fiji Bureau of Statistics / PCRAFI via HDX,Fiji administrative boundaries,COD-AB,current boundary used for 2020 raster clip,Fiji,ADM0 national boundary,geometry,HDX dataset cod-ab-fji; resource fji_polbnda_adm0_country.zip; ADM0 feature,https://data.humdata.org/dataset/cod-ab-fji,2026-07-31,HDX dataset license,,
SRC_FIJI_AG_CENSUS,Fiji Ministry of Agriculture,2020 Fiji Agriculture Census Volume I,2020,2020,Fiji,Farm area and agricultural land cross-check,ha,Descriptive Analysis and General Table Report; national farm/agricultural-area tables,https://www.agriculture.gov.fj/documents/census/VOLUMEI_DESCRIPTIVEANALYSISANDGENERALTABLEREPORT.pdf,2026-07-31,Government publication,,
SRC_FIJI_FORESTRY,Fiji Ministry of Forestry,Annual Report 2020-2021,2020-2021,2020-2021,Fiji,Forest-area contextual cross-check,ha,National forestry area/context tables,https://www.forestry.gov.fj/docs/ar/MOF%20Annual%20Report%202020%20-%202021%20Final%20Print%20File_FINAL.pdf,2026-07-31,Government publication,,
